x_min,x_max,y_min,y_max,z_min,z_max,m_pos,unc_pos_stat,unc_pos_syst,m_neg,unc_neg_stat,unc_neg_syst,VM_pos,VM_neg,VM_incl,RC_pos,RC_neg
0.01,0.02,0.3,0.5,0.6,0.65,0.17659,0.004,0.01296,0.1508,0.0037,0.01172,0.80392,0.78295,0.95735,1.11127,1.12048
0.01,0.02,0.3,0.5,0.65,0.7,0.139,0.00408,0.01173,0.10448,0.0034,0.01062,0.75244,0.69462,0.95624,1.11202,1.12206
0.01,0.02,0.3,0.5,0.7,0.75,0.10944,0.00443,0.01184,0.08135,0.0036,0.01097,0.67496,0.61332,0.95557,1.11274,1.12348
0.01,0.02,0.5,0.7,0.2,0.25,2.13139,0.0184,0.12245,1.94397,0.01748,0.11196,0.98751,0.98738,0.97371,1.12884,1.13037
0.01,0.02,0.5,0.7,0.25,0.3,1.42354,0.01513,0.0822,1.29871,0.01444,0.07527,0.9838,0.98335,0.97371,1.13176,1.13408
0.01,0.02,0.5,0.7,0.3,0.35,0.99683,0.01283,0.05785,0.88038,0.012,0.0513,0.97921,0.97897,0.97369,1.13401,1.13712
0.01,0.02,0.5,0.7,0.35,0.4,0.74555,0.01288,0.04331,0.6183,0.01154,0.03619,0.97206,0.96916,0.97286,1.13297,1.13704
0.01,0.02,0.5,0.7,0.4,0.45,0.54112,0.01478,0.0316,0.46757,0.01372,0.02753,0.96012,0.95519,0.97183,1.13214,1.1372
0.02,0.03,0.1,0.15,0.55,0.6,0.26485,0.01167,0.01693,0.21702,0.01051,0.01526,0.85221,0.81306,0.9453,1.07935,1.08706
0.02,0.03,0.1,0.15,0.6,0.65,0.20501,0.00781,0.01526,0.16632,0.00696,0.01303,0.79195,0.77534,0.94339,1.08574,1.09363
0.02,0.03,0.1,0.15,0.65,0.7,0.16105,0.00618,0.0133,0.12306,0.00525,0.01242,0.75816,0.693,0.94278,1.08893,1.09699
0.02,0.03,0.1,0.15,0.7,0.75,0.11659,0.00483,0.01286,0.08506,0.00396,0.01257,0.66612,0.58436,0.9426,1.09298,1.1012
0.02,0.03,0.1,0.15,0.75,0.85,0.08091,0.00269,0.01325,0.06129,0.00227,0.01198,0.5524,0.50381,0.9426,1.09898,1.10745
0.02,0.03,0.15,0.2,0.45,0.5,0.43874,0.00905,0.02462,0.35817,0.0081,0.02064,0.9237,0.90754,0.9539,1.06866,1.07579
0.02,0.03,0.15,0.2,0.5,0.55,0.32489,0.0062,0.01914,0.27159,0.00565,0.01662,0.89217,0.87391,0.95163,1.07414,1.08158
0.02,0.03,0.15,0.2,0.55,0.6,0.24698,0.00512,0.0156,0.21021,0.00475,0.014,0.85619,0.83414,0.95159,1.07761,1.08531
0.02,0.03,0.15,0.2,0.6,0.65,0.18873,0.00438,0.01317,0.14836,0.00379,0.01129,0.81407,0.78335,0.9516,1.08149,1.08945
0.02,0.03,0.15,0.2,0.65,0.7,0.15212,0.00383,0.01236,0.10986,0.00317,0.01042,0.76003,0.71128,0.9516,1.08547,1.0937
0.02,0.03,0.15,0.2,0.7,0.75,0.11459,0.00321,0.01151,0.08104,0.00256,0.01065,0.69347,0.61464,0.9516,1.08949,1.098
0.02,0.03,0.15,0.2,0.75,0.85,0.07859,0.00176,0.01209,0.05514,0.00139,0.01105,0.56948,0.49723,0.9516,1.09522,1.1041
0.02,0.03,0.2,0.3,0.3,0.35,1.05574,0.01739,0.0565,0.89682,0.01586,0.04825,0.97617,0.97238,0.97029,1.06677,1.07262
0.02,0.03,0.2,0.3,0.35,0.4,0.77217,0.0103,0.04163,0.6453,0.00934,0.035,0.9665,0.96155,0.96761,1.06908,1.07533
0.02,0.03,0.2,0.3,0.4,0.45,0.54945,0.00756,0.02991,0.48113,0.00708,0.02646,0.9544,0.94607,0.96585,1.07174,1.07832
0.02,0.03,0.2,0.3,0.45,0.5,0.41506,0.00653,0.02295,0.35178,0.00602,0.0197,0.93824,0.93038,0.96587,1.07564,1.0825
0.02,0.03,0.2,0.3,0.5,0.55,0.32196,0.00572,0.01828,0.25047,0.00497,0.01456,0.91689,0.90574,0.96587,1.07956,1.08669
0.02,0.03,0.2,0.3,0.55,0.6,0.24416,0.00496,0.01437,0.19317,0.00433,0.01204,0.89302,0.86373,0.96587,1.08344,1.09086
0.02,0.03,0.2,0.3,0.6,0.65,0.18065,0.00414,0.01149,0.14352,0.00365,0.00982,0.85457,0.82367,0.96587,1.08737,1.09507
0.02,0.03,0.2,0.3,0.65,0.7,0.14654,0.00367,0.01058,0.1036,0.00298,0.00843,0.80155,0.76047,0.96587,1.09132,1.0993
0.02,0.03,0.2,0.3,0.7,0.75,0.10968,0.00309,0.00957,0.07769,0.00251,0.00797,0.73738,0.6877,0.96587,1.09527,1.10352
0.02,0.03,0.2,0.3,0.75,0.85,0.07203,0.00168,0.00979,0.05044,0.00134,0.00878,0.60454,0.53529,0.96556,1.10136,1.11006
0.02,0.03,0.3,0.5,0.2,0.25,2.18867,0.02655,0.11743,1.91624,0.02454,0.10325,0.99143,0.99083,0.98219,1.07853,1.0826
0.02,0.03,0.3,0.5,0.25,0.3,1.47225,0.01514,0.07869,1.27675,0.01396,0.06861,0.98741,0.98526,0.97945,1.07389,1.07865
0.02,0.03,0.3,0.5,0.3,0.35,1.0425,0.01237,0.05593,0.89794,0.01142,0.04842,0.98234,0.98146,0.97921,1.07627,1.08135
0.02,0.03,0.3,0.5,0.35,0.4,0.73192,0.01037,0.03958,0.61757,0.00946,0.03353,0.97765,0.97479,0.97921,1.08022,1.08558
0.02,0.03,0.3,0.5,0.4,0.45,0.54269,0.00895,0.02955,0.44358,0.00802,0.02429,0.96978,0.96634,0.97921,1.0842,1.08983
0.02,0.03,0.3,0.5,0.45,0.5,0.38545,0.00752,0.02127,0.3152,0.00672,0.01749,0.95728,0.95214,0.97915,1.08773,1.09366
0.02,0.03,0.3,0.5,0.5,0.55,0.29186,0.00691,0.01641,0.22481,0.00599,0.01279,0.94043,0.93148,0.97856,1.09134,1.09763
0.02,0.03,0.3,0.5,0.55,0.6,0.22243,0.00657,0.01286,0.17407,0.0057,0.01023,0.91639,0.9068,0.97778,1.09324,1.0999
0.02,0.03,0.3,0.5,0.6,0.65,0.17551,0.00647,0.01074,0.13994,0.00568,0.00872,0.88513,0.86937,0.977,1.09635,1.1034
0.02,0.03,0.3,0.5,0.65,0.7,0.13497,0.00634,0.0092,0.1096,0.00568,0.0079,0.82848,0.80503,0.97615,1.09833,1.10577
0.02,0.03,0.3,0.5,0.7,0.75,0.09416,0.00626,0.00838,0.06497,0.00509,0.00616,0.73984,0.71396,0.97536,1.10256,1.11039
0.02,0.03,0.5,0.7,0.2,0.25,2.12033,0.03136,0.11884,1.94623,0.03004,0.10948,0.99385,0.99325,0.98679,1.11408,1.11652
0.02,0.03,0.5,0.7,0.25,0.3,1.42632,0.026,0.08041,1.22203,0.02377,0.06921,0.99178,0.99108,0.98679,1.11786,1.1206
0.02,0.03,0.5,0.7,0.3,0.35,1.0268,0.02231,0.05824,0.86318,0.02028,0.04917,0.98973,0.98814,0.98679,1.12099,1.12404
0.02,0.03,0.5,0.7,0.35,0.4,0.71214,0.02088,0.04048,0.60886,0.01914,0.03469,0.98629,0.98373,0.9864,1.12115,1.12472
0.02,0.03,0.5,0.7,0.4,0.45,0.51831,0.02369,0.02964,0.39936,0.02029,0.02291,0.97994,0.97499,0.9858,1.11871,1.12286
0.03,0.04,0.1,0.15,0.55,0.6,0.2647,0.01208,0.01607,0.18917,0.01004,0.01212,0.87383,0.85043,0.95777,1.07385,1.08102
0.03,0.04,0.1,0.15,0.6,0.65,0.2159,0.00749,0.01366,0.1501,0.00604,0.01093,0.85305,0.79692,0.9562,1.07565,1.0828
0.03,0.04,0.1,0.15,0.65,0.7,0.156,0.00496,0.01159,0.11289,0.0041,0.00993,0.78974,0.73383,0.95378,1.07898,1.08612
0.03,0.04,0.1,0.15,0.7,0.75,0.12603,0.0038,0.01145,0.09283,0.00314,0.01079,0.72402,0.65063,0.95163,1.08493,1.09204
0.03,0.04,0.1,0.15,0.75,0.85,0.08955,0.00198,0.01188,0.06002,0.00152,0.01098,0.61156,0.52137,0.95024,1.09147,1.09853
0.03,0.04,0.15,0.2,0.45,0.5,0.41467,0.01188,0.0228,0.33243,0.01067,0.01852,0.9428,0.93668,0.96858,1.07142,1.0785
0.03,0.04,0.15,0.2,0.5,0.55,0.30461,0.0079,0.01719,0.2429,0.00706,0.01384,0.9217,0.91386,0.96673,1.07438,1.08146
0.03,0.04,0.15,0.2,0.55,0.6,0.24644,0.00677,0.01429,0.18245,0.00575,0.01109,0.90037,0.87412,0.96643,1.07746,1.08451
0.03,0.04,0.15,0.2,0.6,0.65,0.18453,0.00572,0.01139,0.14883,0.00509,0.0098,0.86583,0.83745,0.96643,1.08188,1.0889
0.03,0.04,0.15,0.2,0.65,0.7,0.15683,0.00521,0.01072,0.11058,0.00424,0.00872,0.82133,0.77058,0.96643,1.08613,1.09311
0.03,0.04,0.15,0.2,0.7,0.75,0.12421,0.00454,0.00945,0.08842,0.00376,0.00793,0.7827,0.72983,0.96643,1.09044,1.09739
0.03,0.04,0.15,0.2,0.75,0.85,0.0836,0.00246,0.00939,0.0568,0.00194,0.00819,0.65959,0.58816,0.96643,1.09692,1.10385
0.03,0.04,0.2,0.3,0.3,0.35,1.03948,0.02379,0.05478,0.88879,0.02194,0.04718,0.98463,0.98073,0.98036,1.05714,1.06368
0.03,0.04,0.2,0.3,0.35,0.4,0.76122,0.01402,0.04053,0.61863,0.01259,0.03327,0.9762,0.97409,0.97826,1.06405,1.07074
0.03,0.04,0.2,0.3,0.4,0.45,0.56273,0.0106,0.03014,0.44507,0.00935,0.02403,0.96801,0.96135,0.97708,1.06736,1.07409
