PdfType: replica
Format: lhagrid1
---
1.000000e-02 1.047129e-02 1.096478e-02 1.148154e-02 1.202264e-02 1.258925e-02 1.318257e-02 1.380384e-02 1.445440e-02 1.513561e-02 1.584893e-02 1.659587e-02 1.737801e-02 1.819701e-02 1.905461e-02 1.995262e-02 2.089296e-02 2.187762e-02 2.290868e-02 2.398833e-02 2.511886e-02 2.630268e-02 2.754229e-02 2.884032e-02 3.019952e-02 3.162278e-02 3.311311e-02 3.467369e-02 3.630781e-02 3.801894e-02 3.981072e-02 4.168694e-02 4.365158e-02 4.570882e-02 4.786301e-02 5.011872e-02 5.248075e-02 5.495409e-02 5.754399e-02 6.025596e-02 6.309573e-02 6.606934e-02 6.918310e-02 7.244360e-02 7.585776e-02 7.943282e-02 8.317638e-02 8.709636e-02 9.120108e-02 9.549926e-02 1.000000e-01 1.023293e-01 1.047129e-01 1.071519e-01 1.096478e-01 1.122018e-01 1.148154e-01 1.174898e-01 1.202264e-01 1.230269e-01 1.258925e-01 1.288250e-01 1.318257e-01 1.348963e-01 1.380384e-01 1.412538e-01 1.445440e-01 1.479108e-01 1.513561e-01 1.548817e-01 1.584893e-01 1.621810e-01 1.659587e-01 1.698244e-01 1.737801e-01 1.778279e-01 1.819701e-01 1.862087e-01 1.905461e-01 1.949845e-01 1.995262e-01 2.041738e-01 2.089296e-01 2.137962e-01 2.187762e-01 2.238721e-01 2.290868e-01 2.344229e-01 2.398833e-01 2.454709e-01 2.511886e-01 2.570396e-01 2.630268e-01 2.691535e-01 2.754229e-01 2.818383e-01 2.884032e-01 2.951209e-01 3.019952e-01 3.090295e-01 3.162278e-01 3.235937e-01 3.311311e-01 3.388442e-01 3.467369e-01 3.548134e-01 3.630781e-01 3.715352e-01 3.801894e-01 3.890451e-01 3.981072e-01 4.073803e-01 4.168694e-01 4.265795e-01 4.365158e-01 4.466836e-01 4.570882e-01 4.677351e-01 4.786301e-01 4.897788e-01 5.011872e-01 5.128614e-01 5.248075e-01 5.370318e-01 5.495409e-01 5.623413e-01 5.754399e-01 5.888437e-01 6.025596e-01 6.095369e-01 6.165950e-01 6.237348e-01 6.309573e-01 6.382635e-01 6.456542e-01 6.531306e-01 6.606934e-01 6.683439e-01 6.760830e-01 6.839116e-01 6.918310e-01 6.998420e-01 7.079458e-01 7.161434e-01 7.244360e-01 7.328245e-01 7.413102e-01 7.498942e-01 7.585776e-01 7.673615e-01 7.762471e-01 7.852356e-01 7.943282e-01 8.035261e-01 8.081649e-01 8.128305e-01 8.175230e-01 8.222426e-01 8.269895e-01 8.317638e-01 8.365656e-01 8.413951e-01 8.462526e-01 8.511380e-01 8.560517e-01 8.609938e-01 8.659643e-01 8.709636e-01 8.759917e-01 8.810489e-01 8.861352e-01 8.912509e-01 8.963962e-01 9.015711e-01 9.067760e-01 9.120108e-01 9.172759e-01 9.225714e-01 9.278975e-01 9.332543e-01 9.386420e-01 9.440609e-01 9.495110e-01 9.549926e-01 9.605058e-01 9.660509e-01 9.716280e-01 9.772372e-01 9.828789e-01 9.885531e-01 9.942601e-01 1.000000e+00 
1.000000e+00 1.053917e+00 1.112953e+00 1.177724e+00 1.248939e+00 1.327409e+00 1.414069e+00 1.510000e+00 
-5 -4 -3 -2 -1 21 1 2 3 4 5 
-2.049000e-01  -5.361035e-01  1.786077e+00  1.696163e+00  1.322580e+00  2.969171e+00  1.697834e+00  3.020490e+00  1.786380e+00  -5.359612e-01  -2.048991e-01  
-2.049000e-01  -5.360937e-01  1.564406e+00  1.480075e+00  1.110829e+00  2.477510e+00  1.481563e+00  2.802098e+00  1.564641e+00  -5.359709e-01  -2.048992e-01  
-2.048999e-01  -5.360844e-01  1.359422e+00  1.280528e+00  9.163501e-01  2.027628e+00  1.281853e+00  2.600275e+00  1.359602e+00  -5.359802e-01  -2.048993e-01  
-2.048999e-01  -5.360755e-01  1.171612e+00  1.098017e+00  7.395756e-01  1.619822e+00  1.099196e+00  2.415510e+00  1.171746e+00  -5.359891e-01  -2.048993e-01  
-2.048998e-01  -5.360670e-01  1.001132e+00  9.327042e-01  5.806137e-01  1.253855e+00  9.337528e-01  2.247964e+00  1.001229e+00  -5.359977e-01  -2.048994e-01  
-2.048998e-01  -5.360587e-01  8.478898e-01  7.845050e-01  4.393323e-01  9.290762e-01  7.854358e-01  2.097547e+00  8.479559e-01  -5.360059e-01  -2.048994e-01  
-2.048997e-01  -5.360508e-01  7.116095e-01  6.531487e-01  3.154205e-01  6.445242e-01  6.539733e-01  1.963987e+00  7.116510e-01  -5.360138e-01  -2.048995e-01  
-2.048997e-01  -5.360432e-01  5.918785e-01  5.382281e-01  2.084352e-01  3.989970e-01  5.389566e-01  1.846873e+00  5.919003e-01  -5.360214e-01  -2.048995e-01  
-1.842242e-01  -5.251981e-01  1.695128e+00  1.615476e+00  1.234738e+00  2.717835e+00  1.617085e+00  2.935614e+00  1.695330e+00  -5.251034e-01  -1.842236e-01  
-1.842241e-01  -5.251886e-01  1.474143e+00  1.400178e+00  1.024554e+00  2.232748e+00  1.401609e+00  2.717954e+00  1.474288e+00  -5.251129e-01  -1.842236e-01  
-1.842240e-01  -5.251796e-01  1.271003e+00  1.202564e+00  8.327959e-01  1.791318e+00  1.203838e+00  2.518011e+00  1.271103e+00  -5.251219e-01  -1.842237e-01  
-1.842240e-01  -5.251710e-01  1.085963e+00  1.022899e+00  6.596613e-01  1.393471e+00  1.024032e+00  2.336042e+00  1.086026e+00  -5.251306e-01  -1.842237e-01  
-1.842239e-01  -5.251627e-01  9.189787e-01  8.611471e-01  5.050588e-01  1.038644e+00  8.621532e-01  2.172008e+00  9.190121e-01  -5.251388e-01  -1.842238e-01  
-1.842239e-01  -5.251548e-01  7.697872e-01  7.170520e-01  3.686844e-01  7.259008e-01  7.179442e-01  2.025649e+00  7.697973e-01  -5.251468e-01  -1.842238e-01  
-1.842238e-01  -5.251471e-01  6.379653e-01  5.901973e-01  2.500800e-01  4.540294e-01  5.909870e-01  1.896547e+00  6.379573e-01  -5.251544e-01  -1.842239e-01  
-1.842238e-01  -5.251398e-01  5.229746e-01  4.800506e-01  1.486761e-01  2.216098e-01  4.807476e-01  1.784166e+00  5.229527e-01  -5.251617e-01  -1.842239e-01  
-1.636164e-01  -5.143115e-01  1.600152e+00  1.531221e+00  1.143349e+00  2.459519e+00  1.532764e+00  2.846937e+00  1.600253e+00  -5.142643e-01  -1.636161e-01  
