#: table_doi: 10.17182/hepdata.62088.v1/t1
#: name: Table 1
#: description: Differential cross section for prompt PI+-, K+- and PBAR/P production.

#: data_file: Table1.yaml
#: keyword reactions: E+ E- --> PI+ X | E+ E- --> PI- X | E+ E- --> K+ X | E+ E- --> K+ X | E+ E- --> PBAR X | E+ E- --> P X
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Single Differential Distribution | E+ E- Scattering | Strange production
#: keyword cmenergies: 10.54
#: RE,,,E+ E- --> (PI+ + PI-) X
#: SQRT(S) [GeV],,,10.54
"P(P=3,RF=CM) [GEV]","P(P=3,RF=CM) [GEV] LOW","P(P=3,RF=CM) [GEV] HIGH","(1/Nevt)*D(N)/DP(P=3,RF=CM)",stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.725,0.7,0.75,0.676,0.002,-0.002,0.009,-0.009,0.98%,-0.98%
0.775,0.75,0.8,0.658,0.002,-0.002,0.008,-0.008,0.98%,-0.98%
0.825,0.8,0.85,0.636,0.002,-0.002,0.008,-0.008,0.98%,-0.98%
0.875,0.85,0.9,0.616,0.002,-0.002,0.008,-0.008,0.98%,-0.98%
0.925,0.9,0.95,0.593,0.002,-0.002,0.008,-0.008,0.98%,-0.98%
0.975,0.95,1.0,0.568,0.002,-0.002,0.007,-0.007,0.98%,-0.98%
1.05,1.0,1.1,0.531,0.001,-0.001,0.007,-0.007,0.98%,-0.98%
1.15,1.1,1.2,0.482,0.001,-0.001,0.006,-0.006,0.98%,-0.98%
1.25,1.2,1.3,0.435,0.001,-0.001,0.006,-0.006,0.98%,-0.98%
1.35,1.3,1.4,0.389,0.001,-0.001,0.006,-0.006,0.98%,-0.98%
1.45,1.4,1.5,0.347,0.001,-0.001,0.005,-0.005,0.98%,-0.98%
1.55,1.5,1.6,0.308,0.0009,-0.0009,0.0047,-0.0047,0.98%,-0.98%
1.65,1.6,1.7,0.2731,0.0008,-0.0008,0.0043,-0.0043,0.98%,-0.98%
1.75,1.7,1.8,0.2427,0.0008,-0.0008,0.004,-0.004,0.98%,-0.98%
1.85,1.8,1.9,0.2161,0.0007,-0.0007,0.0037,-0.0037,0.98%,-0.98%
1.95,1.9,2.0,0.1921,0.0007,-0.0007,0.0034,-0.0034,0.98%,-0.98%
2.05,2.0,2.1,0.1698,0.0006,-0.0006,0.0031,-0.0031,0.98%,-0.98%
2.1500000000000004,2.1,2.2,0.1503,0.0006,-0.0006,0.0029,-0.0029,0.98%,-0.98%
2.25,2.2,2.3,0.1323,0.0005,-0.0005,0.0026,-0.0026,0.98%,-0.98%
2.3499999999999996,2.3,2.4,0.1167,0.0005,-0.0005,0.0024,-0.0024,0.98%,-0.98%
2.45,2.4,2.5,0.1031,0.0005,-0.0005,0.0022,-0.0022,0.98%,-0.98%
2.55,2.5,2.6,0.0909,0.0004,-0.0004,0.002,-0.002,0.98%,-0.98%
2.6500000000000004,2.6,2.7,0.0802,0.0004,-0.0004,0.0018,-0.0018,0.98%,-0.98%
2.75,2.7,2.8,0.0704,0.0004,-0.0004,0.0016,-0.0016,0.98%,-0.98%
2.8499999999999996,2.8,2.9,0.0622,0.0004,-0.0004,0.0015,-0.0015,0.98%,-0.98%
2.95,2.9,3.0,0.0546,0.0003,-0.0003,0.0014,-0.0014,0.98%,-0.98%
3.125,3.0,3.25,0.0436,0.0003,-0.0003,0.0011,-0.0011,0.98%,-0.98%
3.375,3.25,3.5,0.0306,0.0003,-0.0003,0.0009,-0.0009,0.98%,-0.98%
3.625,3.5,3.75,0.0209,0.0002,-0.0002,0.0007,-0.0007,0.98%,-0.98%
3.875,3.75,4.0,0.0139,0.0002,-0.0002,0.0005,-0.0005,0.98%,-0.98%
4.125,4.0,4.25,0.0091,0.00019,-0.00019,0.00041,-0.00041,0.98%,-0.98%
4.375,4.25,4.5,0.00568,0.00017,-0.00017,0.0003,-0.0003,0.98%,-0.98%
4.625,4.5,4.75,0.00324,0.00015,-0.00015,0.00021,-0.00021,0.98%,-0.98%
4.875,4.75,5.0,0.00149,0.00012,-0.00012,0.00015,-0.00015,0.98%,-0.98%
5.135,5.0,5.27,0.0005,7e-05,-7e-05,7e-05,-7e-05,0.98%,-0.98%

#: RE,,,E+ E- --> (PBAR + P) X
#: SQRT(S) [GeV],,,10.54
"P(P=3,RF=CM) [GEV]","P(P=3,RF=CM) [GEV] LOW","P(P=3,RF=CM) [GEV] HIGH","(1/Nevt)*D(N)/DP(P=3,RF=CM)",stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.225,0.2,0.25,0.0479,0.0019,-0.0019,0.0033,-0.0033,0.98%,-0.98%
0.275,0.25,0.3,0.0672,0.0016,-0.0016,0.004,-0.004,0.98%,-0.98%
0.32499999999999996,0.3,0.35,0.0879,0.0013,-0.0013,0.0047,-0.0047,0.98%,-0.98%
0.375,0.35,0.4,0.1046,0.0012,-0.0012,0.005,-0.005,0.98%,-0.98%
0.42500000000000004,0.4,0.45,0.1167,0.0011,-0.0011,0.0051,-0.0051,0.98%,-0.98%
0.475,0.45,0.5,0.1237,0.0011,-0.0011,0.0048,-0.0048,0.98%,-0.98%
0.525,0.5,0.55,0.1296,0.001,-0.001,0.0045,-0.0045,0.98%,-0.98%
0.575,0.55,0.6,0.1356,0.0009,-0.0009,0.0045,-0.0045,0.98%,-0.98%
0.625,0.6,0.65,0.138,0.0009,-0.0009,0.0044,-0.0044,0.98%,-0.98%
0.675,0.65,0.7,0.1384,0.0009,-0.0009,0.0046,-0.0046,0.98%,-0.98%
0.725,0.7,0.75,0.1363,0.0009,-0.0009,0.0045,-0.0045,0.98%,-0.98%
0.775,0.75,0.8,0.1331,0.0009,-0.0009,0.0045,-0.0045,0.98%,-0.98%
0.825,0.8,0.85,0.1292,0.0008,-0.0008,0.0044,-0.0044,0.98%,-0.98%
0.875,0.85,0.9,0.1256,0.0008,-0.0008,0.0043,-0.0043,0.98%,-0.98%
0.925,0.9,0.95,0.12,0.0008,-0.0008,0.0042,-0.0042,0.98%,-0.98%
0.975,0.95,1.0,0.1135,0.0008,-0.0008,0.0041,-0.0041,0.98%,-0.98%
1.05,1.0,1.1,0.1033,0.0007,-0.0007,0.004,-0.004,0.98%,-0.98%
1.15,1.1,1.2,0.0919,0.0006,-0.0006,0.0038,-0.0038,0.98%,-0.98%
1.25,1.2,1.3,0.0823,0.0006,-0.0006,0.0035,-0.0035,0.98%,-0.98%
1.35,1.3,1.4,0.0734,0.0005,-0.0005,0.0032,-0.0032,0.98%,-0.98%
1.45,1.4,1.5,0.0655,0.0005,-0.0005,0.0029,-0.0029,0.98%,-0.98%
1.55,1.5,1.6,0.0588,0.0005,-0.0005,0.0026,-0.0026,0.98%,-0.98%
1.65,1.6,1.7,0.0526,0.0004,-0.0004,0.0023,-0.0023,0.98%,-0.98%
1.75,1.7,1.8,0.0466,0.0004,-0.0004,0.002,-0.002,0.98%,-0.98%
1.85,1.8,1.9,0.0416,0.0004,-0.0004,0.0017,-0.0017,0.98%,-0.98%
1.95,1.9,2.0,0.0374,0.0003,-0.0003,0.0015,-0.0015,0.98%,-0.98%
2.05,2.0,2.1,0.0331,0.0003,-0.0003,0.0013,-0.0013,0.98%,-0.98%
2.1500000000000004,2.1,2.2,0.0293,0.0003,-0.0003,0.0012,-0.0012,0.98%,-0.98%
2.25,2.2,2.3,0.0259,0.0003,-0.0003,0.001,-0.001,0.98%,-0.98%
2.3499999999999996,2.3,2.4,0.0227,0.0002,-0.0002,0.0009,-0.0009,0.98%,-0.98%
2.45,2.4,2.5,0.0201,0.0002,-0.0002,0.0008,-0.0008,0.98%,-0.98%
2.55,2.5,2.6,0.0176,0.0002,-0.0002,0.0007,-0.0007,0.98%,-0.98%
2.6500000000000004,2.6,2.7,0.0154,0.0002,-0.0002,0.0006,-0.0006,0.98%,-0.98%
2.75,2.7,2.8,0.0133,0.0002,-0.0002,0.0005,-0.0005,0.98%,-0.98%
2.8499999999999996,2.8,2.9,0.01146,0.00015,-0.00015,0.00044,-0.00044,0.98%,-0.98%
2.95,2.9,3.0,0.00979,0.00014,-0.00014,0.00038,-0.00038,0.98%,-0.98%
3.125,3.0,3.25,0.00733,0.00011,-0.00011,0.00029,-0.00029,0.98%,-0.98%
3.375,3.25,3.5,0.00448,9e-05,-9e-05,0.00019,-0.00019,0.98%,-0.98%
3.625,3.5,3.75,0.0026,7e-05,-7e-05,0.00012,-0.00012,0.98%,-0.98%
3.875,3.75,4.0,0.00143,5e-05,-5e-05,8e-05,-8e-05,0.98%,-0.98%
4.125,4.0,4.25,0.00073,4e-05,-4e-05,5e-05,-5e-05,0.98%,-0.98%
4.375,4.25,4.5,0.00036,3e-05,-3e-05,3e-05,-3e-05,0.98%,-0.98%
4.625,4.5,4.75,0.00017,2e-05,-2e-05,2e-05,-2e-05,0.98%,-0.98%
4.875,4.75,5.0,7e-05,2e-05,-2e-05,1e-05,-1e-05,0.98%,-0.98%
5.135,5.0,5.27,1e-05,1e-05,-1e-05,1e-05,-1e-05,0.98%,-0.98%

