#: table_doi: 10.17182/hepdata.62088.v1/t2
#: name: Table 2
#: description: Differential cross section for conventional PI+-, K+- and PBAR/P  production.

#: data_file: Table2.yaml
#: keyword reactions: E+ E- --> PI+ X | E+ E- --> PI- X | E+ E- --> K+ X | E+ E- --> K+ X | E+ E- --> PBAR X | E+ E- --> P X
#: keyword observables: DN/DP
#: keyword phrases: Inclusive | Single Differential Distribution | E+ E- Scattering | Strange production
#: keyword cmenergies: 10.54
#: RE,,,E+ E- --> (PI+ + PI-) X
#: SQRT(S) [GeV],,,10.54
"P(P=3,RF=CM) [GEV]","P(P=3,RF=CM) [GEV] LOW","P(P=3,RF=CM) [GEV] HIGH","(1/Nevt)*D(N)/DP(P=3,RF=CM)",stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.725,0.7,0.75,0.677,0.002,-0.002,0.009,-0.009,0.98%,-0.98%
0.775,0.75,0.8,0.658,0.002,-0.002,0.008,-0.008,0.98%,-0.98%
0.825,0.8,0.85,0.636,0.002,-0.002,0.008,-0.008,0.98%,-0.98%
0.875,0.85,0.9,0.616,0.002,-0.002,0.008,-0.008,0.98%,-0.98%
0.925,0.9,0.95,0.593,0.002,-0.002,0.008,-0.008,0.98%,-0.98%
0.975,0.95,1.0,0.568,0.002,-0.002,0.007,-0.007,0.98%,-0.98%
1.05,1.0,1.1,0.531,0.001,-0.001,0.007,-0.007,0.98%,-0.98%
1.15,1.1,1.2,0.482,0.001,-0.001,0.006,-0.006,0.98%,-0.98%
1.25,1.2,1.3,0.435,0.001,-0.001,0.006,-0.006,0.98%,-0.98%
1.35,1.3,1.4,0.389,0.001,-0.001,0.006,-0.006,0.98%,-0.98%
1.45,1.4,1.5,0.347,0.001,-0.001,0.005,-0.005,0.98%,-0.98%
1.55,1.5,1.6,0.308,0.0009,-0.0009,0.0047,-0.0047,0.98%,-0.98%
1.65,1.6,1.7,0.2731,0.0008,-0.0008,0.0043,-0.0043,0.98%,-0.98%
1.75,1.7,1.8,0.2427,0.0008,-0.0008,0.004,-0.004,0.98%,-0.98%
1.85,1.8,1.9,0.2161,0.0007,-0.0007,0.0037,-0.0037,0.98%,-0.98%
1.95,1.9,2.0,0.1921,0.0007,-0.0007,0.0034,-0.0034,0.98%,-0.98%
2.05,2.0,2.1,0.1698,0.0006,-0.0006,0.0031,-0.0031,0.98%,-0.98%
2.1500000000000004,2.1,2.2,0.1503,0.0006,-0.0006,0.0029,-0.0029,0.98%,-0.98%
2.25,2.2,2.3,0.1323,0.0005,-0.0005,0.0026,-0.0026,0.98%,-0.98%
2.3499999999999996,2.3,2.4,0.1167,0.0005,-0.0005,0.0024,-0.0024,0.98%,-0.98%
2.45,2.4,2.5,0.1031,0.0005,-0.0005,0.0022,-0.0022,0.98%,-0.98%
2.55,2.5,2.6,0.0909,0.0004,-0.0004,0.002,-0.002,0.98%,-0.98%
2.6500000000000004,2.6,2.7,0.0802,0.0004,-0.0004,0.0018,-0.0018,0.98%,-0.98%
2.75,2.7,2.8,0.0704,0.0004,-0.0004,0.0016,-0.0016,0.98%,-0.98%
2.8499999999999996,2.8,2.9,0.0622,0.0004,-0.0004,0.0015,-0.0015,0.98%,-0.98%
2.95,2.9,3.0,0.0546,0.0003,-0.0003,0.0014,-0.0014,0.98%,-0.98%
3.125,3.0,3.25,0.0436,0.0003,-0.0003,0.0011,-0.0011,0.98%,-0.98%
3.375,3.25,3.5,0.0306,0.0003,-0.0003,0.0009,-0.0009,0.98%,-0.98%
3.625,3.5,3.75,0.0209,0.0002,-0.0002,0.0007,-0.0007,0.98%,-0.98%
3.875,3.75,4.0,0.0139,0.0002,-0.0002,0.0005,-0.0005,0.98%,-0.98%
4.125,4.0,4.25,0.0091,0.00019,-0.00019,0.00041,-0.00041,0.98%,-0.98%
4.375,4.25,4.5,0.00568,0.00017,-0.00017,0.0003,-0.0003,0.98%,-0.98%
4.625,4.5,4.75,0.00324,0.00015,-0.00015,0.00021,-0.00021,0.98%,-0.98%
4.875,4.75,5.0,0.00149,0.00012,-0.00012,0.00015,-0.00015,0.98%,-0.98%
5.135,5.0,5.27,0.0005,7e-05,-7e-05,7e-05,-7e-05,0.98%,-0.98%

#: RE,,,E+ E- --> (PBAR + P) X
#: SQRT(S) [GeV],,,10.54
"P(P=3,RF=CM) [GEV]","P(P=3,RF=CM) [GEV] LOW","P(P=3,RF=CM) [GEV] HIGH","(1/Nevt)*D(N)/DP(P=3,RF=CM)",stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.225,0.2,0.25,0.068,0.002,-0.002,0.006,-0.006,0.98%,-0.98%
0.275,0.25,0.3,0.094,0.002,-0.002,0.007,-0.007,0.98%,-0.98%
0.32499999999999996,0.3,0.35,0.122,0.001,-0.001,0.008,-0.008,0.98%,-0.98%
0.375,0.35,0.4,0.145,0.001,-0.001,0.009,-0.009,0.98%,-0.98%
0.42500000000000004,0.4,0.45,0.161,0.001,-0.001,0.008,-0.008,0.98%,-0.98%
0.475,0.45,0.5,0.171,0.001,-0.001,0.007,-0.007,0.98%,-0.98%
0.525,0.5,0.55,0.18,0.001,-0.001,0.007,-0.007,0.98%,-0.98%
0.575,0.55,0.6,0.188,0.001,-0.001,0.007,-0.007,0.98%,-0.98%
0.625,0.6,0.65,0.192,0.001,-0.001,0.006,-0.006,0.98%,-0.98%
0.675,0.65,0.7,0.193,0.001,-0.001,0.007,-0.007,0.98%,-0.98%
0.725,0.7,0.75,0.191,0.001,-0.001,0.007,-0.007,0.98%,-0.98%
0.775,0.75,0.8,0.187,0.001,-0.001,0.007,-0.007,0.98%,-0.98%
0.825,0.8,0.85,0.183,0.001,-0.001,0.007,-0.007,0.98%,-0.98%
0.875,0.85,0.9,0.179,0.001,-0.001,0.007,-0.007,0.98%,-0.98%
0.925,0.9,0.95,0.173,0.001,-0.001,0.006,-0.006,0.98%,-0.98%
0.975,0.95,1.0,0.165,0.001,-0.001,0.006,-0.006,0.98%,-0.98%
1.05,1.0,1.1,0.153,0.001,-0.001,0.006,-0.006,0.98%,-0.98%
1.15,1.1,1.2,0.139,0.001,-0.001,0.006,-0.006,0.98%,-0.98%
1.25,1.2,1.3,0.126,0.001,-0.001,0.006,-0.006,0.98%,-0.98%
1.35,1.3,1.4,0.113,0.001,-0.001,0.005,-0.005,0.98%,-0.98%
1.45,1.4,1.5,0.1006,0.0005,-0.0005,0.0046,-0.0046,0.98%,-0.98%
1.55,1.5,1.6,0.09,0.0005,-0.0005,0.0042,-0.0042,0.98%,-0.98%
1.65,1.6,1.7,0.0799,0.0004,-0.0004,0.0037,-0.0037,0.98%,-0.98%
1.75,1.7,1.8,0.0704,0.0004,-0.0004,0.0032,-0.0032,0.98%,-0.98%
1.85,1.8,1.9,0.062,0.0004,-0.0004,0.0028,-0.0028,0.98%,-0.98%
1.95,1.9,2.0,0.0548,0.0003,-0.0003,0.0024,-0.0024,0.98%,-0.98%
2.05,2.0,2.1,0.048,0.0003,-0.0003,0.0021,-0.0021,0.98%,-0.98%
2.1500000000000004,2.1,2.2,0.0419,0.0003,-0.0003,0.0018,-0.0018,0.98%,-0.98%
2.25,2.2,2.3,0.0364,0.0003,-0.0003,0.0016,-0.0016,0.98%,-0.98%
2.3499999999999996,2.3,2.4,0.0315,0.0002,-0.0002,0.0014,-0.0014,0.98%,-0.98%
2.45,2.4,2.5,0.0275,0.0002,-0.0002,0.0012,-0.0012,0.98%,-0.98%
2.55,2.5,2.6,0.0237,0.0002,-0.0002,0.0011,-0.0011,0.98%,-0.98%
2.6500000000000004,2.6,2.7,0.0206,0.0002,-0.0002,0.001,-0.001,0.98%,-0.98%
2.75,2.7,2.8,0.0176,0.0002,-0.0002,0.0009,-0.0009,0.98%,-0.98%
2.8499999999999996,2.8,2.9,0.015,0.0002,-0.0002,0.0008,-0.0008,0.98%,-0.98%
2.95,2.9,3.0,0.0128,0.0001,-0.0001,0.0007,-0.0007,0.98%,-0.98%
3.125,3.0,3.25,0.00926,0.00012,-0.00012,0.00049,-0.00049,0.98%,-0.98%
3.375,3.25,3.5,0.00564,9e-05,-9e-05,0.00034,-0.00034,0.98%,-0.98%
3.625,3.5,3.75,0.00324,7e-05,-7e-05,0.00021,-0.00021,0.98%,-0.98%
3.875,3.75,4.0,0.00173,5e-05,-5e-05,0.00012,-0.00012,0.98%,-0.98%
4.125,4.0,4.25,0.00087,4e-05,-4e-05,6e-05,-6e-05,0.98%,-0.98%
4.375,4.25,4.5,0.0004,3e-05,-3e-05,3e-05,-3e-05,0.98%,-0.98%
4.625,4.5,4.75,0.00017,2e-05,-2e-05,2e-05,-2e-05,0.98%,-0.98%
4.875,4.75,5.0,7e-05,2e-05,-2e-05,1e-05,-1e-05,0.98%,-0.98%
5.135,5.0,5.27,1e-05,1e-05,-1e-05,1e-05,-1e-05,0.98%,-0.98%

