0.175,0.2,3.27E+06,1.87E+03,9.01E+04,-1.07E+05
0.2,0.225,3.82E+06,1.14E+03,1.21E+05,-8.55E+04
0.225,0.25,2.91E+06,1.09E+03,1.63E+05,-5.26E+04
0.25,0.275,2.12E+06,7.08E+02,1.25E+05,-3.25E+04
0.275,0.3,1.64E+06,1.03E+03,8.45E+04,-2.70E+04
0.3,0.325,1.34E+06,5.75E+02,8.06E+03,-2.21E+04
0.325,0.35,1.16E+06,6.61E+02,3.81E+03,-1.81E+04
0.35,0.375,9.80E+05,6.70E+02,2.58E+03,-1.56E+04
0.375,0.4,8.31E+05,6.18E+02,1.91E+03,-1.54E+04
0.4,0.425,6.88E+05,6.11E+02,1.23E+03,-1.49E+04
0.425,0.45,5.64E+05,5.23E+02,1.06E+03,-9.59E+03
0.45,0.475,4.64E+05,4.34E+02,1.30E+03,-6.07E+03
0.475,0.5,3.78E+05,3.78E+02,1.06E+03,-4.53E+03
0.5,0.525,3.06E+05,3.84E+02,1.77E+03,-3.18E+03
0.525,0.55,2.36E+05,3.30E+02,1.42E+03,-2.44E+03
0.55,0.575,1.78E+05,3.06E+02,1.34E+03,-2.07E+03
0.575,0.6,1.39E+05,2.05E+02,1.55E+03,-1.88E+03
0.6,0.625,1.10E+05,2.06E+02,3.84E+03,-3.91E+03
0.625,0.65,8.83E+04,2.09E+02,8.18E+03,-8.21E+03
0.65,0.675,7.03E+04,1.99E+02,1.15E+04,-1.15E+04
0.675,0.7,5.48E+04,1.47E+02,1.02E+04,-1.02E+04
0.7,0.725,4.13E+04,1.21E+02,9.31E+03,-9.29E+03
0.725,0.75,2.96E+04,1.07E+02,9.21E+03,-9.20E+03
0.75,0.775,2.05E+04,9.73E+01,9.33E+03,-9.32E+03
0.775,0.8,1.31E+04,8.41E+01,8.73E+03,-8.75E+03
0.8,0.825,8.18E+03,7.32E+01,9.40E+03,-9.40E+03
0.825,0.85,4.54E+03,5.55E+01,1.01E+04,-1.01E+04
0.85,0.875,2.11E+03,3.79E+01,9.00E+03,-9.00E+03
0.875,0.9,4.57E+02,3.13E+01,6.86E+03,-6.86E+03
