#: table_doi: 10.17182/hepdata.76800.v1/t3,,,,,,,,,,,,,,
#: name: Table 3,,,,,,,,,,,,,,
#: description: Multiplicities of unidentified positively charged hadrons from semi-inclusive deep-inelastic scattering of muons off an isoscalar target, $M^{h^{+}}$, in bins of $x$, $y$, and $z$. Also given are the diffractive vector meson correction to the hadron count, $DVM^{h^{+}}$, and DIS count, $DVM^{DIS}$, as well as the radiative correction factors to the hadron count, $\eta^{h^{+}}$, and DIS count, $\eta^{DIS}$. The correction factors were applied to the raw multiplicity to arrive at the final multiplicity given in the table, $M^{h^{+}}$, as follows:,
,,,,,,,,,,,,,,
$M^{h^{+}}$ =  $M_{raw}^{h^{+}}$ * $\frac{\eta^{h^{+}}} {\eta^{DIS}}$ * $\frac{ DVM^{h^{+}} }   {DVM^{DIS} }$.,,,,,,,,,,,,,,
#: data_file: data3.yaml,,,,,,,,,,,,,,
#: data_license:   ,,,,,,,,,,,,,,
#: keyword reactions: $\mu^{+}$ d --> $\mu'^{+}$ $h^{+}$ X,,,,,,,,,,,,,,
#: keyword observables: MULT,,,,,,,,,,,,,,
#: keyword phrases: ,,,,,,,,,,,,,,
#: keyword cmenergies: ,,,,,,,,,,,,,,
#: PLAB [GEV],,,,,,,160,,,,,,,
#: RE,,,,,,,$\mu^{+}$ d --> $\mu'^{+}$ $h^{+}$ X,,,,,,,
$x$,$x$ LOW,$x$ HIGH,$y$,$y$ LOW,$y$ HIGH,$<Q^2> (GeV/c)^2$,$z^{h^{+}}$,$z^{h^{+}}$ LOW,$z^{h^{+}}$ HIGH,$M^{h^{+}}$,stat +,stat -,sys +,sys -
0.0487,0.04,0.06,0.17,0.15,0.2,2.505,0.574,0.55,0.6,0.3438,0.0064,-0.0064,0.0173,-0.0173
0.0487,0.04,0.06,0.17,0.15,0.2,2.504,0.624,0.6,0.65,0.2634,0.0056,-0.0056,0.0133,-0.0133
0.0487,0.04,0.06,0.17,0.15,0.2,2.504,0.674,0.65,0.7,0.2059,0.0049,-0.0049,0.0105,-0.0105
0.0487,0.04,0.06,0.17,0.15,0.2,2.504,0.724,0.7,0.75,0.1639,0.0044,-0.0044,0.0087,-0.0087
0.0487,0.04,0.06,0.17,0.15,0.2,2.504,0.794,0.75,0.85,0.1083,0.0025,-0.0025,0.0066,-0.0066
0.0487,0.04,0.06,0.27,0.2,0.3,3.998,0.324,0.3,0.35,1.3872,0.0168,-0.0168,0.0694,-0.0694
0.0487,0.04,0.06,0.25,0.2,0.3,3.68,0.374,0.35,0.4,1.0248,0.0104,-0.0104,0.0512,-0.0512
0.0487,0.04,0.06,0.24,0.2,0.3,3.526,0.424,0.4,0.45,0.7562,0.008,-0.008,0.0378,-0.0378
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.474,0.45,0.5,0.5781,0.007,-0.007,0.0289,-0.0289
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.524,0.5,0.55,0.4334,0.0061,-0.0061,0.0217,-0.0217
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.574,0.55,0.6,0.3323,0.0053,-0.0053,0.0167,-0.0167
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.624,0.6,0.65,0.2445,0.0045,-0.0045,0.0123,-0.0123
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.674,0.65,0.7,0.184,0.0039,-0.0039,0.0093,-0.0093
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.724,0.7,0.75,0.1469,0.0035,-0.0035,0.0076,-0.0076
0.0487,0.04,0.06,0.24,0.2,0.3,3.481,0.794,0.75,0.85,0.097,0.002,-0.002,0.0056,-0.0056
0.0486,0.04,0.06,0.43,0.3,0.5,6.284,0.223,0.2,0.25,2.5507,0.0205,-0.0205,0.1276,-0.1276
0.0486,0.04,0.06,0.38,0.3,0.5,5.586,0.274,0.25,0.3,1.8342,0.0127,-0.0127,0.0917,-0.0917
0.0486,0.04,0.06,0.38,0.3,0.5,5.517,0.324,0.3,0.35,1.3312,0.0107,-0.0107,0.0666,-0.0666
0.0486,0.04,0.06,0.38,0.3,0.5,5.517,0.374,0.35,0.4,0.9672,0.0092,-0.0092,0.0484,-0.0484
0.0486,0.04,0.06,0.38,0.3,0.5,5.517,0.424,0.4,0.45,0.7416,0.0082,-0.0082,0.0371,-0.0371
0.0486,0.04,0.06,0.38,0.3,0.5,5.485,0.474,0.45,0.5,0.5295,0.0069,-0.0069,0.0265,-0.0265
0.0486,0.04,0.06,0.37,0.3,0.5,5.301,0.524,0.5,0.55,0.404,0.0065,-0.0065,0.0202,-0.0202
0.0486,0.04,0.06,0.35,0.3,0.5,5.097,0.574,0.55,0.6,0.3017,0.0061,-0.0061,0.0151,-0.0151
0.0486,0.04,0.06,0.34,0.3,0.5,4.909,0.624,0.6,0.65,0.232,0.006,-0.006,0.0117,-0.0117
0.0486,0.04,0.06,0.33,0.3,0.5,4.734,0.674,0.65,0.7,0.1756,0.0062,-0.0062,0.0089,-0.0089
0.0487,0.04,0.06,0.32,0.3,0.5,4.569,0.724,0.7,0.75,0.1425,0.0069,-0.0069,0.0073,-0.0073
0.0487,0.04,0.06,0.31,0.3,0.5,4.203,0.794,0.75,0.85,0.098,0.014,-0.014,0.0055,-0.0055
0.0486,0.04,0.06,0.59,0.5,0.7,8.496,0.223,0.2,0.25,2.444,0.0278,-0.0278,0.1222,-0.1222
0.0486,0.04,0.06,0.59,0.5,0.7,8.496,0.274,0.25,0.3,1.7675,0.0244,-0.0244,0.0884,-0.0884
0.0486,0.04,0.06,0.59,0.5,0.7,8.471,0.324,0.3,0.35,1.2618,0.021,-0.021,0.0631,-0.0631
0.0486,0.04,0.06,0.56,0.5,0.7,8.072,0.374,0.35,0.4,0.8915,0.0198,-0.0198,0.0446,-0.0446
0.0486,0.04,0.06,0.53,0.5,0.7,7.608,0.424,0.4,0.45,0.7055,0.0231,-0.0231,0.0353,-0.0353
0.0765,0.06,0.1,0.14,0.1,0.15,3.302,0.574,0.55,0.6,0.348,0.0109,-0.0109,0.0175,-0.0175
0.0766,0.06,0.1,0.14,0.1,0.15,3.147,0.624,0.6,0.65,0.2697,0.0068,-0.0068,0.0136,-0.0136
0.0766,0.06,0.1,0.13,0.1,0.15,3.017,0.674,0.65,0.7,0.2192,0.0051,-0.0051,0.0112,-0.0112
0.0766,0.06,0.1,0.13,0.1,0.15,2.902,0.724,0.7,0.75,0.1715,0.004,-0.004,0.009,-0.009
0.0766,0.06,0.1,0.12,0.1,0.15,2.814,0.795,0.75,0.85,0.1149,0.0021,-0.0021,0.0067,-0.0067
0.0765,0.06,0.1,0.19,0.15,0.2,4.485,0.424,0.4,0.45,0.7636,0.0201,-0.0201,0.0382,-0.0382
0.0765,0.06,0.1,0.18,0.15,0.2,4.192,0.474,0.45,0.5,0.5724,0.0098,-0.0098,0.0286,-0.0286
0.0765,0.06,0.1,0.17,0.15,0.2,3.985,0.524,0.5,0.55,0.4492,0.0069,-0.0069,0.0225,-0.0225
0.0765,0.06,0.1,0.17,0.15,0.2,3.936,0.574,0.55,0.6,0.3411,0.0058,-0.0058,0.0171,-0.0171
0.0765,0.06,0.1,0.17,0.15,0.2,3.935,0.624,0.6,0.65,0.2626,0.005,-0.005,0.0132,-0.0132
0.0765,0.06,0.1,0.17,0.15,0.2,3.935,0.674,0.65,0.7,0.2025,0.0044,-0.0044,0.0102,-0.0102
0.0765,0.06,0.1,0.17,0.15,0.2,3.935,0.724,0.7,0.75,0.148,0.0037,-0.0037,0.0076,-0.0076
0.0765,0.06,0.1,0.17,0.15,0.2,3.935,0.794,0.75,0.85,0.1066,0.0022,-0.0022,0.0059,-0.0059
0.0765,0.06,0.1,0.27,0.2,0.3,6.284,0.324,0.3,0.35,1.3634,0.0159,-0.0159,0.0682,-0.0682
0.0765,0.06,0.1,0.25,0.2,0.3,5.782,0.374,0.35,0.4,1.0074,0.0098,-0.0098,0.0504,-0.0504
0.0765,0.06,0.1,0.24,0.2,0.3,5.539,0.424,0.4,0.45,0.7568,0.0076,-0.0076,0.0378,-0.0378
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.474,0.45,0.5,0.5729,0.0066,-0.0066,0.0286,-0.0286
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.524,0.5,0.55,0.4317,0.0057,-0.0057,0.0216,-0.0216
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.574,0.55,0.6,0.3303,0.005,-0.005,0.0165,-0.0165
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.624,0.6,0.65,0.2441,0.0042,-0.0042,0.0122,-0.0122
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.674,0.65,0.7,0.1958,0.0038,-0.0038,0.0098,-0.0098
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.724,0.7,0.75,0.1413,0.0032,-0.0032,0.0072,-0.0072
0.0765,0.06,0.1,0.24,0.2,0.3,5.47,0.794,0.75,0.85,0.0913,0.0018,-0.0018,0.0049,-0.0049
0.0764,0.06,0.1,0.43,0.3,0.5,9.875,0.223,0.2,0.25,2.6489,0.0253,-0.0253,0.1325,-0.1325
0.0765,0.06,0.1,0.38,0.3,0.5,8.774,0.274,0.25,0.3,1.8677,0.0143,-0.0143,0.0934,-0.0934
0.0765,0.06,0.1,0.38,0.3,0.5,8.666,0.324,0.3,0.35,1.3863,0.0121,-0.0121,0.0693,-0.0693
0.0765,0.06,0.1,0.38,0.3,0.5,8.666,0.374,0.35,0.4,1.0042,0.0104,-0.0104,0.0502,-0.0502
0.0765,0.06,0.1,0.38,0.3,0.5,8.666,0.424,0.4,0.45,0.7158,0.0087,-0.0087,0.0358,-0.0358
0.0765,0.06,0.1,0.38,0.3,0.5,8.617,0.474,0.45,0.5,0.5537,0.0078,-0.0078,0.0277,-0.0277
0.0765,0.06,0.1,0.37,0.3,0.5,8.329,0.524,0.5,0.55,0.4184,0.0071,-0.0071,0.0209,-0.0209
0.0765,0.06,0.1,0.35,0.3,0.5,8.008,0.574,0.55,0.6,0.3116,0.0065,-0.0065,0.0156,-0.0156
0.0765,0.06,0.1,0.34,0.3,0.5,7.715,0.624,0.6,0.65,0.2359,0.0063,-0.0063,0.0118,-0.0118
0.0765,0.06,0.1,0.33,0.3,0.5,7.442,0.674,0.65,0.7,0.1789,0.0064,-0.0064,0.009,-0.009
0.0765,0.06,0.1,0.32,0.3,0.5,7.18,0.724,0.7,0.75,0.136,0.0067,-0.0067,0.0069,-0.0069
0.0764,0.06,0.1,0.31,0.3,0.5,6.597,0.795,0.75,0.85,0.0726,0.012,-0.012,0.0038,-0.0038
0.0765,0.06,0.1,0.59,0.5,0.7,13.359,0.223,0.2,0.25,2.5572,0.0398,-0.0398,0.1279,-0.1279
0.0765,0.06,0.1,0.59,0.5,0.7,13.359,0.274,0.25,0.3,1.855,0.0346,-0.0346,0.0928,-0.0928
0.0765,0.06,0.1,0.59,0.5,0.7,13.322,0.324,0.3,0.35,1.3509,0.0303,-0.0303,0.0675,-0.0675
0.0765,0.06,0.1,0.56,0.5,0.7,12.691,0.374,0.35,0.4,0.9403,0.0276,-0.0276,0.047,-0.047
0.0765,0.06,0.1,0.53,0.5,0.7,11.965,0.424,0.4,0.45,0.7348,0.0323,-0.0323,0.0367,-0.0367
0.1176,0.1,0.14,0.14,0.1,0.15,5.073,0.574,0.55,0.6,0.3309,0.0145,-0.0145,0.0166,-0.0166
0.1176,0.1,0.14,0.14,0.1,0.15,4.834,0.624,0.6,0.65,0.2658,0.0094,-0.0094,0.0133,-0.0133
0.1176,0.1,0.14,0.13,0.1,0.15,4.633,0.674,0.65,0.7,0.2102,0.007,-0.007,0.0105,-0.0105
0.1176,0.1,0.14,0.13,0.1,0.15,4.456,0.724,0.7,0.75,0.1531,0.0052,-0.0052,0.0078,-0.0078
0.1176,0.1,0.14,0.12,0.1,0.15,4.321,0.795,0.75,0.85,0.1123,0.0029,-0.0029,0.0061,-0.0061
0.1176,0.1,0.14,0.19,0.15,0.2,6.893,0.424,0.4,0.45,0.7726,0.0277,-0.0277,0.0386,-0.0386
0.1176,0.1,0.14,0.18,0.15,0.2,6.443,0.474,0.45,0.5,0.5727,0.0134,-0.0134,0.0286,-0.0286
0.1176,0.1,0.14,0.17,0.15,0.2,6.124,0.524,0.5,0.55,0.447,0.0094,-0.0094,0.0224,-0.0224
0.1176,0.1,0.14,0.17,0.15,0.2,6.049,0.574,0.55,0.6,0.3407,0.0079,-0.0079,0.017,-0.017
0.1176,0.1,0.14,0.17,0.15,0.2,6.047,0.624,0.6,0.65,0.2498,0.0066,-0.0066,0.0125,-0.0125
0.1176,0.1,0.14,0.17,0.15,0.2,6.047,0.674,0.65,0.7,0.1903,0.0057,-0.0057,0.0095,-0.0095
0.1176,0.1,0.14,0.17,0.15,0.2,6.047,0.724,0.7,0.75,0.1451,0.005,-0.005,0.0073,-0.0073
0.1176,0.1,0.14,0.17,0.15,0.2,6.047,0.794,0.75,0.85,0.095,0.0027,-0.0027,0.005,-0.005
0.1176,0.1,0.14,0.27,0.2,0.3,9.656,0.324,0.3,0.35,1.4044,0.0252,-0.0252,0.0702,-0.0702
0.1176,0.1,0.14,0.25,0.2,0.3,8.884,0.374,0.35,0.4,1.0487,0.0151,-0.0151,0.0524,-0.0524
0.1176,0.1,0.14,0.24,0.2,0.3,8.51,0.424,0.4,0.45,0.7894,0.0116,-0.0116,0.0395,-0.0395
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.474,0.45,0.5,0.578,0.0098,-0.0098,0.0289,-0.0289
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.524,0.5,0.55,0.428,0.0083,-0.0083,0.0214,-0.0214
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.574,0.55,0.6,0.3253,0.0072,-0.0072,0.0163,-0.0163
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.624,0.6,0.65,0.2418,0.0062,-0.0062,0.0121,-0.0121
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.674,0.65,0.7,0.1885,0.0055,-0.0055,0.0094,-0.0094
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.724,0.7,0.75,0.1461,0.0048,-0.0048,0.0074,-0.0074
0.1176,0.1,0.14,0.24,0.2,0.3,8.404,0.794,0.75,0.85,0.0875,0.0026,-0.0026,0.0045,-0.0045
0.1175,0.1,0.14,0.43,0.3,0.5,15.184,0.223,0.2,0.25,2.6543,0.0482,-0.0482,0.1327,-0.1327
0.1175,0.1,0.14,0.38,0.3,0.5,13.489,0.274,0.25,0.3,1.9031,0.0262,-0.0262,0.0952,-0.0952
0.1175,0.1,0.14,0.38,0.3,0.5,13.321,0.324,0.3,0.35,1.4211,0.0221,-0.0221,0.0711,-0.0711
0.1175,0.1,0.14,0.38,0.3,0.5,13.321,0.374,0.35,0.4,1.0181,0.0187,-0.0187,0.0509,-0.0509
0.1175,0.1,0.14,0.38,0.3,0.5,13.321,0.424,0.4,0.45,0.7663,0.0163,-0.0163,0.0383,-0.0383
0.1175,0.1,0.14,0.38,0.3,0.5,13.245,0.474,0.45,0.5,0.5627,0.014,-0.014,0.0281,-0.0281
0.1175,0.1,0.14,0.37,0.3,0.5,12.798,0.524,0.5,0.55,0.4245,0.0127,-0.0127,0.0212,-0.0212
0.1175,0.1,0.14,0.35,0.3,0.5,12.305,0.574,0.55,0.6,0.3247,0.0119,-0.0119,0.0162,-0.0162
0.1175,0.1,0.14,0.34,0.3,0.5,11.855,0.624,0.6,0.65,0.2355,0.0109,-0.0109,0.0118,-0.0118
0.1175,0.1,0.14,0.33,0.3,0.5,11.435,0.674,0.65,0.7,0.1801,0.0109,-0.0109,0.009,-0.009
0.1175,0.1,0.14,0.32,0.3,0.5,11.036,0.724,0.7,0.75,0.1426,0.012,-0.012,0.0072,-0.0072
0.1176,0.1,0.14,0.59,0.5,0.7,20.541,0.223,0.2,0.25,2.5882,0.078,-0.078,0.1294,-0.1294
0.1176,0.1,0.14,0.59,0.5,0.7,20.541,0.273,0.25,0.3,1.9197,0.0697,-0.0697,0.096,-0.096
0.1176,0.1,0.14,0.59,0.5,0.7,20.484,0.324,0.3,0.35,1.3673,0.0584,-0.0584,0.0684,-0.0684
0.1176,0.1,0.14,0.56,0.5,0.7,19.513,0.374,0.35,0.4,1.0295,0.0575,-0.0575,0.0515,-0.0515
0.1175,0.1,0.14,0.53,0.5,0.7,18.389,0.424,0.4,0.45,0.6894,0.0561,-0.0561,0.0345,-0.0345
0.1581,0.14,0.18,0.14,0.1,0.15,6.822,0.574,0.55,0.6,0.3443,0.0217,-0.0217,0.0172,-0.0172
0.1581,0.14,0.18,0.14,0.1,0.15,6.499,0.624,0.6,0.65,0.2496,0.0125,-0.0125,0.0125,-0.0125
0.1581,0.14,0.18,0.13,0.1,0.15,6.227,0.674,0.65,0.7,0.1952,0.0094,-0.0094,0.0098,-0.0098
0.1581,0.14,0.18,0.13,0.1,0.15,5.989,0.724,0.7,0.75,0.1556,0.0075,-0.0075,0.0078,-0.0078
0.1581,0.14,0.18,0.12,0.1,0.15,5.811,0.794,0.75,0.85,0.1078,0.0041,-0.0041,0.0056,-0.0056
0.1581,0.14,0.18,0.19,0.15,0.2,9.266,0.424,0.4,0.45,0.8193,0.0424,-0.0424,0.041,-0.041
0.1581,0.14,0.18,0.18,0.15,0.2,8.662,0.474,0.45,0.5,0.584,0.0196,-0.0196,0.0292,-0.0292
0.1581,0.14,0.18,0.17,0.15,0.2,8.231,0.524,0.5,0.55,0.4298,0.0133,-0.0133,0.0215,-0.0215
0.1581,0.14,0.18,0.17,0.15,0.2,8.13,0.574,0.55,0.6,0.3389,0.0112,-0.0112,0.017,-0.017
0.1581,0.14,0.18,0.17,0.15,0.2,8.129,0.624,0.6,0.65,0.2402,0.0091,-0.0091,0.012,-0.012
0.1581,0.14,0.18,0.17,0.15,0.2,8.129,0.674,0.65,0.7,0.1914,0.0082,-0.0082,0.0096,-0.0096
0.1581,0.14,0.18,0.17,0.15,0.2,8.129,0.724,0.7,0.75,0.1309,0.0065,-0.0065,0.0066,-0.0066
0.1581,0.14,0.18,0.17,0.15,0.2,8.129,0.794,0.75,0.85,0.0921,0.0038,-0.0038,0.0048,-0.0048
0.1581,0.14,0.18,0.27,0.2,0.3,12.983,0.324,0.3,0.35,1.3562,0.0384,-0.0384,0.0678,-0.0678
0.1581,0.14,0.18,0.25,0.2,0.3,11.943,0.374,0.35,0.4,1.038,0.0227,-0.0227,0.0519,-0.0519
0.1581,0.14,0.18,0.24,0.2,0.3,11.438,0.424,0.4,0.45,0.7603,0.0168,-0.0168,0.038,-0.038
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.474,0.45,0.5,0.5826,0.0147,-0.0147,0.0291,-0.0291
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.524,0.5,0.55,0.4408,0.0126,-0.0126,0.022,-0.022
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.574,0.55,0.6,0.3345,0.0108,-0.0108,0.0167,-0.0167
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.624,0.6,0.65,0.2666,0.0096,-0.0096,0.0133,-0.0133
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.674,0.65,0.7,0.1857,0.0079,-0.0079,0.0093,-0.0093
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.724,0.7,0.75,0.1494,0.0072,-0.0072,0.0075,-0.0075
0.1581,0.14,0.18,0.24,0.2,0.3,11.296,0.794,0.75,0.85,0.087,0.0038,-0.0038,0.0044,-0.0044
0.1581,0.14,0.18,0.43,0.3,0.5,20.413,0.223,0.2,0.25,2.731,0.0774,-0.0774,0.1366,-0.1366
0.1581,0.14,0.18,0.38,0.3,0.5,18.133,0.274,0.25,0.3,1.9837,0.0434,-0.0434,0.0992,-0.0992
0.1581,0.14,0.18,0.38,0.3,0.5,17.908,0.324,0.3,0.35,1.4057,0.035,-0.035,0.0703,-0.0703
0.1581,0.14,0.18,0.38,0.3,0.5,17.908,0.374,0.35,0.4,1.0531,0.0304,-0.0304,0.0527,-0.0527
0.1581,0.14,0.18,0.38,0.3,0.5,17.908,0.424,0.4,0.45,0.779,0.0264,-0.0264,0.0389,-0.0389
0.1581,0.14,0.18,0.38,0.3,0.5,17.806,0.474,0.45,0.5,0.5987,0.0234,-0.0234,0.0299,-0.0299
0.1581,0.14,0.18,0.37,0.3,0.5,17.215,0.524,0.5,0.55,0.4627,0.0216,-0.0216,0.0231,-0.0231
0.1581,0.14,0.18,0.35,0.3,0.5,16.553,0.574,0.55,0.6,0.3025,0.0182,-0.0182,0.0151,-0.0151
0.1581,0.14,0.18,0.34,0.3,0.5,15.948,0.624,0.6,0.65,0.2752,0.0193,-0.0193,0.0138,-0.0138
0.1581,0.14,0.18,0.33,0.3,0.5,15.383,0.674,0.65,0.7,0.1607,0.0164,-0.0164,0.008,-0.008
0.1581,0.14,0.18,0.32,0.3,0.5,14.846,0.724,0.7,0.75,0.1796,0.0217,-0.0217,0.009,-0.009
0.2505,0.18,0.4,0.19,0.15,0.2,14.681,0.424,0.4,0.45,0.743,0.0413,-0.0413,0.0372,-0.0372
0.2505,0.18,0.4,0.18,0.15,0.2,13.721,0.474,0.45,0.5,0.5931,0.0211,-0.0211,0.0297,-0.0297
0.2504,0.18,0.4,0.17,0.15,0.2,13.034,0.524,0.5,0.55,0.4916,0.0154,-0.0154,0.0246,-0.0246
0.2504,0.18,0.4,0.17,0.15,0.2,12.873,0.574,0.55,0.6,0.3522,0.0126,-0.0126,0.0176,-0.0176
0.2504,0.18,0.4,0.17,0.15,0.2,12.87,0.624,0.6,0.65,0.271,0.0108,-0.0108,0.0136,-0.0136
0.2504,0.18,0.4,0.17,0.15,0.2,12.87,0.674,0.65,0.7,0.1979,0.0092,-0.0092,0.0099,-0.0099
0.2504,0.18,0.4,0.17,0.15,0.2,12.87,0.724,0.7,0.75,0.1393,0.0075,-0.0075,0.007,-0.007
0.2504,0.18,0.4,0.17,0.15,0.2,12.87,0.794,0.75,0.85,0.0837,0.004,-0.004,0.0042,-0.0042
0.2501,0.18,0.4,0.27,0.2,0.3,20.544,0.324,0.3,0.35,1.3873,0.0418,-0.0418,0.0694,-0.0694
0.2502,0.18,0.4,0.25,0.2,0.3,18.9,0.374,0.35,0.4,0.9747,0.0235,-0.0235,0.0487,-0.0487
0.2503,0.18,0.4,0.24,0.2,0.3,18.106,0.424,0.4,0.45,0.7785,0.0185,-0.0185,0.0389,-0.0389
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.474,0.45,0.5,0.5679,0.0155,-0.0155,0.0284,-0.0284
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.524,0.5,0.55,0.4558,0.0139,-0.0139,0.0228,-0.0228
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.574,0.55,0.6,0.3353,0.0116,-0.0116,0.0168,-0.0168
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.624,0.6,0.65,0.2496,0.0099,-0.0099,0.0125,-0.0125
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.674,0.65,0.7,0.2068,0.009,-0.009,0.0103,-0.0103
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.724,0.7,0.75,0.1393,0.0073,-0.0073,0.007,-0.007
0.2503,0.18,0.4,0.24,0.2,0.3,17.882,0.794,0.75,0.85,0.0888,0.0041,-0.0041,0.0045,-0.0045
0.2497,0.18,0.4,0.43,0.3,0.5,32.252,0.223,0.2,0.25,2.7761,0.0852,-0.0852,0.1388,-0.1388
0.25,0.18,0.4,0.38,0.3,0.5,28.657,0.274,0.25,0.3,1.9069,0.0433,-0.0433,0.0953,-0.0953
0.25,0.18,0.4,0.38,0.3,0.5,28.303,0.324,0.3,0.35,1.4466,0.0365,-0.0365,0.0723,-0.0723
0.25,0.18,0.4,0.38,0.3,0.5,28.303,0.374,0.35,0.4,1.1075,0.032,-0.032,0.0554,-0.0554
0.25,0.18,0.4,0.38,0.3,0.5,28.303,0.424,0.4,0.45,0.826,0.0276,-0.0276,0.0413,-0.0413
0.25,0.18,0.4,0.38,0.3,0.5,28.147,0.474,0.45,0.5,0.55,0.0221,-0.0221,0.0275,-0.0275
0.25,0.18,0.4,0.37,0.3,0.5,27.21,0.524,0.5,0.55,0.4167,0.0197,-0.0197,0.0208,-0.0208
0.2501,0.18,0.4,0.35,0.3,0.5,26.174,0.574,0.55,0.6,0.3305,0.0186,-0.0186,0.0165,-0.0165
0.2501,0.18,0.4,0.34,0.3,0.5,25.229,0.624,0.6,0.65,0.2664,0.0184,-0.0184,0.0133,-0.0133
0.2502,0.18,0.4,0.33,0.3,0.5,24.339,0.674,0.65,0.7,0.1727,0.0164,-0.0164,0.0086,-0.0086
