#: table_doi: 10.17182/hepdata.76800.v1/t4,,,,,,,,,,,,,,
#: name: Table 4,,,,,,,,,,,,,,
#: description: Multiplicities of unidentified negatively charged hadrons from semi-inclusive deep-inelastic scattering of muons off an isoscalar target, $M^{h^{-}}$, in bins of $x$, $y$, and $z$. Also given are the diffractive vector meson correction to the hadron count, $DVM^{h^{-}}$, and DIS count, $DVM^{DIS}$, as well as the radiative correction factors to the hadron count, $\eta^{h^{-}}$, and DIS count, $\eta^{DIS}$. The correction factors were applied to the raw multiplicity to arrive at the final multiplicity given in the table, $M^{h^{-}}$, as follows:,
,,,,,,,,,,,,,,
$M^{h^{-}}$ =  $M_{raw}^{h^{-}}$ * $\frac{\eta^{h^{-}}} {\eta^{DIS}}$ * $\frac{ DVM^{h^{-}} }   {DVM^{DIS} }$.,,,,,,,,,,,,,,
#: data_file: data4.yaml,,,,,,,,,,,,,,
#: data_license:   ,,,,,,,,,,,,,,
#: keyword reactions: $\mu^{+}$ d --> $\mu'^{+}$ $h^{-}$ X,,,,,,,,,,,,,,
#: keyword observables: MULT,,,,,,,,,,,,,,
#: keyword phrases: ,,,,,,,,,,,,,,
#: keyword cmenergies: ,,,,,,,,,,,,,,
#: PLAB [GEV],,,,,,,160,,,,,,,
#: RE,,,,,,,$\mu^{+}$ d --> $\mu'^{+}$ $h^{-}$ X,,,,,,,
$x$,$x$ LOW,$x$ HIGH,$y$,$y$ LOW,$y$ HIGH,$<Q^2> (GeV/c)^2$,$z^{h^{-}}$,$z^{h^{-}}$ LOW,$z^{h^{-}}$ HIGH,$M^{h^{-}}$,stat +,stat -,sys +,sys -
0.0486,0.04,0.06,0.38,0.3,0.5,5.517,0.324,0.3,0.35,1.0683,0.0097,-0.0097,0.0534,-0.0534
0.0486,0.04,0.06,0.38,0.3,0.5,5.517,0.374,0.35,0.4,0.7491,0.0081,-0.0081,0.0375,-0.0375
0.0486,0.04,0.06,0.38,0.3,0.5,5.517,0.424,0.4,0.45,0.535,0.0069,-0.0069,0.0268,-0.0268
0.0486,0.04,0.06,0.38,0.3,0.5,5.485,0.474,0.45,0.5,0.3827,0.0059,-0.0059,0.0191,-0.0191
0.0486,0.04,0.06,0.37,0.3,0.5,5.301,0.524,0.5,0.55,0.2818,0.0054,-0.0054,0.0141,-0.0141
0.0486,0.04,0.06,0.35,0.3,0.5,5.097,0.574,0.55,0.6,0.2114,0.0051,-0.0051,0.0106,-0.0106
0.0486,0.04,0.06,0.34,0.3,0.5,4.908,0.624,0.6,0.65,0.1617,0.0051,-0.0051,0.0082,-0.0082
0.0486,0.04,0.06,0.33,0.3,0.5,4.734,0.673,0.65,0.7,0.1235,0.0052,-0.0052,0.0063,-0.0063
0.0487,0.04,0.06,0.32,0.3,0.5,4.569,0.724,0.7,0.75,0.0851,0.0053,-0.0053,0.0045,-0.0045
0.0487,0.04,0.06,0.31,0.3,0.5,4.202,0.793,0.75,0.85,0.0519,0.0104,-0.0104,0.0031,-0.0031
0.0486,0.04,0.06,0.59,0.5,0.7,8.496,0.223,0.2,0.25,2.2053,0.027,-0.027,0.1103,-0.1103
0.0486,0.04,0.06,0.59,0.5,0.7,8.496,0.274,0.25,0.3,1.445,0.0224,-0.0224,0.0723,-0.0723
0.0486,0.04,0.06,0.59,0.5,0.7,8.471,0.324,0.3,0.35,1.0293,0.0193,-0.0193,0.0515,-0.0515
0.0486,0.04,0.06,0.56,0.5,0.7,8.072,0.374,0.35,0.4,0.6979,0.0176,-0.0176,0.0349,-0.0349
0.0486,0.04,0.06,0.53,0.5,0.7,7.608,0.424,0.4,0.45,0.5182,0.0197,-0.0197,0.0259,-0.0259
0.0766,0.06,0.1,0.14,0.1,0.15,3.301,0.574,0.55,0.6,0.2275,0.0091,-0.0091,0.0116,-0.0116
0.0766,0.06,0.1,0.14,0.1,0.15,3.146,0.624,0.6,0.65,0.1646,0.0054,-0.0054,0.0085,-0.0085
0.0766,0.06,0.1,0.13,0.1,0.15,3.015,0.674,0.65,0.7,0.1238,0.0039,-0.0039,0.0066,-0.0066
0.0766,0.06,0.1,0.13,0.1,0.15,2.901,0.724,0.7,0.75,0.0953,0.003,-0.003,0.0054,-0.0054
0.0766,0.06,0.1,0.12,0.1,0.15,2.813,0.795,0.75,0.85,0.0686,0.0016,-0.0016,0.005,-0.005
0.0765,0.06,0.1,0.19,0.15,0.2,4.482,0.424,0.4,0.45,0.5465,0.0172,-0.0172,0.0273,-0.0273
0.0765,0.06,0.1,0.18,0.15,0.2,4.19,0.474,0.45,0.5,0.3805,0.008,-0.008,0.019,-0.019
0.0765,0.06,0.1,0.17,0.15,0.2,3.984,0.524,0.5,0.55,0.2893,0.0056,-0.0056,0.0145,-0.0145
0.0765,0.06,0.1,0.17,0.15,0.2,3.936,0.574,0.55,0.6,0.21,0.0046,-0.0046,0.0106,-0.0106
0.0765,0.06,0.1,0.17,0.15,0.2,3.935,0.624,0.6,0.65,0.1595,0.0039,-0.0039,0.0081,-0.0081
0.0765,0.06,0.1,0.17,0.15,0.2,3.935,0.674,0.65,0.7,0.1183,0.0034,-0.0034,0.0061,-0.0061
0.0765,0.06,0.1,0.17,0.15,0.2,3.935,0.724,0.7,0.75,0.0888,0.0029,-0.0029,0.0047,-0.0047
0.0765,0.06,0.1,0.17,0.15,0.2,3.935,0.795,0.75,0.85,0.0554,0.0015,-0.0015,0.0035,-0.0035
0.0765,0.06,0.1,0.27,0.2,0.3,6.282,0.324,0.3,0.35,1.0582,0.0141,-0.0141,0.0529,-0.0529
0.0765,0.06,0.1,0.25,0.2,0.3,5.78,0.374,0.35,0.4,0.7261,0.0083,-0.0083,0.0363,-0.0363
0.0765,0.06,0.1,0.24,0.2,0.3,5.539,0.424,0.4,0.45,0.5226,0.0063,-0.0063,0.0261,-0.0261
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.474,0.45,0.5,0.38,0.0054,-0.0054,0.019,-0.019
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.524,0.5,0.55,0.2777,0.0046,-0.0046,0.0139,-0.0139
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.574,0.55,0.6,0.2097,0.004,-0.004,0.0105,-0.0105
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.624,0.6,0.65,0.1484,0.0033,-0.0033,0.0075,-0.0075
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.674,0.65,0.7,0.1083,0.0028,-0.0028,0.0055,-0.0055
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.724,0.7,0.75,0.0815,0.0024,-0.0024,0.0042,-0.0042
0.0765,0.06,0.1,0.24,0.2,0.3,5.47,0.794,0.75,0.85,0.0546,0.0014,-0.0014,0.0032,-0.0032
0.0764,0.06,0.1,0.43,0.3,0.5,9.871,0.223,0.2,0.25,2.2272,0.0236,-0.0236,0.1114,-0.1114
0.0765,0.06,0.1,0.38,0.3,0.5,8.772,0.274,0.25,0.3,1.5079,0.013,-0.013,0.0754,-0.0754
0.0765,0.06,0.1,0.38,0.3,0.5,8.666,0.324,0.3,0.35,1.0424,0.0105,-0.0105,0.0521,-0.0521
0.0765,0.06,0.1,0.38,0.3,0.5,8.666,0.374,0.35,0.4,0.7327,0.0089,-0.0089,0.0366,-0.0366
0.0765,0.06,0.1,0.38,0.3,0.5,8.666,0.424,0.4,0.45,0.5184,0.0075,-0.0075,0.0259,-0.0259
0.0765,0.06,0.1,0.38,0.3,0.5,8.617,0.474,0.45,0.5,0.3585,0.0063,-0.0063,0.0179,-0.0179
0.0765,0.06,0.1,0.37,0.3,0.5,8.328,0.524,0.5,0.55,0.2675,0.0057,-0.0057,0.0134,-0.0134
0.0765,0.06,0.1,0.35,0.3,0.5,8.008,0.574,0.55,0.6,0.1984,0.0053,-0.0053,0.0099,-0.0099
0.0765,0.06,0.1,0.34,0.3,0.5,7.714,0.624,0.6,0.65,0.1379,0.0048,-0.0048,0.0069,-0.0069
0.0765,0.06,0.1,0.33,0.3,0.5,7.441,0.674,0.65,0.7,0.1091,0.005,-0.005,0.0055,-0.0055
0.0765,0.06,0.1,0.32,0.3,0.5,7.18,0.724,0.7,0.75,0.0733,0.0049,-0.0049,0.0037,-0.0037
0.0764,0.06,0.1,0.31,0.3,0.5,6.597,0.793,0.75,0.85,0.0456,0.0097,-0.0097,0.0026,-0.0026
0.0765,0.06,0.1,0.59,0.5,0.7,13.359,0.223,0.2,0.25,2.1478,0.0368,-0.0368,0.1074,-0.1074
0.0765,0.06,0.1,0.59,0.5,0.7,13.359,0.273,0.25,0.3,1.4972,0.0317,-0.0317,0.0749,-0.0749
0.0765,0.06,0.1,0.59,0.5,0.7,13.322,0.324,0.3,0.35,0.955,0.0255,-0.0255,0.0478,-0.0478
0.0765,0.06,0.1,0.56,0.5,0.7,12.69,0.374,0.35,0.4,0.6979,0.0238,-0.0238,0.0349,-0.0349
0.0765,0.06,0.1,0.53,0.5,0.7,11.965,0.424,0.4,0.45,0.4867,0.0258,-0.0258,0.0243,-0.0243
0.1176,0.1,0.14,0.14,0.1,0.15,5.071,0.574,0.55,0.6,0.1931,0.0117,-0.0117,0.0097,-0.0097
0.1176,0.1,0.14,0.14,0.1,0.15,4.832,0.624,0.6,0.65,0.1364,0.0068,-0.0068,0.0069,-0.0069
0.1176,0.1,0.14,0.13,0.1,0.15,4.631,0.674,0.65,0.7,0.0966,0.0047,-0.0047,0.0049,-0.0049
0.1176,0.1,0.14,0.13,0.1,0.15,4.454,0.724,0.7,0.75,0.0855,0.0039,-0.0039,0.0046,-0.0046
0.1176,0.1,0.14,0.12,0.1,0.15,4.32,0.795,0.75,0.85,0.0549,0.002,-0.002,0.0035,-0.0035
0.1176,0.1,0.14,0.19,0.15,0.2,6.89,0.424,0.4,0.45,0.4826,0.0214,-0.0214,0.0241,-0.0241
0.1176,0.1,0.14,0.18,0.15,0.2,6.44,0.474,0.45,0.5,0.3587,0.0105,-0.0105,0.0179,-0.0179
0.1176,0.1,0.14,0.17,0.15,0.2,6.122,0.524,0.5,0.55,0.2625,0.0073,-0.0073,0.0131,-0.0131
0.1176,0.1,0.14,0.17,0.15,0.2,6.048,0.574,0.55,0.6,0.179,0.0056,-0.0056,0.009,-0.009
0.1176,0.1,0.14,0.17,0.15,0.2,6.047,0.624,0.6,0.65,0.1334,0.0048,-0.0048,0.0067,-0.0067
0.1176,0.1,0.14,0.17,0.15,0.2,6.047,0.674,0.65,0.7,0.0985,0.0041,-0.0041,0.005,-0.005
0.1176,0.1,0.14,0.17,0.15,0.2,6.047,0.724,0.7,0.75,0.077,0.0036,-0.0036,0.004,-0.004
0.1176,0.1,0.14,0.17,0.15,0.2,6.047,0.794,0.75,0.85,0.0478,0.0019,-0.0019,0.0029,-0.0029
0.1176,0.1,0.14,0.27,0.2,0.3,9.652,0.324,0.3,0.35,1.0118,0.0215,-0.0215,0.0506,-0.0506
0.1176,0.1,0.14,0.25,0.2,0.3,8.881,0.374,0.35,0.4,0.7244,0.0126,-0.0126,0.0362,-0.0362
0.1176,0.1,0.14,0.24,0.2,0.3,8.509,0.424,0.4,0.45,0.4989,0.0091,-0.0091,0.0249,-0.0249
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.474,0.45,0.5,0.3648,0.0078,-0.0078,0.0182,-0.0182
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.524,0.5,0.55,0.2579,0.0065,-0.0065,0.0129,-0.0129
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.574,0.55,0.6,0.1758,0.0053,-0.0053,0.0088,-0.0088
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.624,0.6,0.65,0.144,0.0048,-0.0048,0.0072,-0.0072
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.674,0.65,0.7,0.0997,0.004,-0.004,0.005,-0.005
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.724,0.7,0.75,0.0725,0.0034,-0.0034,0.0037,-0.0037
0.1176,0.1,0.14,0.24,0.2,0.3,8.404,0.794,0.75,0.85,0.0421,0.0018,-0.0018,0.0023,-0.0023
0.1175,0.1,0.14,0.43,0.3,0.5,15.177,0.223,0.2,0.25,2.1994,0.0445,-0.0445,0.11,-0.11
0.1175,0.1,0.14,0.38,0.3,0.5,13.486,0.274,0.25,0.3,1.4549,0.023,-0.023,0.0727,-0.0727
0.1175,0.1,0.14,0.38,0.3,0.5,13.321,0.324,0.3,0.35,0.9998,0.0186,-0.0186,0.05,-0.05
0.1175,0.1,0.14,0.38,0.3,0.5,13.321,0.374,0.35,0.4,0.6939,0.0155,-0.0155,0.0347,-0.0347
0.1175,0.1,0.14,0.38,0.3,0.5,13.321,0.424,0.4,0.45,0.491,0.0129,-0.0129,0.0245,-0.0245
0.1175,0.1,0.14,0.38,0.3,0.5,13.245,0.474,0.45,0.5,0.3391,0.0108,-0.0108,0.017,-0.017
0.1175,0.1,0.14,0.37,0.3,0.5,12.798,0.524,0.5,0.55,0.2494,0.0099,-0.0099,0.0125,-0.0125
0.1175,0.1,0.14,0.35,0.3,0.5,12.305,0.574,0.55,0.6,0.1908,0.0092,-0.0092,0.0095,-0.0095
0.1175,0.1,0.14,0.34,0.3,0.5,11.855,0.624,0.6,0.65,0.1129,0.0075,-0.0075,0.0057,-0.0057
0.1175,0.1,0.14,0.33,0.3,0.5,11.435,0.674,0.65,0.7,0.0952,0.0078,-0.0078,0.0048,-0.0048
0.1175,0.1,0.14,0.32,0.3,0.5,11.035,0.724,0.7,0.75,0.05,0.0065,-0.0065,0.0025,-0.0025
0.1176,0.1,0.14,0.59,0.5,0.7,20.541,0.223,0.2,0.25,2.2078,0.0741,-0.0741,0.1104,-0.1104
0.1176,0.1,0.14,0.59,0.5,0.7,20.541,0.274,0.25,0.3,1.4371,0.0607,-0.0607,0.0719,-0.0719
0.1176,0.1,0.14,0.59,0.5,0.7,20.483,0.324,0.3,0.35,0.9836,0.051,-0.051,0.0492,-0.0492
0.1176,0.1,0.14,0.56,0.5,0.7,19.513,0.374,0.35,0.4,0.6805,0.0445,-0.0445,0.034,-0.034
0.1175,0.1,0.14,0.53,0.5,0.7,18.389,0.424,0.4,0.45,0.4653,0.0487,-0.0487,0.0233,-0.0233
0.1581,0.14,0.18,0.14,0.1,0.15,6.819,0.574,0.55,0.6,0.1621,0.0138,-0.0138,0.0081,-0.0081
0.1581,0.14,0.18,0.14,0.1,0.15,6.496,0.624,0.6,0.65,0.1284,0.009,-0.009,0.0065,-0.0065
0.1581,0.14,0.18,0.13,0.1,0.15,6.224,0.674,0.65,0.7,0.0873,0.0062,-0.0062,0.0044,-0.0044
0.1581,0.14,0.18,0.13,0.1,0.15,5.987,0.724,0.7,0.75,0.076,0.0052,-0.0052,0.004,-0.004
0.1581,0.14,0.18,0.12,0.1,0.15,5.81,0.795,0.75,0.85,0.046,0.0025,-0.0025,0.0027,-0.0027
0.1581,0.14,0.18,0.19,0.15,0.2,9.262,0.424,0.4,0.45,0.4138,0.0285,-0.0285,0.0207,-0.0207
0.1581,0.14,0.18,0.18,0.15,0.2,8.658,0.474,0.45,0.5,0.3437,0.0149,-0.0149,0.0172,-0.0172
0.1581,0.14,0.18,0.17,0.15,0.2,8.229,0.524,0.5,0.55,0.2397,0.0097,-0.0097,0.012,-0.012
0.1581,0.14,0.18,0.17,0.15,0.2,8.13,0.574,0.55,0.6,0.163,0.0076,-0.0076,0.0082,-0.0082
0.1581,0.14,0.18,0.17,0.15,0.2,8.129,0.624,0.6,0.65,0.1266,0.0067,-0.0067,0.0064,-0.0064
0.1581,0.14,0.18,0.17,0.15,0.2,8.129,0.674,0.65,0.7,0.0919,0.0055,-0.0055,0.0046,-0.0046
0.1581,0.14,0.18,0.17,0.15,0.2,8.129,0.724,0.7,0.75,0.0696,0.0048,-0.0048,0.0036,-0.0036
0.1581,0.14,0.18,0.17,0.15,0.2,8.129,0.794,0.75,0.85,0.0414,0.0025,-0.0025,0.0023,-0.0023
0.1581,0.14,0.18,0.27,0.2,0.3,12.978,0.324,0.3,0.35,1.0107,0.0336,-0.0336,0.0505,-0.0505
0.1581,0.14,0.18,0.25,0.2,0.3,11.938,0.374,0.35,0.4,0.6483,0.0178,-0.0178,0.0324,-0.0324
0.1581,0.14,0.18,0.24,0.2,0.3,11.437,0.424,0.4,0.45,0.4809,0.0134,-0.0134,0.024,-0.024
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.474,0.45,0.5,0.3369,0.011,-0.011,0.0168,-0.0168
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.524,0.5,0.55,0.2428,0.0093,-0.0093,0.0121,-0.0121
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.574,0.55,0.6,0.1602,0.0074,-0.0074,0.008,-0.008
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.624,0.6,0.65,0.1147,0.0063,-0.0063,0.0058,-0.0058
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.674,0.65,0.7,0.0825,0.0052,-0.0052,0.0041,-0.0041
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.724,0.7,0.75,0.0657,0.0047,-0.0047,0.0033,-0.0033
0.1581,0.14,0.18,0.24,0.2,0.3,11.296,0.794,0.75,0.85,0.0362,0.0024,-0.0024,0.002,-0.002
0.1581,0.14,0.18,0.43,0.3,0.5,20.404,0.223,0.2,0.25,2.1443,0.0694,-0.0694,0.1072,-0.1072
0.1581,0.14,0.18,0.38,0.3,0.5,18.128,0.274,0.25,0.3,1.4732,0.0373,-0.0373,0.0737,-0.0737
0.1581,0.14,0.18,0.38,0.3,0.5,17.908,0.324,0.3,0.35,0.9459,0.0287,-0.0287,0.0473,-0.0473
0.1581,0.14,0.18,0.38,0.3,0.5,17.908,0.374,0.35,0.4,0.6873,0.0246,-0.0246,0.0344,-0.0344
0.1581,0.14,0.18,0.38,0.3,0.5,17.908,0.424,0.4,0.45,0.4496,0.0198,-0.0198,0.0225,-0.0225
0.1581,0.14,0.18,0.38,0.3,0.5,17.806,0.474,0.45,0.5,0.3763,0.019,-0.019,0.0188,-0.0188
0.1581,0.14,0.18,0.37,0.3,0.5,17.214,0.524,0.5,0.55,0.24,0.0152,-0.0152,0.012,-0.012
0.1581,0.14,0.18,0.35,0.3,0.5,16.552,0.574,0.55,0.6,0.1666,0.0132,-0.0132,0.0083,-0.0083
0.1581,0.14,0.18,0.34,0.3,0.5,15.948,0.624,0.6,0.65,0.1062,0.0115,-0.0115,0.0053,-0.0053
0.1581,0.14,0.18,0.33,0.3,0.5,15.382,0.673,0.65,0.7,0.0785,0.0113,-0.0113,0.0039,-0.0039
0.1581,0.14,0.18,0.32,0.3,0.5,14.845,0.723,0.7,0.75,0.0647,0.0127,-0.0127,0.0033,-0.0033
0.2505,0.18,0.4,0.19,0.15,0.2,14.675,0.424,0.4,0.45,0.4561,0.0323,-0.0323,0.0228,-0.0228
0.2505,0.18,0.4,0.18,0.15,0.2,13.715,0.474,0.45,0.5,0.3317,0.0157,-0.0157,0.0166,-0.0166
0.2504,0.18,0.4,0.17,0.15,0.2,13.031,0.524,0.5,0.55,0.2375,0.0107,-0.0107,0.0119,-0.0119
0.2504,0.18,0.4,0.17,0.15,0.2,12.873,0.574,0.55,0.6,0.1597,0.0082,-0.0082,0.008,-0.008
0.2504,0.18,0.4,0.17,0.15,0.2,12.87,0.624,0.6,0.65,0.1174,0.007,-0.007,0.0059,-0.0059
0.2504,0.18,0.4,0.17,0.15,0.2,12.87,0.674,0.65,0.7,0.0881,0.006,-0.006,0.0044,-0.0044
0.2504,0.18,0.4,0.17,0.15,0.2,12.87,0.724,0.7,0.75,0.0581,0.0048,-0.0048,0.003,-0.003
0.2504,0.18,0.4,0.17,0.15,0.2,12.87,0.794,0.75,0.85,0.0315,0.0023,-0.0023,0.0017,-0.0017
0.2501,0.18,0.4,0.27,0.2,0.3,20.535,0.324,0.3,0.35,0.9436,0.0353,-0.0353,0.0472,-0.0472
0.2502,0.18,0.4,0.25,0.2,0.3,18.893,0.374,0.35,0.4,0.6381,0.019,-0.019,0.0319,-0.0319
0.2503,0.18,0.4,0.24,0.2,0.3,18.105,0.424,0.4,0.45,0.4426,0.0138,-0.0138,0.0221,-0.0221
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.474,0.45,0.5,0.3091,0.0113,-0.0113,0.0155,-0.0155
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.524,0.5,0.55,0.2203,0.0096,-0.0096,0.011,-0.011
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.574,0.55,0.6,0.1622,0.008,-0.008,0.0081,-0.0081
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.624,0.6,0.65,0.1243,0.0071,-0.0071,0.0062,-0.0062
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.674,0.65,0.7,0.0746,0.0052,-0.0052,0.0037,-0.0037
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.724,0.7,0.75,0.0554,0.0045,-0.0045,0.0028,-0.0028
0.2503,0.18,0.4,0.24,0.2,0.3,17.882,0.794,0.75,0.85,0.029,0.0022,-0.0022,0.0015,-0.0015
0.2497,0.18,0.4,0.43,0.3,0.5,32.238,0.223,0.2,0.25,2.1458,0.0753,-0.0753,0.1073,-0.1073
0.25,0.18,0.4,0.38,0.3,0.5,28.65,0.274,0.25,0.3,1.3927,0.0367,-0.0367,0.0696,-0.0696
0.25,0.18,0.4,0.38,0.3,0.5,28.303,0.324,0.3,0.35,0.9532,0.0292,-0.0292,0.0477,-0.0477
0.25,0.18,0.4,0.38,0.3,0.5,28.303,0.374,0.35,0.4,0.6256,0.0236,-0.0236,0.0313,-0.0313
0.25,0.18,0.4,0.38,0.3,0.5,28.303,0.424,0.4,0.45,0.4415,0.0199,-0.0199,0.0221,-0.0221
0.25,0.18,0.4,0.38,0.3,0.5,28.146,0.474,0.45,0.5,0.3406,0.0176,-0.0176,0.017,-0.017
0.25,0.18,0.4,0.37,0.3,0.5,27.209,0.524,0.5,0.55,0.2108,0.014,-0.014,0.0105,-0.0105
0.2501,0.18,0.4,0.35,0.3,0.5,26.174,0.574,0.55,0.6,0.1422,0.0118,-0.0118,0.0071,-0.0071
0.2501,0.18,0.4,0.34,0.3,0.5,25.228,0.624,0.6,0.65,0.1128,0.0119,-0.0119,0.0056,-0.0056
0.2502,0.18,0.4,0.33,0.3,0.5,24.339,0.674,0.65,0.7,0.0714,0.01,-0.01,0.0036,-0.0036
