x_min,x_max,y_min,y_max,z_min,z_max,m_pos,unc_pos_stat,unc_pos_syst,m_neg,unc_neg_stat,unc_neg_syst,VM_pos,VM_neg,VM_incl,RC_pos,RC_neg
0.01,0.02,0.3,0.5,0.6,0.65,0.27017,0.00513,0.01623,0.20051,0.00438,0.013,0.84382,0.81944,0.95735,1.11149,1.12085
0.01,0.02,0.3,0.5,0.65,0.7,0.21214,0.00531,0.01386,0.14124,0.00416,0.01065,0.81417,0.7711,0.95624,1.11254,1.12261
0.01,0.02,0.3,0.5,0.7,0.75,0.15864,0.00565,0.01259,0.11009,0.00446,0.01069,0.75223,0.69959,0.95557,1.11356,1.12424
0.01,0.02,0.5,0.7,0.2,0.25,2.79292,0.02141,0.13908,2.45514,0.01992,0.1227,0.99114,0.99086,0.97371,1.12824,1.12986
0.01,0.02,0.5,0.7,0.25,0.3,1.94615,0.01802,0.09756,1.70024,0.01676,0.08564,0.98855,0.98809,0.97371,1.13152,1.13378
0.01,0.02,0.5,0.7,0.3,0.35,1.40639,0.01551,0.0709,1.17436,0.01404,0.05955,0.98541,0.98479,0.97369,1.13411,1.13702
0.01,0.02,0.5,0.7,0.35,0.4,1.04977,0.0155,0.05295,0.83031,0.01357,0.04229,0.9782,0.97554,0.97286,1.1332,1.13706
0.01,0.02,0.5,0.7,0.4,0.45,0.79375,0.01827,0.04019,0.62625,0.01608,0.03211,0.96687,0.96138,0.97183,1.13244,1.13731
0.02,0.03,0.1,0.15,0.55,0.6,0.40554,0.01475,0.02196,0.27936,0.01213,0.01708,0.87389,0.8301,0.9453,1.07836,1.08749
0.02,0.03,0.1,0.15,0.6,0.65,0.317,0.00999,0.01894,0.20918,0.00799,0.01381,0.83784,0.80734,0.94339,1.0851,1.09438
0.02,0.03,0.1,0.15,0.65,0.7,0.25276,0.00812,0.0156,0.15903,0.0062,0.01256,0.8282,0.75246,0.94278,1.08867,1.09804
0.02,0.03,0.1,0.15,0.7,0.75,0.18234,0.00646,0.0141,0.11538,0.00495,0.01228,0.75734,0.67054,0.9426,1.09311,1.10256
0.02,0.03,0.1,0.15,0.75,0.85,0.12347,0.00358,0.01413,0.07832,0.00272,0.012,0.64654,0.56684,0.9426,1.09966,1.10925
0.02,0.03,0.15,0.2,0.45,0.5,0.65277,0.01124,0.03081,0.47305,0.00945,0.02326,0.93668,0.91696,0.9539,1.06704,1.07562
0.02,0.03,0.15,0.2,0.5,0.55,0.49649,0.00782,0.02458,0.35766,0.00658,0.01889,0.91068,0.8844,0.95163,1.07287,1.08169
0.02,0.03,0.15,0.2,0.55,0.6,0.38472,0.00656,0.02038,0.2701,0.00546,0.01566,0.87942,0.84807,0.95159,1.07671,1.08571
0.02,0.03,0.15,0.2,0.6,0.65,0.29611,0.00569,0.01673,0.19967,0.00454,0.0126,0.85492,0.81883,0.9516,1.08096,1.09013
0.02,0.03,0.15,0.2,0.65,0.7,0.23995,0.00509,0.01469,0.14866,0.00385,0.01087,0.82799,0.77334,0.9516,1.08532,1.09466
0.02,0.03,0.15,0.2,0.7,0.75,0.17929,0.00427,0.01289,0.10769,0.00312,0.01044,0.7775,0.6923,0.9516,1.08972,1.09924
0.02,0.03,0.15,0.2,0.75,0.85,0.12034,0.00235,0.01294,0.07237,0.0017,0.01091,0.66315,0.57122,0.9516,1.096,1.10576
0.02,0.03,0.2,0.3,0.3,0.35,1.47932,0.02095,0.06643,1.16584,0.0184,0.05289,0.98334,0.97961,0.97029,1.06438,1.07176
0.02,0.03,0.2,0.3,0.35,0.4,1.14097,0.01278,0.05159,0.84852,0.01087,0.03892,0.97425,0.96841,0.96761,1.06696,1.0747
0.02,0.03,0.2,0.3,0.4,0.45,0.83469,0.00951,0.03822,0.62987,0.00821,0.02941,0.96188,0.95219,0.96585,1.06996,1.07796
