x_min,x_max,y_min,y_max,z_min,z_max,m_pos,unc_pos_stat,unc_pos_syst,m_neg,unc_neg_stat,unc_neg_syst,VM_pos,VM_neg,VM_incl,RC_pos,RC_neg
0.01,0.02,0.3,0.5,0.6,0.65,0.06324,0.00256,0.00416,0.03559,0.00188,0.00251,0.88946,0.8464,0.95735,1.10612,1.11872
0.01,0.02,0.3,0.5,0.65,0.7,0.05329,0.00291,0.00322,0.02454,0.00192,0.00145,0.97919,0.97008,0.95624,1.10697,1.1203
0.01,0.02,0.3,0.5,0.7,0.75,0.03723,0.00314,0.00244,0.01746,0.00206,0.00101,0.99008,0.98735,0.95557,1.10795,1.12193
0.01,0.02,0.5,0.7,0.2,0.25,0.42688,0.00822,0.02462,0.34413,0.00732,0.02001,0.99991,0.99991,0.97371,1.12619,1.13055
0.01,0.02,0.5,0.7,0.25,0.3,0.32672,0.00735,0.01894,0.25506,0.00644,0.01487,0.99965,0.99964,0.97371,1.12934,1.13435
0.01,0.02,0.5,0.7,0.3,0.35,0.25497,0.0066,0.015,0.19564,0.00573,0.01161,0.99898,0.99857,0.97369,1.13179,1.13746
0.01,0.02,0.5,0.7,0.35,0.4,0.19118,0.00657,0.0114,0.13788,0.00555,0.00833,0.98547,0.98199,0.97286,1.13048,1.13715
0.01,0.02,0.5,0.7,0.4,0.45,0.15878,0.00816,0.00985,0.1131,0.00684,0.00686,0.96544,0.9527,0.97183,1.12926,1.13702
0.02,0.03,0.1,0.15,0.55,0.6,0.0543,0.00514,0.00386,0.02982,0.00378,0.00251,0.8161,0.77679,0.9453,1.07494,1.08795
0.02,0.03,0.1,0.15,0.6,0.65,0.05331,0.00413,0.00336,0.0235,0.00267,0.00166,0.86441,0.81869,0.94339,1.08205,1.09529
0.02,0.03,0.1,0.15,0.65,0.7,0.04428,0.00368,0.00249,0.01862,0.00229,0.00111,0.95556,0.93216,0.94278,1.08595,1.09937
0.02,0.03,0.1,0.15,0.7,0.75,0.03896,0.00343,0.00222,0.01468,0.0021,0.00085,0.98687,0.98128,0.9426,1.09073,1.10432
0.02,0.03,0.1,0.15,0.75,0.85,0.02798,0.00209,0.0016,0.00792,0.0011,0.00047,0.99644,0.99463,0.9426,1.09774,1.11158
0.02,0.03,0.15,0.2,0.45,0.5,0.10699,0.00456,0.00608,0.0649,0.0035,0.00391,0.9137,0.88238,0.9539,1.06299,1.07523
0.02,0.03,0.15,0.2,0.5,0.55,0.07912,0.00308,0.00477,0.04906,0.00239,0.00331,0.87732,0.83053,0.95163,1.06906,1.08161
0.02,0.03,0.15,0.2,0.55,0.6,0.0705,0.00282,0.00456,0.03308,0.00184,0.00254,0.84738,0.78224,0.95159,1.07316,1.08595
0.02,0.03,0.15,0.2,0.6,0.65,0.05813,0.00263,0.0035,0.03041,0.00183,0.00206,0.89263,0.83823,0.9516,1.07767,1.09069
0.02,0.03,0.15,0.2,0.65,0.7,0.05338,0.00266,0.003,0.02127,0.00159,0.00121,0.97242,0.95682,0.9516,1.08227,1.09553
0.02,0.03,0.15,0.2,0.7,0.75,0.03944,0.00223,0.0022,0.01329,0.00125,0.00078,0.99072,0.98055,0.9516,1.08691,1.10041
0.02,0.03,0.15,0.2,0.75,0.85,0.03164,0.00148,0.00177,0.00975,0.00078,0.00055,0.99765,0.99567,0.9516,1.09359,1.10742
0.02,0.03,0.2,0.3,0.3,0.35,0.23532,0.00841,0.01255,0.16278,0.00703,0.00878,0.99813,0.9974,0.97029,1.05994,1.07079
0.02,0.03,0.2,0.3,0.35,0.4,0.20276,0.00547,0.01091,0.12681,0.00424,0.00695,0.97939,0.97195,0.96761,1.06266,1.07394
0.02,0.03,0.2,0.3,0.4,0.45,0.14969,0.00407,0.00817,0.08756,0.00304,0.00492,0.95051,0.93558,0.96585,1.06587,1.07747
0.02,0.03,0.2,0.3,0.45,0.5,0.11518,0.00353,0.00639,0.07176,0.00274,0.00414,0.93789,0.91631,0.96587,1.07039,1.08224
0.02,0.03,0.2,0.3,0.5,0.55,0.09089,0.00309,0.00518,0.05018,0.00223,0.00301,0.91492,0.88834,0.96587,1.07494,1.08703
0.02,0.03,0.2,0.3,0.55,0.6,0.07568,0.00282,0.00445,0.04017,0.00198,0.0026,0.89556,0.84931,0.96587,1.07944,1.09178
0.02,0.03,0.2,0.3,0.6,0.65,0.06096,0.00259,0.00351,0.03015,0.00174,0.00188,0.92067,0.87881,0.96587,1.08398,1.09656
0.02,0.03,0.2,0.3,0.65,0.7,0.04444,0.00222,0.00253,0.0225,0.00156,0.00129,0.98339,0.97412,0.96587,1.08854,1.10136
0.02,0.03,0.2,0.3,0.7,0.75,0.03819,0.00211,0.00226,0.01623,0.00134,0.00094,0.99319,0.98808,0.96587,1.09314,1.10621
0.02,0.03,0.2,0.3,0.75,0.85,0.02743,0.00131,0.00171,0.0121,0.00086,0.00071,0.99904,0.9974,0.96556,1.10009,1.11355
0.02,0.03,0.3,0.5,0.2,0.25,0.42698,0.01176,0.02312,0.32687,0.01026,0.01787,0.99994,0.99994,0.98219,1.07239,1.08096
0.02,0.03,0.3,0.5,0.25,0.3,0.33,0.00727,0.01779,0.24521,0.00626,0.01332,0.99969,0.99963,0.97945,1.0677,1.07713
0.02,0.03,0.3,0.5,0.3,0.35,0.24764,0.00611,0.01334,0.18713,0.00537,0.0102,0.9989,0.99867,0.97921,1.07065,1.08036
0.02,0.03,0.3,0.5,0.35,0.4,0.19932,0.00553,0.01076,0.13693,0.00456,0.0075,0.98828,0.98509,0.97921,1.07523,1.08518
0.02,0.03,0.3,0.5,0.4,0.45,0.16566,0.00507,0.00914,0.09985,0.00384,0.00557,0.97455,0.96555,0.97921,1.07985,1.09004
0.02,0.03,0.3,0.5,0.45,0.5,0.12783,0.00447,0.00725,0.07199,0.00325,0.00413,0.96532,0.9546,0.97915,1.08396,1.09441
0.02,0.03,0.3,0.5,0.5,0.55,0.09739,0.00407,0.00569,0.06084,0.00316,0.00363,0.94958,0.92961,0.97856,1.08803,1.09888
0.02,0.03,0.3,0.5,0.55,0.6,0.08674,0.0043,0.00526,0.04621,0.00304,0.00294,0.92856,0.90734,0.97778,1.09041,1.10164
0.02,0.03,0.3,0.5,0.6,0.65,0.07332,0.00453,0.0047,0.0333,0.00287,0.00211,0.94219,0.91373,0.977,1.09395,1.10559
0.02,0.03,0.3,0.5,0.65,0.7,0.04872,0.00426,0.0031,0.02448,0.003,0.00148,0.98906,0.98458,0.97615,1.09641,1.10842
0.02,0.03,0.3,0.5,0.7,0.75,0.04167,0.00499,0.0026,0.01591,0.00294,0.00139,0.99369,0.99323,0.97536,1.10111,1.11349
0.02,0.03,0.5,0.7,0.2,0.25,0.42405,0.01393,0.02399,0.36147,0.01292,0.02054,0.99996,0.99996,0.98679,1.11054,1.11672
0.02,0.03,0.5,0.7,0.25,0.3,0.33674,0.01277,0.01915,0.24867,0.01085,0.01425,0.99984,0.99981,0.98679,1.11494,1.12137
0.02,0.03,0.5,0.7,0.3,0.35,0.27486,0.01161,0.01595,0.2059,0.01014,0.01212,0.99942,0.99926,0.98679,1.11864,1.12537
0.02,0.03,0.5,0.7,0.35,0.4,0.1967,0.01122,0.01177,0.12232,0.00853,0.00734,0.99249,0.99051,0.9864,1.11903,1.12637
0.02,0.03,0.5,0.7,0.4,0.45,0.17765,0.01461,0.01093,0.11724,0.0114,0.00719,0.98499,0.97491,0.9858,1.11672,1.12475
0.03,0.04,0.1,0.15,0.55,0.6,0.06513,0.00603,0.00405,0.03003,0.00414,0.00207,0.86871,0.83548,0.95777,1.07022,1.08334
0.03,0.04,0.1,0.15,0.6,0.65,0.0488,0.00371,0.0028,0.02416,0.0025,0.00154,0.90795,0.86682,0.9562,1.07282,1.08597
0.03,0.04,0.1,0.15,0.65,0.7,0.0491,0.00319,0.00273,0.0181,0.00186,0.00103,0.97287,0.94332,0.95378,1.07695,1.09014
0.03,0.04,0.1,0.15,0.7,0.75,0.03931,0.00247,0.00218,0.01444,0.00146,0.00082,0.9909,0.98286,0.95163,1.0837,1.09696
0.03,0.04,0.1,0.15,0.75,0.85,0.02677,0.00135,0.00153,0.00818,0.00073,0.00047,0.99778,0.99336,0.95024,1.09142,1.10473
0.03,0.04,0.15,0.2,0.45,0.5,0.12566,0.00684,0.00696,0.06193,0.00473,0.00361,0.94062,0.92204,0.96858,1.06637,1.07928
0.03,0.04,0.15,0.2,0.5,0.55,0.08505,0.00428,0.00475,0.04225,0.00299,0.00263,0.92817,0.89719,0.96673,1.0701,1.08306
0.03,0.04,0.15,0.2,0.55,0.6,0.0775,0.00399,0.00448,0.03551,0.00257,0.00227,0.90437,0.8618,0.96643,1.07399,1.08698
0.03,0.04,0.15,0.2,0.6,0.65,0.05868,0.00341,0.00335,0.03025,0.0024,0.00186,0.92359,0.89624,0.96643,1.07923,1.09224
0.03,0.04,0.15,0.2,0.65,0.7,0.04391,0.00302,0.00242,0.02091,0.00205,0.00119,0.9835,0.96931,0.96643,1.08428,1.09731
0.03,0.04,0.15,0.2,0.7,0.75,0.03813,0.0028,0.00211,0.01584,0.00181,0.00089,0.99328,0.98948,0.96643,1.08941,1.10247
0.03,0.04,0.15,0.2,0.75,0.85,0.03085,0.00183,0.00173,0.0078,0.00085,0.00044,0.99834,0.99707,0.96643,1.09707,1.11017
0.03,0.04,0.2,0.3,0.3,0.35,0.23405,0.01165,0.0123,0.15449,0.00933,0.00825,0.99895,0.99872,0.98036,1.05036,1.06235
0.03,0.04,0.2,0.3,0.35,0.4,0.18763,0.0072,0.01001,0.11813,0.0057,0.00642,0.98695,0.98168,0.97826,1.05788,1.07015
0.03,0.04,0.2,0.3,0.4,0.45,0.14878,0.00553,0.00797,0.08598,0.00412,0.00471,0.96881,0.9586,0.97708,1.06192,1.0743
0.03,0.04,0.2,0.3,0.45,0.5,0.11969,0.00497,0.00656,0.07151,0.00383,0.00403,0.96069,0.94806,0.97709,1.06716,1.07955
0.03,0.04,0.2,0.3,0.5,0.55,0.09737,0.00444,0.00534,0.04693,0.003,0.00265,0.9497,0.92895,0.97709,1.0721,1.08454
0.03,0.04,0.2,0.3,0.55,0.6,0.07617,0.00394,0.00429,0.03748,0.0026,0.0022,0.92647,0.90535,0.97709,1.07726,1.08971
0.03,0.04,0.2,0.3,0.6,0.65,0.06056,0.00347,0.00341,0.03019,0.00245,0.00175,0.94427,0.92012,0.97709,1.08256,1.09504
0.03,0.04,0.2,0.3,0.65,0.7,0.05491,0.00346,0.00314,0.01876,0.00193,0.00107,0.99018,0.98384,0.97709,1.08753,1.10004
0.03,0.04,0.2,0.3,0.7,0.75,0.04022,0.00296,0.00249,0.0141,0.00169,0.00082,0.99599,0.994,0.97709,1.09282,1.10537
0.03,0.04,0.2,0.3,0.75,0.85,0.02842,0.00182,0.00191,0.00825,0.00093,0.00049,0.99906,0.99824,0.97692,1.10108,1.11369
0.03,0.04,0.3,0.5,0.2,0.25,0.44493,0.01677,0.02397,0.3187,0.01413,0.01733,0.99997,0.99996,0.98813,1.06738,1.07742
0.03,0.04,0.3,0.5,0.25,0.3,0.33185,0.01007,0.01774,0.24217,0.00861,0.01313,0.99983,0.99977,0.98636,1.06463,1.07539
0.03,0.04,0.3,0.5,0.3,0.35,0.26755,0.00891,0.01439,0.18605,0.00744,0.01011,0.99933,0.99919,0.98616,1.06859,1.07942
0.03,0.04,0.3,0.5,0.35,0.4,0.20753,0.00779,0.01134,0.13284,0.00619,0.00732,0.99248,0.99033,0.98616,1.07346,1.08434
0.03,0.04,0.3,0.5,0.4,0.45,0.16917,0.0071,0.00935,0.0914,0.00506,0.00519,0.98224,0.97689,0.98616,1.07902,1.08989
0.03,0.04,0.3,0.5,0.45,0.5,0.13359,0.00626,0.00763,0.07132,0.0045,0.00414,0.97559,0.96839,0.98612,1.08398,1.09491
0.03,0.04,0.3,0.5,0.5,0.55,0.11218,0.00617,0.00683,0.05793,0.00444,0.00351,0.96758,0.96235,0.98576,1.08819,1.09933
0.03,0.04,0.3,0.5,0.55,0.6,0.08373,0.00575,0.00536,0.035,0.00351,0.00208,0.96377,0.93939,0.98528,1.09196,1.10328
0.03,0.04,0.3,0.5,0.6,0.65,0.07296,0.00606,0.00489,0.03376,0.00406,0.00227,0.96615,0.95571,0.9847,1.09443,1.10591
0.03,0.04,0.3,0.5,0.65,0.7,0.04675,0.00563,0.00328,0.01756,0.0034,0.00106,0.99439,0.99172,0.98415,1.09783,1.10947
0.03,0.04,0.3,0.5,0.7,0.75,0.0415,0.00672,0.0027,0.02866,0.00624,0.00245,0.99741,0.99432,0.98376,1.09684,1.10856
0.03,0.04,0.5,0.7,0.2,0.25,0.48141,0.0222,0.02679,0.33182,0.01833,0.01859,0.99998,0.99998,0.99127,1.09678,1.10426
0.03,0.04,0.5,0.7,0.25,0.3,0.34978,0.0193,0.01974,0.27999,0.01739,0.0159,0.9999,0.9999,0.99127,1.10167,1.10921
0.03,0.04,0.5,0.7,0.3,0.35,0.32135,0.01946,0.01862,0.18193,0.01399,0.01067,0.99966,0.9996,0.99126,1.1065,1.11406
0.03,0.04,0.5,0.7,0.35,0.4,0.23463,0.01815,0.01428,0.12175,0.01244,0.00717,0.99548,0.99441,0.99095,1.10903,1.11702
0.03,0.04,0.5,0.7,0.4,0.45,0.15149,0.01913,0.01007,0.09143,0.01428,0.00608,0.99004,0.98508,0.99051,1.11707,1.1256
0.04,0.06,0.1,0.15,0.6,0.65,0.05862,0.00413,0.00321,0.03074,0.00301,0.00175,0.94722,0.91729,0.96977,1.06847,1.08183
0.04,0.06,0.1,0.15,0.65,0.7,0.04057,0.00278,0.00225,0.01679,0.00179,0.00096,0.98245,0.96564,0.96818,1.0766,1.08987
0.04,0.06,0.1,0.15,0.7,0.75,0.03871,0.0024,0.00213,0.01144,0.00127,0.00064,0.99384,0.98855,0.96661,1.08296,1.0961
0.04,0.06,0.1,0.15,0.75,0.85,0.02771,0.00133,0.00155,0.0063,0.0006,0.00037,0.99838,0.99576,0.96506,1.09287,1.10581
0.04,0.06,0.15,0.2,0.45,0.5,0.1114,0.00634,0.0059,0.06312,0.00483,0.00345,0.96609,0.95059,0.97854,1.05483,1.06844
0.04,0.06,0.15,0.2,0.5,0.55,0.0882,0.00437,0.00477,0.04428,0.00302,0.00249,0.95121,0.92985,0.97702,1.06099,1.0745
0.04,0.06,0.15,0.2,0.55,0.6,0.07107,0.0037,0.0039,0.03331,0.00245,0.00196,0.93705,0.907,0.9768,1.06625,1.07959
0.04,0.06,0.15,0.2,0.6,0.65,0.05938,0.00345,0.00328,0.03299,0.00254,0.0019,0.95569,0.92717,0.97681,1.07164,1.08483
0.04,0.06,0.15,0.2,0.65,0.7,0.04814,0.00314,0.00262,0.01989,0.00195,0.00111,0.98953,0.97917,0.97681,1.07723,1.09025
0.04,0.06,0.15,0.2,0.7,0.75,0.03309,0.00254,0.00183,0.01302,0.00161,0.00076,0.99619,0.99283,0.97681,1.08305,1.0959
0.04,0.06,0.15,0.2,0.75,0.85,0.02756,0.00167,0.00152,0.0065,0.00077,0.00036,0.9992,0.99723,0.97681,1.09104,1.10365
0.04,0.06,0.2,0.3,0.3,0.35,0.25598,0.01224,0.01349,0.15103,0.00924,0.0081,0.99928,0.99909,0.98635,1.05436,1.06779
0.04,0.06,0.2,0.3,0.35,0.4,0.207,0.00752,0.01101,0.12479,0.00584,0.00681,0.99164,0.98869,0.98505,1.05719,1.07066
0.04,0.06,0.2,0.3,0.4,0.45,0.14804,0.0055,0.0079,0.07936,0.00397,0.00431,0.97897,0.97261,0.98424,1.06093,1.0743
0.04,0.06,0.2,0.3,0.45,0.5,0.12263,0.00502,0.00659,0.06682,0.00364,0.00367,0.97608,0.9681,0.98424,1.06641,1.07962
0.04,0.06,0.2,0.3,0.5,0.55,0.1046,0.00461,0.00565,0.04645,0.00298,0.00259,0.96807,0.95523,0.98424,1.07208,1.08512
0.04,0.06,0.2,0.3,0.55,0.6,0.08281,0.00412,0.00454,0.03792,0.00272,0.0022,0.96034,0.94135,0.98424,1.07764,1.09052
0.04,0.06,0.2,0.3,0.6,0.65,0.06727,0.0037,0.00376,0.02731,0.00224,0.00155,0.9667,0.9519,0.98424,1.08327,1.09599
0.04,0.06,0.2,0.3,0.65,0.7,0.05154,0.00327,0.00298,0.01719,0.00184,0.00097,0.99363,0.98853,0.98424,1.08875,1.10131
0.04,0.06,0.2,0.3,0.7,0.75,0.03784,0.00278,0.00231,0.01273,0.00158,0.00075,0.99745,0.99631,0.98424,1.09434,1.10673
0.04,0.06,0.2,0.3,0.75,0.85,0.02744,0.00177,0.00183,0.00677,0.00082,0.00044,0.99942,0.99894,0.98411,1.1028,1.11496
0.04,0.06,0.3,0.5,0.2,0.25,0.47235,0.01773,0.02551,0.31893,0.01449,0.01734,0.99998,0.99998,0.99163,1.06491,1.0766
0.04,0.06,0.3,0.5,0.25,0.3,0.35003,0.01035,0.01867,0.24082,0.0087,0.01298,0.99989,0.99985,0.99037,1.059,1.07125
0.04,0.06,0.3,0.5,0.3,0.35,0.27636,0.00897,0.01477,0.16082,0.00679,0.00873,0.99958,0.99946,0.99025,1.06348,1.0756
0.04,0.06,0.3,0.5,0.35,0.4,0.22442,0.0082,0.01209,0.12161,0.00592,0.00662,0.99502,0.99323,0.99025,1.06905,1.08102
0.04,0.06,0.3,0.5,0.4,0.45,0.17046,0.00707,0.00931,0.0876,0.00498,0.00485,0.98836,0.98374,0.99025,1.07468,1.08648
0.04,0.06,0.3,0.5,0.45,0.5,0.139,0.00648,0.00802,0.0652,0.00426,0.00373,0.98662,0.98076,0.99022,1.07938,1.09103
0.04,0.06,0.3,0.5,0.5,0.55,0.10121,0.00575,0.00596,0.04381,0.00365,0.00257,0.98035,0.97097,0.98997,1.08376,1.09535
0.04,0.06,0.3,0.5,0.55,0.6,0.07634,0.00534,0.00504,0.04426,0.0041,0.00286,0.97308,0.96046,0.98961,1.08611,1.09772
0.04,0.06,0.3,0.5,0.6,0.65,0.06277,0.00559,0.00441,0.03548,0.00414,0.00253,0.97989,0.97418,0.98927,1.0879,1.09945
0.04,0.06,0.3,0.5,0.65,0.7,0.05374,0.00616,0.00355,0.01969,0.00335,0.00133,0.99637,0.99503,0.98895,1.09087,1.10242
0.04,0.06,0.3,0.5,0.7,0.75,0.05427,0.00806,0.00438,0.01021,0.00288,0.00063,0.99849,0.99703,0.98866,1.09035,1.10181
0.04,0.06,0.5,0.7,0.2,0.25,0.40108,0.02226,0.02187,0.35354,0.02142,0.0192,0.99998,0.99998,0.99398,1.07477,1.08355
0.04,0.06,0.5,0.7,0.25,0.3,0.36247,0.02183,0.0199,0.2684,0.01851,0.01485,0.99994,0.99992,0.99398,1.08047,1.08907
0.04,0.06,0.5,0.7,0.3,0.35,0.27945,0.01935,0.01582,0.18186,0.01546,0.01013,0.99977,0.99969,0.99396,1.08545,1.09392
0.04,0.06,0.5,0.7,0.35,0.4,0.23523,0.01966,0.01395,0.11893,0.01377,0.0068,0.99715,0.99587,0.9937,1.09322,1.102
