PdfType: replica
Format: lhagrid1
---
1.0000000e-09 1.2805087e-09 1.6397027e-09 2.0996536e-09 2.6886248e-09 3.4428076e-09 4.4085452e-09 5.6451808e-09 7.2287034e-09 9.2564179e-09 1.1852924e-08 1.5177773e-08 1.9435271e-08 2.4887035e-08 3.1868066e-08 4.0807337e-08 5.2254152e-08 6.6911899e-08 8.5681272e-08 1.0971562e-07 1.4049181e-07 1.7990099e-07 2.3036479e-07 2.9498413e-07 3.7772976e-07 4.8368627e-07 6.1936450e-07 7.9310166e-07 1.0155736e-06 1.3004509e-06 1.6652388e-06 2.1323528e-06 2.7304964e-06 3.4964246e-06 4.4772022e-06 5.7330966e-06 7.3412804e-06 9.4005738e-06 1.2037517e-05 1.5414146e-05 1.9737949e-05 2.5274616e-05 3.2364367e-05 4.1442855e-05 5.3067938e-05 6.7953959e-05 8.7015639e-05 1.1142429e-04 1.4267978e-04 1.8270270e-04 2.3395241e-04 2.9957810e-04 3.8361238e-04 4.9121901e-04 6.2901024e-04 8.0545312e-04 1.0313898e-03 1.3207036e-03 1.6911725e-03 2.1655612e-03 2.7730201e-03 3.5508765e-03 4.5469285e-03 5.8223817e-03 7.4556107e-03 9.5469747e-03 1.2224985e-02 1.5654200e-02 2.0045340e-02 2.5668233e-02 3.2868397e-02 4.2088270e-02 5.3894398e-02 6.9012248e-02 8.8370787e-02 1.0000000e-01 1.1216216e-01 1.2432432e-01 1.3648649e-01 1.4864865e-01 1.6081081e-01 1.7297297e-01 1.8513514e-01 1.9729730e-01 2.0945946e-01 2.2162162e-01 2.3378378e-01 2.4594595e-01 2.5810811e-01 2.7027027e-01 2.8243243e-01 2.9459459e-01 3.0675676e-01 3.1891892e-01 3.3108108e-01 3.4324324e-01 3.5540541e-01 3.6756757e-01 3.7972973e-01 3.9189189e-01 4.0405405e-01 4.1621622e-01 4.2837838e-01 4.4054054e-01 4.5270270e-01 4.6486486e-01 4.7702703e-01 4.8918919e-01 5.0135135e-01 5.1351351e-01 5.2567568e-01 5.3783784e-01 5.5000000e-01 5.6216216e-01 5.7432432e-01 5.8648649e-01 5.9864865e-01 6.1081081e-01 6.2297297e-01 6.3513514e-01 6.4729730e-01 6.5945946e-01 6.7162162e-01 6.8378378e-01 6.9594595e-01 7.0810811e-01 7.2027027e-01 7.3243243e-01 7.4459459e-01 7.5675676e-01 7.6891892e-01 7.8108108e-01 7.9324324e-01 8.0540541e-01 8.1756757e-01 8.2972973e-01 8.4189189e-01 8.5405405e-01 8.6621622e-01 8.7837838e-01 8.9054054e-01 9.0270270e-01 9.1486486e-01 9.2702703e-01 9.3918919e-01 9.5135135e-01 9.6351351e-01 9.7567568e-01 9.8783784e-01 1.0000000e+00 
1.0000000e+00 1.0768843e+00 1.1642787e+00 1.2640247e+00 1.3783565e+00 1.5100000e+00 
-5 -4 -3 -2 -1 21 1 2 3 4 5 
  3.6379789e-13 -7.9469222e-09 -7.1093364e+00  3.9459429e+00  3.9459445e+00 -2.1856789e-01  3.9463229e+00  3.9463243e+00 -7.1100087e+00 -7.9476496e-09 -3.6379789e-13 
  0.0000000e+00  0.0000000e+00 -6.9871221e+00  3.9398468e+00  3.9398487e+00  3.7476200e-01  3.9402342e+00  3.9402354e+00 -6.9878058e+00  0.0000000e+00  0.0000000e+00 
  0.0000000e+00  7.9472864e-09 -6.8330669e+00  3.9688179e+00  3.9688194e+00  1.2799257e+00  3.9692106e+00  3.9692121e+00 -6.8337584e+00  7.9472864e-09  0.0000000e+00 
  0.0000000e+00  0.0000000e+00 -6.6361184e+00  4.0437636e+00  4.0437655e+00  2.6226695e+00  4.0441637e+00  4.0441656e+00 -6.6368203e+00  0.0000000e+00  0.0000000e+00 
  0.0000000e+00  0.0000000e+00 -6.3838973e+00  4.1769271e+00  4.1769290e+00  4.5790057e+00  4.1773334e+00  4.1773357e+00 -6.3846107e+00  0.0000000e+00  0.0000000e+00 
  0.0000000e+00  3.1789146e-08 -6.0626235e+00  4.3819571e+00  4.3819590e+00  7.3870239e+00  4.3823700e+00  4.3823719e+00 -6.0633450e+00  3.1789146e-08  0.0000000e+00 
  1.1920807e-08  3.9727941e-09 -6.5101995e+00  3.6447809e+00  3.6447825e+00 -2.2578457e-01  3.6451895e+00  3.6451910e+00 -6.5109186e+00  3.9744918e-09  1.1921050e-08 
  0.0000000e+00  0.0000000e+00 -6.3947616e+00  3.6412072e+00  3.6412084e+00  3.5924873e-01  3.6416235e+00  3.6416252e+00 -6.3954921e+00  0.0000000e+00  0.0000000e+00 
  0.0000000e+00  7.9472864e-09 -6.2481909e+00  3.6717498e+00  3.6717520e+00  1.2514174e+00  3.6721725e+00  3.6721747e+00 -6.2489314e+00  7.9472864e-09  0.0000000e+00 
  0.0000000e+00 -1.5894573e-08 -6.0599689e+00  3.7468050e+00  3.7468069e+00  2.5746388e+00  3.7472346e+00  3.7472370e+00 -6.0607190e+00 -1.5894573e-08  0.0000000e+00 
 -1.5894573e-08 -2.3841858e-08 -5.8183498e+00  3.8779900e+00  3.8779919e+00  4.5014338e+00  3.8784268e+00  3.8784289e+00 -5.8191094e+00 -2.3841858e-08 -1.5894573e-08 
  0.0000000e+00  7.9472862e-08 -5.5103006e+00  4.0782146e+00  4.0782166e+00  7.2639022e+00  4.0786586e+00  4.0786605e+00 -5.5110707e+00  7.9472862e-08  0.0000000e+00 
 -7.2759577e-13  7.9475289e-09 -5.9542031e+00  3.3651948e+00  3.3651967e+00 -2.3323070e-01  3.3656347e+00  3.3656366e+00 -5.9549732e+00  7.9470430e-09  7.2759577e-13 
