#: table_doi: 10.17182/hepdata.76800.v1/t2,,,,,,,,,,,,,,
#: name: Table 2,,,,,,,,,,,,,,
#: description: Multiplicities of negatively charged pions from semi-inclusive deep-inelastic scattering of muons off an isoscalar target, $M^{\pi^{-}}$, in bins of $x$, $y$, and $z$. Also given are the diffractive vector meson correction to the pion count, $DVM^{\pi^{-}}$, and DIS count, $DVM^{DIS}$, as well as the radiative correction factors to the pion count, $\eta^{\pi^{-}}$, and DIS count, $\eta^{DIS}$. The correction factors were applied to the raw multiplicity to arrive at the final multiplicity given in the table, $M^{\pi^{-}}$, as follows:,
,,,,,,,,,,,,,,
$M^{\pi^{-}}$ =  $M_{raw}^{\pi^{-}}$ * $\frac{\eta^{\pi^{-}}} {\eta^{DIS}}$ * $\frac{ DVM^{\pi^{-}} }   {DVM^{DIS} }$.,,,,,,,,,,,,,,
#: data_file: data2.yaml,,,,,,,,,,,,,,
#: data_license:   ,,,,,,,,,,,,,,
#: keyword reactions: $\mu^{+}$ d --> $\mu^{+}$ $\pi^{-}$ X,,,,,,,,,,,,,,
#: keyword observables: MULT,,,,,,,,,,,,,,
#: keyword phrases: ,,,,,,,,,,,,,,
#: keyword cmenergies: ,,,,,,,,,,,,,,
#: PLAB [GEV],,,,,,,160,,,,,,,
#: RE,,,,,,,$\mu^{+}$ d --> $\mu^{+}$ $\pi^{-}$ X,,,,,,,
$x$,$x$ LOW,$x$ HIGH,$y$,$y$ LOW,$y$ HIGH,$<Q^2> (GeV/c)^2$,$z^{\pi^{-}}$,$z^{\pi^{-}}$ LOW,$z^{\pi^{-}}$ HIGH,$M^{\pi^{-}}$,stat +,stat -,sys +,sys -
0.0486,0.04,0.06,0.381,0.3,0.5,5.517,0.324,0.3,0.35,0.8059,0.0083,-0.0083,0.0403,-0.0403
0.0486,0.04,0.06,0.381,0.3,0.5,5.517,0.374,0.35,0.4,0.5574,0.007,-0.007,0.0279,-0.0279
0.0486,0.04,0.06,0.381,0.3,0.5,5.517,0.424,0.4,0.45,0.3946,0.0059,-0.0059,0.0198,-0.0198
0.0486,0.04,0.06,0.379,0.3,0.5,5.485,0.474,0.45,0.5,0.2791,0.0051,-0.0051,0.014,-0.014
0.0486,0.04,0.06,0.367,0.3,0.5,5.301,0.524,0.5,0.55,0.2042,0.0047,-0.0047,0.0103,-0.0103
0.0486,0.04,0.06,0.353,0.3,0.5,5.097,0.574,0.55,0.6,0.1516,0.0045,-0.0045,0.0077,-0.0077
0.0486,0.04,0.06,0.34,0.3,0.5,4.908,0.624,0.6,0.65,0.1105,0.0044,-0.0044,0.0058,-0.0058
0.0486,0.04,0.06,0.329,0.3,0.5,4.734,0.673,0.65,0.7,0.0824,0.0045,-0.0045,0.0045,-0.0045
0.0487,0.04,0.06,0.319,0.3,0.5,4.569,0.724,0.7,0.75,0.0601,0.0048,-0.0048,0.0034,-0.0034
0.0487,0.04,0.06,0.307,0.3,0.5,4.202,0.794,0.75,0.85,0.0367,0.0093,-0.0093,0.0027,-0.0027
0.0486,0.04,0.06,0.586,0.5,0.7,8.496,0.223,0.2,0.25,1.7188,0.0237,-0.0237,0.086,-0.086
0.0486,0.04,0.06,0.586,0.5,0.7,8.496,0.273,0.25,0.3,1.0807,0.0191,-0.0191,0.0541,-0.0541
0.0486,0.04,0.06,0.585,0.5,0.7,8.471,0.324,0.3,0.35,0.7577,0.0166,-0.0166,0.038,-0.038
0.0486,0.04,0.06,0.56,0.5,0.7,8.072,0.374,0.35,0.4,0.5232,0.0158,-0.0158,0.0264,-0.0264
0.0486,0.04,0.06,0.532,0.5,0.7,7.608,0.424,0.4,0.45,0.3673,0.0179,-0.0179,0.0192,-0.0192
0.0766,0.06,0.1,0.142,0.1,0.15,3.301,0.574,0.55,0.6,0.1802,0.0081,-0.0081,0.0091,-0.0091
0.0766,0.06,0.1,0.137,0.1,0.15,3.146,0.624,0.6,0.65,0.1337,0.0049,-0.0049,0.0069,-0.0069
0.0766,0.06,0.1,0.131,0.1,0.15,3.015,0.674,0.65,0.7,0.1003,0.0035,-0.0035,0.0055,-0.0055
0.0766,0.06,0.1,0.127,0.1,0.15,2.901,0.724,0.7,0.75,0.0773,0.0027,-0.0027,0.0047,-0.0047
0.0766,0.06,0.1,0.123,0.1,0.15,2.813,0.795,0.75,0.85,0.0591,0.0015,-0.0015,0.0047,-0.0047
0.0765,0.06,0.1,0.192,0.15,0.2,4.482,0.424,0.4,0.45,0.4233,0.0151,-0.0151,0.0212,-0.0212
0.0765,0.06,0.1,0.182,0.15,0.2,4.19,0.474,0.45,0.5,0.3025,0.0071,-0.0071,0.0151,-0.0151
0.0765,0.06,0.1,0.174,0.15,0.2,3.984,0.524,0.5,0.55,0.2257,0.005,-0.005,0.0113,-0.0113
0.0765,0.06,0.1,0.173,0.15,0.2,3.936,0.574,0.55,0.6,0.1647,0.004,-0.004,0.0083,-0.0083
0.0765,0.06,0.1,0.173,0.15,0.2,3.935,0.624,0.6,0.65,0.1278,0.0035,-0.0035,0.0065,-0.0065
0.0765,0.06,0.1,0.173,0.15,0.2,3.935,0.674,0.65,0.7,0.0975,0.0031,-0.0031,0.0051,-0.0051
0.0765,0.06,0.1,0.173,0.15,0.2,3.935,0.724,0.7,0.75,0.0735,0.0026,-0.0026,0.0041,-0.0041
0.0765,0.06,0.1,0.173,0.15,0.2,3.935,0.795,0.75,0.85,0.0465,0.0014,-0.0014,0.0032,-0.0032
0.0765,0.06,0.1,0.273,0.2,0.3,6.282,0.324,0.3,0.35,0.8289,0.0124,-0.0124,0.0414,-0.0414
0.0765,0.06,0.1,0.252,0.2,0.3,5.78,0.374,0.35,0.4,0.558,0.0073,-0.0073,0.0279,-0.0279
0.0765,0.06,0.1,0.243,0.2,0.3,5.539,0.424,0.4,0.45,0.4003,0.0055,-0.0055,0.02,-0.02
0.0765,0.06,0.1,0.243,0.2,0.3,5.533,0.474,0.45,0.5,0.2908,0.0047,-0.0047,0.0145,-0.0145
0.0765,0.06,0.1,0.243,0.2,0.3,5.533,0.524,0.5,0.55,0.2116,0.004,-0.004,0.0106,-0.0106
0.0765,0.06,0.1,0.243,0.2,0.3,5.533,0.574,0.55,0.6,0.1614,0.0035,-0.0035,0.0081,-0.0081
0.0765,0.06,0.1,0.243,0.2,0.3,5.533,0.624,0.6,0.65,0.1117,0.0028,-0.0028,0.0056,-0.0056
0.0765,0.06,0.1,0.243,0.2,0.3,5.533,0.674,0.65,0.7,0.0846,0.0025,-0.0025,0.0044,-0.0044
0.0765,0.06,0.1,0.243,0.2,0.3,5.533,0.724,0.7,0.75,0.0633,0.0022,-0.0022,0.0034,-0.0034
0.0765,0.06,0.1,0.24,0.2,0.3,5.47,0.795,0.75,0.85,0.0432,0.0013,-0.0013,0.0028,-0.0028
0.0764,0.06,0.1,0.431,0.3,0.5,9.871,0.223,0.2,0.25,1.7643,0.021,-0.021,0.0882,-0.0882
0.0765,0.06,0.1,0.384,0.3,0.5,8.772,0.274,0.25,0.3,1.1681,0.0113,-0.0113,0.0584,-0.0584
0.0765,0.06,0.1,0.38,0.3,0.5,8.666,0.324,0.3,0.35,0.8036,0.0091,-0.0091,0.0402,-0.0402
0.0765,0.06,0.1,0.38,0.3,0.5,8.666,0.374,0.35,0.4,0.5616,0.0077,-0.0077,0.0281,-0.0281
0.0765,0.06,0.1,0.38,0.3,0.5,8.666,0.424,0.4,0.45,0.384,0.0064,-0.0064,0.0192,-0.0192
0.0765,0.06,0.1,0.379,0.3,0.5,8.617,0.474,0.45,0.5,0.2663,0.0054,-0.0054,0.0134,-0.0134
0.0765,0.06,0.1,0.367,0.3,0.5,8.328,0.524,0.5,0.55,0.2037,0.0051,-0.0051,0.0105,-0.0105
0.0765,0.06,0.1,0.353,0.3,0.5,8.008,0.574,0.55,0.6,0.1473,0.0047,-0.0047,0.0076,-0.0076
0.0765,0.06,0.1,0.34,0.3,0.5,7.714,0.624,0.6,0.65,0.1019,0.0043,-0.0043,0.0053,-0.0053
0.0765,0.06,0.1,0.329,0.3,0.5,7.441,0.674,0.65,0.7,0.077,0.0044,-0.0044,0.0045,-0.0045
0.0765,0.06,0.1,0.319,0.3,0.5,7.18,0.724,0.7,0.75,0.0521,0.0045,-0.0045,0.0033,-0.0033
0.0764,0.06,0.1,0.307,0.3,0.5,6.597,0.794,0.75,0.85,0.0329,0.0091,-0.0091,0.002,-0.002
0.0765,0.06,0.1,0.586,0.5,0.7,13.359,0.223,0.2,0.25,1.6777,0.0322,-0.0322,0.0839,-0.0839
0.0765,0.06,0.1,0.586,0.5,0.7,13.359,0.273,0.25,0.3,1.1582,0.0276,-0.0276,0.058,-0.058
0.0765,0.06,0.1,0.585,0.5,0.7,13.322,0.323,0.3,0.35,0.7383,0.0228,-0.0228,0.037,-0.037
0.0765,0.06,0.1,0.56,0.5,0.7,12.69,0.373,0.35,0.4,0.5105,0.021,-0.021,0.0258,-0.0258
0.0765,0.06,0.1,0.532,0.5,0.7,11.965,0.424,0.4,0.45,0.3781,0.0248,-0.0248,0.0193,-0.0193
0.1176,0.1,0.14,0.142,0.1,0.15,5.071,0.574,0.55,0.6,0.1565,0.0104,-0.0104,0.0079,-0.0079
0.1176,0.1,0.14,0.137,0.1,0.15,4.832,0.624,0.6,0.65,0.1105,0.0061,-0.0061,0.0056,-0.0056
0.1176,0.1,0.14,0.131,0.1,0.15,4.631,0.674,0.65,0.7,0.0798,0.0042,-0.0042,0.0041,-0.0041
0.1176,0.1,0.14,0.127,0.1,0.15,4.454,0.724,0.7,0.75,0.0732,0.0036,-0.0036,0.004,-0.004
0.1176,0.1,0.14,0.123,0.1,0.15,4.32,0.795,0.75,0.85,0.0488,0.0019,-0.0019,0.0033,-0.0033
0.1176,0.1,0.14,0.192,0.15,0.2,6.89,0.424,0.4,0.45,0.3763,0.0187,-0.0187,0.0188,-0.0188
0.1176,0.1,0.14,0.182,0.15,0.2,6.44,0.474,0.45,0.5,0.2883,0.0094,-0.0094,0.0144,-0.0144
0.1176,0.1,0.14,0.174,0.15,0.2,6.122,0.524,0.5,0.55,0.2103,0.0065,-0.0065,0.0105,-0.0105
0.1176,0.1,0.14,0.173,0.15,0.2,6.048,0.574,0.55,0.6,0.1408,0.005,-0.005,0.0071,-0.0071
0.1176,0.1,0.14,0.173,0.15,0.2,6.047,0.624,0.6,0.65,0.1065,0.0043,-0.0043,0.0054,-0.0054
0.1176,0.1,0.14,0.173,0.15,0.2,6.047,0.674,0.65,0.7,0.083,0.0037,-0.0037,0.0042,-0.0042
0.1176,0.1,0.14,0.173,0.15,0.2,6.047,0.724,0.7,0.75,0.0639,0.0033,-0.0033,0.0034,-0.0034
0.1176,0.1,0.14,0.173,0.15,0.2,6.047,0.795,0.75,0.85,0.0407,0.0017,-0.0017,0.0026,-0.0026
0.1176,0.1,0.14,0.273,0.2,0.3,9.652,0.324,0.3,0.35,0.7891,0.0189,-0.0189,0.0395,-0.0395
0.1176,0.1,0.14,0.252,0.2,0.3,8.881,0.374,0.35,0.4,0.5635,0.011,-0.011,0.0282,-0.0282
0.1176,0.1,0.14,0.243,0.2,0.3,8.509,0.424,0.4,0.45,0.3965,0.0081,-0.0081,0.0198,-0.0198
0.1176,0.1,0.14,0.243,0.2,0.3,8.501,0.474,0.45,0.5,0.2837,0.0068,-0.0068,0.0142,-0.0142
0.1176,0.1,0.14,0.243,0.2,0.3,8.501,0.524,0.5,0.55,0.1999,0.0057,-0.0057,0.01,-0.01
0.1176,0.1,0.14,0.243,0.2,0.3,8.501,0.574,0.55,0.6,0.1356,0.0046,-0.0046,0.0068,-0.0068
0.1176,0.1,0.14,0.243,0.2,0.3,8.501,0.624,0.6,0.65,0.1109,0.0042,-0.0042,0.0056,-0.0056
0.1176,0.1,0.14,0.243,0.2,0.3,8.501,0.674,0.65,0.7,0.0787,0.0035,-0.0035,0.004,-0.004
0.1176,0.1,0.14,0.243,0.2,0.3,8.501,0.724,0.7,0.75,0.0579,0.003,-0.003,0.003,-0.003
0.1176,0.1,0.14,0.24,0.2,0.3,8.404,0.795,0.75,0.85,0.0354,0.0017,-0.0017,0.0021,-0.0021
0.1175,0.1,0.14,0.431,0.3,0.5,15.177,0.223,0.2,0.25,1.7333,0.0392,-0.0392,0.0867,-0.0867
0.1175,0.1,0.14,0.384,0.3,0.5,13.486,0.274,0.25,0.3,1.1419,0.0202,-0.0202,0.0571,-0.0571
0.1175,0.1,0.14,0.38,0.3,0.5,13.321,0.324,0.3,0.35,0.7745,0.0162,-0.0162,0.0387,-0.0387
0.1175,0.1,0.14,0.38,0.3,0.5,13.321,0.374,0.35,0.4,0.5444,0.0136,-0.0136,0.0273,-0.0273
0.1175,0.1,0.14,0.38,0.3,0.5,13.321,0.424,0.4,0.45,0.372,0.0112,-0.0112,0.0187,-0.0187
0.1175,0.1,0.14,0.379,0.3,0.5,13.245,0.474,0.45,0.5,0.266,0.0096,-0.0096,0.0135,-0.0135
0.1175,0.1,0.14,0.367,0.3,0.5,12.798,0.524,0.5,0.55,0.2006,0.009,-0.009,0.0105,-0.0105
0.1175,0.1,0.14,0.353,0.3,0.5,12.305,0.574,0.55,0.6,0.1533,0.0086,-0.0086,0.008,-0.008
0.1175,0.1,0.14,0.34,0.3,0.5,11.855,0.624,0.6,0.65,0.0946,0.0073,-0.0073,0.0051,-0.0051
0.1175,0.1,0.14,0.329,0.3,0.5,11.435,0.673,0.65,0.7,0.0779,0.0074,-0.0074,0.0053,-0.0053
0.1175,0.1,0.14,0.319,0.3,0.5,11.035,0.724,0.7,0.75,0.0402,0.0064,-0.0064,0.0029,-0.0029
0.1176,0.1,0.14,0.586,0.5,0.7,20.541,0.223,0.2,0.25,1.7462,0.0657,-0.0657,0.0874,-0.0874
0.1176,0.1,0.14,0.586,0.5,0.7,20.541,0.274,0.25,0.3,1.0482,0.0507,-0.0507,0.0525,-0.0525
0.1176,0.1,0.14,0.585,0.5,0.7,20.483,0.324,0.3,0.35,0.75,0.0447,-0.0447,0.0378,-0.0378
0.1176,0.1,0.14,0.56,0.5,0.7,19.513,0.373,0.35,0.4,0.5039,0.0397,-0.0397,0.0296,-0.0296
0.1175,0.1,0.14,0.532,0.5,0.7,18.389,0.424,0.4,0.45,0.3505,0.0443,-0.0443,0.0223,-0.0223
0.1581,0.14,0.18,0.142,0.1,0.15,6.819,0.574,0.55,0.6,0.1283,0.0123,-0.0123,0.0064,-0.0064
0.1581,0.14,0.18,0.137,0.1,0.15,6.496,0.624,0.6,0.65,0.1007,0.0078,-0.0078,0.0051,-0.0051
0.1581,0.14,0.18,0.131,0.1,0.15,6.224,0.674,0.65,0.7,0.0715,0.0056,-0.0056,0.0036,-0.0036
0.1581,0.14,0.18,0.126,0.1,0.15,5.987,0.724,0.7,0.75,0.065,0.0048,-0.0048,0.0034,-0.0034
0.1581,0.14,0.18,0.123,0.1,0.15,5.81,0.795,0.75,0.85,0.041,0.0024,-0.0024,0.0025,-0.0025
0.1581,0.14,0.18,0.192,0.15,0.2,9.262,0.424,0.4,0.45,0.3347,0.0254,-0.0254,0.0167,-0.0167
0.1581,0.14,0.18,0.182,0.15,0.2,8.658,0.474,0.45,0.5,0.2673,0.0131,-0.0131,0.0134,-0.0134
0.1581,0.14,0.18,0.174,0.15,0.2,8.229,0.524,0.5,0.55,0.19,0.0086,-0.0086,0.0095,-0.0095
0.1581,0.14,0.18,0.173,0.15,0.2,8.13,0.574,0.55,0.6,0.1341,0.0068,-0.0068,0.0067,-0.0067
0.1581,0.14,0.18,0.173,0.15,0.2,8.129,0.624,0.6,0.65,0.1017,0.006,-0.006,0.0051,-0.0051
0.1581,0.14,0.18,0.173,0.15,0.2,8.129,0.674,0.65,0.7,0.0777,0.005,-0.005,0.004,-0.004
0.1581,0.14,0.18,0.173,0.15,0.2,8.129,0.724,0.7,0.75,0.058,0.0044,-0.0044,0.0031,-0.0031
0.1581,0.14,0.18,0.173,0.15,0.2,8.129,0.794,0.75,0.85,0.034,0.0022,-0.0022,0.002,-0.002
0.1581,0.14,0.18,0.273,0.2,0.3,12.978,0.324,0.3,0.35,0.8047,0.0297,-0.0297,0.0402,-0.0402
0.1581,0.14,0.18,0.252,0.2,0.3,11.938,0.374,0.35,0.4,0.5142,0.0157,-0.0157,0.0257,-0.0257
0.1581,0.14,0.18,0.243,0.2,0.3,11.437,0.424,0.4,0.45,0.3827,0.0119,-0.0119,0.0191,-0.0191
0.1581,0.14,0.18,0.243,0.2,0.3,11.426,0.474,0.45,0.5,0.2645,0.0098,-0.0098,0.0132,-0.0132
0.1581,0.14,0.18,0.243,0.2,0.3,11.426,0.524,0.5,0.55,0.1931,0.0082,-0.0082,0.0097,-0.0097
0.1581,0.14,0.18,0.243,0.2,0.3,11.426,0.574,0.55,0.6,0.1238,0.0064,-0.0064,0.0062,-0.0062
0.1581,0.14,0.18,0.243,0.2,0.3,11.426,0.624,0.6,0.65,0.0963,0.0057,-0.0057,0.0048,-0.0048
0.1581,0.14,0.18,0.243,0.2,0.3,11.426,0.674,0.65,0.7,0.0684,0.0047,-0.0047,0.0035,-0.0035
0.1581,0.14,0.18,0.243,0.2,0.3,11.426,0.724,0.7,0.75,0.05,0.0041,-0.0041,0.0026,-0.0026
0.1581,0.14,0.18,0.24,0.2,0.3,11.296,0.795,0.75,0.85,0.0305,0.0023,-0.0023,0.0018,-0.0018
0.1581,0.14,0.18,0.431,0.3,0.5,20.404,0.223,0.2,0.25,1.6941,0.0614,-0.0614,0.0847,-0.0847
0.1581,0.14,0.18,0.384,0.3,0.5,18.128,0.273,0.25,0.3,1.1638,0.0329,-0.0329,0.0582,-0.0582
0.1581,0.14,0.18,0.38,0.3,0.5,17.908,0.324,0.3,0.35,0.7411,0.0253,-0.0253,0.0371,-0.0371
0.1581,0.14,0.18,0.38,0.3,0.5,17.908,0.374,0.35,0.4,0.5379,0.0217,-0.0217,0.0269,-0.0269
0.1581,0.14,0.18,0.38,0.3,0.5,17.908,0.424,0.4,0.45,0.374,0.0182,-0.0182,0.0189,-0.0189
0.1581,0.14,0.18,0.378,0.3,0.5,17.806,0.474,0.45,0.5,0.2993,0.0171,-0.0171,0.0152,-0.0152
0.1581,0.14,0.18,0.367,0.3,0.5,17.214,0.524,0.5,0.55,0.2085,0.0147,-0.0147,0.011,-0.011
0.1581,0.14,0.18,0.353,0.3,0.5,16.552,0.574,0.55,0.6,0.1386,0.0126,-0.0126,0.0077,-0.0077
0.1581,0.14,0.18,0.34,0.3,0.5,15.948,0.623,0.6,0.65,0.0852,0.0108,-0.0108,0.0052,-0.0052
0.1581,0.14,0.18,0.329,0.3,0.5,15.382,0.673,0.65,0.7,0.0689,0.0117,-0.0117,0.0044,-0.0044
0.1581,0.14,0.18,0.319,0.3,0.5,14.845,0.723,0.7,0.75,0.0461,0.0115,-0.0115,0.0033,-0.0033
0.2505,0.18,0.4,0.192,0.15,0.2,14.675,0.424,0.4,0.45,0.3566,0.0284,-0.0284,0.0178,-0.0178
0.2505,0.18,0.4,0.182,0.15,0.2,13.715,0.474,0.45,0.5,0.2751,0.0143,-0.0143,0.0138,-0.0138
0.2504,0.18,0.4,0.174,0.15,0.2,13.031,0.524,0.5,0.55,0.2017,0.0098,-0.0098,0.0101,-0.0101
0.2504,0.18,0.4,0.172,0.15,0.2,12.873,0.574,0.55,0.6,0.1376,0.0076,-0.0076,0.0069,-0.0069
0.2504,0.18,0.4,0.172,0.15,0.2,12.87,0.624,0.6,0.65,0.1011,0.0065,-0.0065,0.0051,-0.0051
0.2504,0.18,0.4,0.172,0.15,0.2,12.87,0.674,0.65,0.7,0.0756,0.0055,-0.0055,0.0038,-0.0038
0.2504,0.18,0.4,0.172,0.15,0.2,12.87,0.724,0.7,0.75,0.0487,0.0044,-0.0044,0.0025,-0.0025
0.2504,0.18,0.4,0.172,0.15,0.2,12.87,0.794,0.75,0.85,0.0284,0.0022,-0.0022,0.0016,-0.0016
0.2501,0.18,0.4,0.273,0.2,0.3,20.535,0.324,0.3,0.35,0.7499,0.0312,-0.0312,0.0375,-0.0375
0.2502,0.18,0.4,0.252,0.2,0.3,18.893,0.374,0.35,0.4,0.5169,0.0169,-0.0169,0.0258,-0.0258
0.2503,0.18,0.4,0.243,0.2,0.3,18.105,0.424,0.4,0.45,0.3499,0.0121,-0.0121,0.0175,-0.0175
0.2503,0.18,0.4,0.243,0.2,0.3,18.086,0.474,0.45,0.5,0.2547,0.0103,-0.0103,0.0127,-0.0127
0.2503,0.18,0.4,0.243,0.2,0.3,18.086,0.524,0.5,0.55,0.1867,0.0088,-0.0088,0.0093,-0.0093
0.2503,0.18,0.4,0.243,0.2,0.3,18.086,0.574,0.55,0.6,0.1338,0.0073,-0.0073,0.0067,-0.0067
0.2503,0.18,0.4,0.243,0.2,0.3,18.086,0.624,0.6,0.65,0.1041,0.0064,-0.0064,0.0052,-0.0052
0.2503,0.18,0.4,0.243,0.2,0.3,18.086,0.674,0.65,0.7,0.0644,0.0048,-0.0048,0.0033,-0.0033
0.2503,0.18,0.4,0.243,0.2,0.3,18.086,0.724,0.7,0.75,0.0487,0.0043,-0.0043,0.0025,-0.0025
0.2503,0.18,0.4,0.24,0.2,0.3,17.882,0.795,0.75,0.85,0.0256,0.0022,-0.0022,0.0015,-0.0015
0.2497,0.18,0.4,0.431,0.3,0.5,32.238,0.223,0.2,0.25,1.7251,0.0676,-0.0676,0.0863,-0.0863
0.25,0.18,0.4,0.384,0.3,0.5,28.65,0.274,0.25,0.3,1.094,0.0324,-0.0324,0.0547,-0.0547
0.25,0.18,0.4,0.38,0.3,0.5,28.303,0.324,0.3,0.35,0.7364,0.0256,-0.0256,0.0368,-0.0368
0.25,0.18,0.4,0.38,0.3,0.5,28.303,0.374,0.35,0.4,0.4983,0.021,-0.021,0.025,-0.025
0.25,0.18,0.4,0.38,0.3,0.5,28.303,0.424,0.4,0.45,0.3577,0.0179,-0.0179,0.018,-0.018
0.25,0.18,0.4,0.378,0.3,0.5,28.146,0.474,0.45,0.5,0.2669,0.0156,-0.0156,0.0136,-0.0136
0.25,0.18,0.4,0.366,0.3,0.5,27.209,0.524,0.5,0.55,0.1932,0.0138,-0.0138,0.0102,-0.0102
0.2501,0.18,0.4,0.353,0.3,0.5,26.174,0.574,0.55,0.6,0.1361,0.0124,-0.0124,0.0075,-0.0075
0.2501,0.18,0.4,0.34,0.3,0.5,25.228,0.624,0.6,0.65,0.1103,0.0126,-0.0126,0.0068,-0.0068
0.2502,0.18,0.4,0.329,0.3,0.5,24.339,0.674,0.65,0.7,0.0729,0.0112,-0.0112,0.0047,-0.0047
