#: table_doi: 10.17182/hepdata.76800.v1/t2,,,,,,,,,,,,,,
#: name: Table 2,,,,,,,,,,,,,,
#: description: Multiplicities of negatively charged pions from semi-inclusive deep-inelastic scattering of muons off an isoscalar target, $M^{\pi^{-}}$, in bins of $x$, $y$, and $z$. Also given are the diffractive vector meson correction to the pion count, $DVM^{\pi^{-}}$, and DIS count, $DVM^{DIS}$, as well as the radiative correction factors to the pion count, $\eta^{\pi^{-}}$, and DIS count, $\eta^{DIS}$. The correction factors were applied to the raw multiplicity to arrive at the final multiplicity given in the table, $M^{\pi^{-}}$, as follows:,
,,,,,,,,,,,,,,
$M^{\pi^{-}}$ =  $M_{raw}^{\pi^{-}}$ * $\frac{\eta^{\pi^{-}}} {\eta^{DIS}}$ * $\frac{ DVM^{\pi^{-}} }   {DVM^{DIS} }$.,,,,,,,,,,,,,,
#: data_file: data2.yaml,,,,,,,,,,,,,,
#: data_license:   ,,,,,,,,,,,,,,
#: keyword reactions: $\mu^{+}$ d --> $\mu^{+}$ $\pi^{-}$ X,,,,,,,,,,,,,,
#: keyword observables: MULT,,,,,,,,,,,,,,
#: keyword phrases: ,,,,,,,,,,,,,,
#: keyword cmenergies: ,,,,,,,,,,,,,,
#: PLAB [GEV],,,,,,,160,,,,,,,
#: RE,,,,,,,$\mu^{+}$ d --> $\mu^{+}$ $\pi^{-}$ X,,,,,,,
$x$,$x$ LOW,$x$ HIGH,$y$,$y$ LOW,$y$ HIGH,$<Q^2> (GeV/c)^2$,$z^{\pi^{-}}$,$z^{\pi^{-}}$ LOW,$z^{\pi^{-}}$ HIGH,$M^{\pi^{-}}$,stat +,stat -,sys +,sys -
0.014,0.01,0.02,0.386,0.3,0.5,1.612,0.274,0.25,0.3,1.2042,0.0063,-0.0063,0.0603,-0.0603
0.014,0.01,0.02,0.383,0.3,0.5,1.6,0.324,0.3,0.35,0.841,0.0053,-0.0053,0.0421,-0.0421
0.014,0.01,0.02,0.383,0.3,0.5,1.6,0.374,0.35,0.4,0.6068,0.0046,-0.0046,0.0304,-0.0304
0.014,0.01,0.02,0.383,0.3,0.5,1.6,0.424,0.4,0.45,0.4265,0.0039,-0.0039,0.0214,-0.0214
0.014,0.01,0.02,0.381,0.3,0.5,1.59,0.474,0.45,0.5,0.3186,0.0035,-0.0035,0.0162,-0.0162
0.014,0.01,0.02,0.369,0.3,0.5,1.538,0.524,0.5,0.55,0.2309,0.0033,-0.0033,0.012,-0.012
0.0141,0.01,0.02,0.355,0.3,0.5,1.481,0.574,0.55,0.6,0.1849,0.0033,-0.0033,0.01,-0.01
0.0141,0.01,0.02,0.342,0.3,0.5,1.431,0.624,0.6,0.65,0.1381,0.0033,-0.0033,0.0083,-0.0083
0.0142,0.01,0.02,0.33,0.3,0.5,1.387,0.674,0.65,0.7,0.1111,0.0036,-0.0036,0.0076,-0.0076
0.0144,0.01,0.02,0.32,0.3,0.5,1.353,0.724,0.7,0.75,0.0737,0.0038,-0.0038,0.0065,-0.0065
0.0151,0.01,0.02,0.307,0.3,0.5,1.301,0.795,0.75,0.85,0.0695,0.01,-0.01,0.0069,-0.0069
0.0139,0.01,0.02,0.586,0.5,0.7,2.432,0.223,0.2,0.25,1.6971,0.0094,-0.0094,0.085,-0.085
0.0139,0.01,0.02,0.586,0.5,0.7,2.432,0.273,0.25,0.3,1.1416,0.008,-0.008,0.0571,-0.0571
0.0139,0.01,0.02,0.585,0.5,0.7,2.426,0.324,0.3,0.35,0.8073,0.0071,-0.0071,0.0404,-0.0404
0.0139,0.01,0.02,0.56,0.5,0.7,2.311,0.374,0.35,0.4,0.5586,0.0072,-0.0072,0.0281,-0.0281
0.0139,0.01,0.02,0.532,0.5,0.7,2.179,0.424,0.4,0.45,0.4036,0.0089,-0.0089,0.0213,-0.0213
0.0263,0.02,0.03,0.143,0.1,0.15,1.138,0.574,0.55,0.6,0.1934,0.0096,-0.0096,0.0121,-0.0121
0.0268,0.02,0.03,0.139,0.1,0.15,1.117,0.624,0.6,0.65,0.1605,0.0069,-0.0069,0.0098,-0.0098
0.0271,0.02,0.03,0.136,0.1,0.15,1.106,0.674,0.65,0.7,0.1222,0.0058,-0.0058,0.0093,-0.0093
0.0271,0.02,0.03,0.136,0.1,0.15,1.104,0.724,0.7,0.75,0.1047,0.0054,-0.0054,0.0096,-0.0096
0.0271,0.02,0.03,0.136,0.1,0.15,1.104,0.795,0.75,0.85,0.0749,0.0035,-0.0035,0.0085,-0.0085
0.0244,0.02,0.03,0.192,0.15,0.2,1.427,0.424,0.4,0.45,0.4752,0.0154,-0.0154,0.0238,-0.0238
0.0244,0.02,0.03,0.182,0.15,0.2,1.334,0.474,0.45,0.5,0.3445,0.0073,-0.0073,0.0175,-0.0175
0.0246,0.02,0.03,0.175,0.15,0.2,1.285,0.524,0.5,0.55,0.2722,0.0054,-0.0054,0.0142,-0.0142
0.0246,0.02,0.03,0.174,0.15,0.2,1.278,0.574,0.55,0.6,0.2035,0.0045,-0.0045,0.0114,-0.0114
0.0246,0.02,0.03,0.174,0.15,0.2,1.278,0.624,0.6,0.65,0.1626,0.0041,-0.0041,0.0102,-0.0102
0.0246,0.02,0.03,0.174,0.15,0.2,1.278,0.674,0.65,0.7,0.1253,0.0036,-0.0036,0.0087,-0.0087
0.0246,0.02,0.03,0.174,0.15,0.2,1.278,0.724,0.7,0.75,0.0993,0.0033,-0.0033,0.0081,-0.0081
0.0246,0.02,0.03,0.174,0.15,0.2,1.278,0.795,0.75,0.85,0.0652,0.0019,-0.0019,0.0077,-0.0077
0.0244,0.02,0.03,0.273,0.2,0.3,2,0.324,0.3,0.35,0.8525,0.0125,-0.0125,0.0426,-0.0426
0.0244,0.02,0.03,0.253,0.2,0.3,1.841,0.374,0.35,0.4,0.6425,0.008,-0.008,0.0321,-0.0321
0.0244,0.02,0.03,0.243,0.2,0.3,1.765,0.424,0.4,0.45,0.4491,0.006,-0.006,0.0225,-0.0225
0.0244,0.02,0.03,0.243,0.2,0.3,1.763,0.474,0.45,0.5,0.3301,0.0051,-0.0051,0.0166,-0.0166
0.0244,0.02,0.03,0.243,0.2,0.3,1.763,0.524,0.5,0.55,0.2419,0.0043,-0.0043,0.0123,-0.0123
0.0244,0.02,0.03,0.243,0.2,0.3,1.763,0.574,0.55,0.6,0.1893,0.0038,-0.0038,0.0099,-0.0099
0.0244,0.02,0.03,0.243,0.2,0.3,1.763,0.624,0.6,0.65,0.1426,0.0033,-0.0033,0.0079,-0.0079
0.0244,0.02,0.03,0.243,0.2,0.3,1.763,0.674,0.65,0.7,0.1153,0.003,-0.003,0.0069,-0.0069
0.0244,0.02,0.03,0.243,0.2,0.3,1.763,0.724,0.7,0.75,0.091,0.0027,-0.0027,0.0063,-0.0063
0.0244,0.02,0.03,0.241,0.2,0.3,1.743,0.795,0.75,0.85,0.0622,0.0017,-0.0017,0.0063,-0.0063
0.0244,0.02,0.03,0.431,0.3,0.5,3.146,0.223,0.2,0.25,1.7776,0.0144,-0.0144,0.0889,-0.0889
0.0244,0.02,0.03,0.385,0.3,0.5,2.797,0.274,0.25,0.3,1.1997,0.0089,-0.0089,0.06,-0.06
0.0244,0.02,0.03,0.381,0.3,0.5,2.764,0.324,0.3,0.35,0.8269,0.0073,-0.0073,0.0414,-0.0414
0.0244,0.02,0.03,0.381,0.3,0.5,2.764,0.374,0.35,0.4,0.5867,0.0063,-0.0063,0.0293,-0.0293
0.0244,0.02,0.03,0.381,0.3,0.5,2.764,0.424,0.4,0.45,0.4272,0.0054,-0.0054,0.0214,-0.0214
0.0244,0.02,0.03,0.379,0.3,0.5,2.748,0.474,0.45,0.5,0.3066,0.0047,-0.0047,0.0154,-0.0154
0.0244,0.02,0.03,0.367,0.3,0.5,2.655,0.524,0.5,0.55,0.218,0.0043,-0.0043,0.011,-0.011
0.0244,0.02,0.03,0.353,0.3,0.5,2.552,0.574,0.55,0.6,0.1684,0.0043,-0.0043,0.0087,-0.0087
0.0244,0.02,0.03,0.341,0.3,0.5,2.458,0.624,0.6,0.65,0.1269,0.0042,-0.0042,0.0067,-0.0067
0.0244,0.02,0.03,0.329,0.3,0.5,2.37,0.674,0.65,0.7,0.0964,0.0043,-0.0043,0.0057,-0.0057
0.0244,0.02,0.03,0.319,0.3,0.5,2.287,0.724,0.7,0.75,0.0745,0.0049,-0.0049,0.0052,-0.0052
0.0244,0.02,0.03,0.307,0.3,0.5,2.102,0.794,0.75,0.85,0.0446,0.0093,-0.0093,0.0038,-0.0038
0.0244,0.02,0.03,0.586,0.5,0.7,4.255,0.223,0.2,0.25,1.683,0.0153,-0.0153,0.0842,-0.0842
0.0244,0.02,0.03,0.586,0.5,0.7,4.255,0.273,0.25,0.3,1.1217,0.0129,-0.0129,0.0561,-0.0561
0.0244,0.02,0.03,0.585,0.5,0.7,4.243,0.324,0.3,0.35,0.7758,0.0112,-0.0112,0.0389,-0.0389
0.0244,0.02,0.03,0.56,0.5,0.7,4.043,0.374,0.35,0.4,0.5488,0.0111,-0.0111,0.0283,-0.0283
