#: table_doi: 10.17182/hepdata.2143.v1/t2
#: name: Table 2
#: description: No description provided.
#: data_file: Table2.yaml
#: keyword reactions: E+ E- --> K- X | E+ E- --> K+ X
#: keyword observables: DSIG/DP
#: keyword phrases: Inclusive | Single Differential Cross Section | E+ E- Scattering | Strange production
#: keyword cmenergies: 14.0
#: RE,,,E+ E- --> (K+ + K-) X
#: SQRT(S) [GeV],,,14.0,,
P(P=3) [GEV],P(P=3) [GEV] LOW,P(P=3) [GEV] HIGH,D(SIG)/D(P) [NB/GEV],error +,error -
0.35,0.3,0.4,1.04,0.18,-0.18
0.45,0.4,0.5,1.61,0.19,-0.19
0.55,0.5,0.6,1.61,0.18,-0.18
0.6499999999999999,0.6,0.7,1.87,0.27,-0.27
0.75,0.7,0.8,1.05,0.2,-0.2
0.9,0.8,1.0,1.42,0.3,-0.3
1.3,1.0,1.6,0.8,0.29,-0.29
1.8,1.6,2.0,0.84,0.18,-0.18
3.8,3.0,4.6,0.06,0.03,-0.03

