#: table_doi: 10.17182/hepdata.62276.v1/t1
#: name: Table 1
#: description: Measured charged-integrated differential cross sections  for charged pion and kaon production as a function of the   fractional hadron energy Z (=2*Eh/sqrt(s)).

#: data_file: Table1.yaml
#: keyword reactions: E+ E- --> PI+ X | E+ E- --> PI- X | E+ E- --> K+ X | E+ E- --> K- X
#: keyword observables: DSIG/DZ
#: keyword phrases: Inclusive | Single Differential Cross Section | E+ E- Scattering | Strange production
#: keyword cmenergies: 10.52
#: RE,,,E+ E- --> (PI+ + PI-) X
#: SQRT(S) [GeV],,,10.52
Z,Z LOW,Z HIGH,D(SIG)/DZ [FB],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.765,0.76,0.77,203640.0,710.0,-710.0,12850.0,-12790.0,1.4%,-1.4%
0.775,0.77,0.78,187850.0,680.0,-680.0,11970.0,-11910.0,1.4%,-1.4%
0.785,0.78,0.79,172180.0,660.0,-660.0,11010.0,-10950.0,1.4%,-1.4%
0.795,0.79,0.8,157720.0,630.0,-630.0,10790.0,-10730.0,1.4%,-1.4%
0.805,0.8,0.81,144660.0,610.0,-610.0,10890.0,-10840.0,1.4%,-1.4%
0.815,0.81,0.82,131550.0,590.0,-590.0,11240.0,-11190.0,1.4%,-1.4%
0.825,0.82,0.83,119620.0,570.0,-570.0,8860.0,-8810.0,1.4%,-1.4%
0.835,0.83,0.84,108230.0,540.0,-540.0,10530.0,-10500.0,1.4%,-1.4%
0.845,0.84,0.85,96720.0,520.0,-520.0,8090.0,-8060.0,1.4%,-1.4%
0.855,0.85,0.86,86090.0,490.0,-490.0,8290.0,-8270.0,1.4%,-1.4%
0.865,0.86,0.87,76140.0,470.0,-470.0,7910.0,-7900.0,1.4%,-1.4%
0.875,0.87,0.88,67380.0,450.0,-450.0,7260.0,-7260.0,1.4%,-1.4%
0.885,0.88,0.89,58110.0,420.0,-420.0,6960.0,-6960.0,1.4%,-1.4%
0.895,0.89,0.9,49150.0,390.0,-390.0,7700.0,-7710.0,1.4%,-1.4%
0.905,0.9,0.91,42000.0,370.0,-370.0,6370.0,-6380.0,1.4%,-1.4%
0.915,0.91,0.92,34970.0,350.0,-350.0,4990.0,-5010.0,1.4%,-1.4%
0.925,0.92,0.93,29460.0,330.0,-330.0,6140.0,-6160.0,1.4%,-1.4%
0.935,0.93,0.94,24700.0,320.0,-320.0,4800.0,-4820.0,1.4%,-1.4%
0.945,0.94,0.95,19150.0,290.0,-290.0,5400.0,-5420.0,1.4%,-1.4%
0.955,0.95,0.96,13760.0,280.0,-280.0,3740.0,-3760.0,1.4%,-1.4%
0.965,0.96,0.97,9910.0,290.0,-290.0,4910.0,-4930.0,1.4%,-1.4%
0.975,0.97,0.98,11700.0,540.0,-540.0,6430.0,-6480.0,1.4%,-1.4%

#: RE,,,E+ E- --> (K+ + K-) X
#: SQRT(S) [GeV],,,10.52
Z,Z LOW,Z HIGH,D(SIG)/DZ [FB],stat +,stat -,sys +,sys -,"sys,normalization uncertainty +","sys,normalization uncertainty -"
0.20500000000000002,0.2,0.21,6373800.0,4000.0,-4000.0,143100.0,-143200.0,1.4%,-1.4%
0.215,0.21,0.22,5981600.0,3900.0,-3900.0,139700.0,-139700.0,1.4%,-1.4%
0.225,0.22,0.23,5591300.0,3700.0,-3700.0,128100.0,-128100.0,1.4%,-1.4%
0.235,0.23,0.24,5234300.0,3600.0,-3600.0,121200.0,-121200.0,1.4%,-1.4%
0.245,0.24,0.25,4906600.0,3500.0,-3500.0,118600.0,-118600.0,1.4%,-1.4%
0.255,0.25,0.26,4578400.0,3300.0,-3300.0,116400.0,-116500.0,1.4%,-1.4%
0.265,0.26,0.27,4256800.0,3200.0,-3200.0,107300.0,-107400.0,1.4%,-1.4%
0.275,0.27,0.28,3947500.0,3100.0,-3100.0,101300.0,-101300.0,1.4%,-1.4%
0.28500000000000003,0.28,0.29,3658900.0,3000.0,-3000.0,91200.0,-91100.0,1.4%,-1.4%
0.295,0.29,0.3,3396000.0,2900.0,-2900.0,90700.0,-90600.0,1.4%,-1.4%
0.305,0.3,0.31,3158300.0,2700.0,-2700.0,85900.0,-85800.0,1.4%,-1.4%
0.315,0.31,0.32,2948000.0,2600.0,-2600.0,85800.0,-85800.0,1.4%,-1.4%
0.325,0.32,0.33,2752200.0,2600.0,-2600.0,78500.0,-78500.0,1.4%,-1.4%
0.335,0.33,0.34,2566100.0,2500.0,-2500.0,75800.0,-75700.0,1.4%,-1.4%
0.345,0.34,0.35,2396000.0,2400.0,-2400.0,71900.0,-71800.0,1.4%,-1.4%
0.355,0.35,0.36,2238900.0,2300.0,-2300.0,68800.0,-68800.0,1.4%,-1.4%
0.365,0.36,0.37,2091700.0,2200.0,-2200.0,64300.0,-64200.0,1.4%,-1.4%
0.375,0.37,0.38,1948700.0,2100.0,-2100.0,62900.0,-62900.0,1.4%,-1.4%
0.385,0.38,0.39,1814700.0,2100.0,-2100.0,60300.0,-60300.0,1.4%,-1.4%
0.395,0.39,0.4,1690600.0,2000.0,-2000.0,56400.0,-56400.0,1.4%,-1.4%
0.405,0.4,0.41,1580400.0,1900.0,-1900.0,53000.0,-52900.0,1.4%,-1.4%
0.415,0.41,0.42,1480200.0,1900.0,-1900.0,53100.0,-53000.0,1.4%,-1.4%
0.425,0.42,0.43,1389000.0,1800.0,-1800.0,51000.0,-51000.0,1.4%,-1.4%
0.435,0.43,0.44,1300000.0,1700.0,-1700.0,48500.0,-48500.0,1.4%,-1.4%
0.445,0.44,0.45,1214500.0,1700.0,-1700.0,46500.0,-46500.0,1.4%,-1.4%
0.455,0.45,0.46,1133800.0,1600.0,-1600.0,44200.0,-44200.0,1.4%,-1.4%
0.46499999999999997,0.46,0.47,1058800.0,1600.0,-1600.0,40600.0,-40600.0,1.4%,-1.4%
0.475,0.47,0.48,986000.0,1500.0,-1500.0,40000.0,-40100.0,1.4%,-1.4%
0.485,0.48,0.49,919300.0,1500.0,-1500.0,37100.0,-37200.0,1.4%,-1.4%
0.495,0.49,0.5,857400.0,1400.0,-1400.0,36100.0,-36200.0,1.4%,-1.4%
0.505,0.5,0.51,799900.0,1400.0,-1400.0,31900.0,-31900.0,1.4%,-1.4%
0.515,0.51,0.52,748600.0,1300.0,-1300.0,30900.0,-31000.0,1.4%,-1.4%
0.525,0.52,0.53,700500.0,1300.0,-1300.0,29900.0,-30000.0,1.4%,-1.4%
0.535,0.53,0.54,656100.0,1200.0,-1200.0,27200.0,-27300.0,1.4%,-1.4%
0.545,0.54,0.55,613500.0,1200.0,-1200.0,25600.0,-25700.0,1.4%,-1.4%
0.555,0.55,0.56,573800.0,1200.0,-1200.0,23600.0,-23700.0,1.4%,-1.4%
0.565,0.56,0.57,535000.0,1100.0,-1100.0,22900.0,-23000.0,1.4%,-1.4%
0.575,0.57,0.58,497900.0,1100.0,-1100.0,20400.0,-20500.0,1.4%,-1.4%
0.585,0.58,0.59,462800.0,1000.0,-1000.0,19300.0,-19400.0,1.4%,-1.4%
0.595,0.59,0.6,430600.0,1000.0,-1000.0,20700.0,-20700.0,1.4%,-1.4%
0.605,0.6,0.61,401150.0,970.0,-970.0,16370.0,-16430.0,1.4%,-1.4%
0.615,0.61,0.62,372270.0,940.0,-940.0,15540.0,-15590.0,1.4%,-1.4%
0.625,0.62,0.63,345980.0,910.0,-910.0,13550.0,-13600.0,1.4%,-1.4%
0.635,0.63,0.64,321090.0,880.0,-880.0,14200.0,-14260.0,1.4%,-1.4%
0.645,0.64,0.65,297350.0,850.0,-850.0,12940.0,-13050.0,1.4%,-1.4%
0.655,0.65,0.66,274740.0,810.0,-810.0,13270.0,-13410.0,1.4%,-1.4%
0.665,0.66,0.67,253780.0,780.0,-780.0,13660.0,-13850.0,1.4%,-1.4%
0.675,0.67,0.68,234660.0,760.0,-760.0,11920.0,-12190.0,1.4%,-1.4%
0.685,0.68,0.69,216680.0,730.0,-730.0,12620.0,-12920.0,1.4%,-1.4%
0.695,0.69,0.7,199080.0,700.0,-700.0,11450.0,-11820.0,1.4%,-1.4%
0.705,0.7,0.71,184190.0,680.0,-680.0,12330.0,-12710.0,1.4%,-1.4%
0.715,0.71,0.72,169000.0,650.0,-650.0,12390.0,-12780.0,1.4%,-1.4%
0.725,0.72,0.73,155880.0,630.0,-630.0,11370.0,-11800.0,1.4%,-1.4%
0.735,0.73,0.74,143140.0,610.0,-610.0,11220.0,-11670.0,1.4%,-1.4%
0.745,0.74,0.75,131190.0,580.0,-580.0,11550.0,-11970.0,1.4%,-1.4%
0.755,0.75,0.76,119890.0,560.0,-560.0,10940.0,-11360.0,1.4%,-1.4%
0.765,0.76,0.77,110040.0,540.0,-540.0,10750.0,-11160.0,1.4%,-1.4%
0.775,0.77,0.78,99730.0,510.0,-510.0,9890.0,-10310.0,1.4%,-1.4%
0.785,0.78,0.79,91040.0,500.0,-500.0,8950.0,-9380.0,1.4%,-1.4%
0.795,0.79,0.8,82870.0,480.0,-480.0,9140.0,-9530.0,1.4%,-1.4%
0.805,0.8,0.81,74810.0,460.0,-460.0,8870.0,-9240.0,1.4%,-1.4%
0.815,0.81,0.82,67540.0,440.0,-440.0,8170.0,-8540.0,1.4%,-1.4%
0.825,0.82,0.83,60800.0,420.0,-420.0,7900.0,-8240.0,1.4%,-1.4%
0.835,0.83,0.84,54310.0,400.0,-400.0,7160.0,-7510.0,1.4%,-1.4%
0.845,0.84,0.85,47390.0,370.0,-370.0,6870.0,-7180.0,1.4%,-1.4%
0.855,0.85,0.86,42180.0,360.0,-360.0,6690.0,-6980.0,1.4%,-1.4%
0.865,0.86,0.87,36980.0,340.0,-340.0,6210.0,-6490.0,1.4%,-1.4%
0.875,0.87,0.88,32380.0,320.0,-320.0,5700.0,-5970.0,1.4%,-1.4%
0.885,0.88,0.89,27870.0,310.0,-310.0,5120.0,-5390.0,1.4%,-1.4%
0.895,0.89,0.9,23400.0,280.0,-280.0,5090.0,-5320.0,1.4%,-1.4%
0.905,0.9,0.91,20030.0,270.0,-270.0,4590.0,-4810.0,1.4%,-1.4%
0.915,0.91,0.92,17000.0,260.0,-260.0,4620.0,-4830.0,1.4%,-1.4%
0.925,0.92,0.93,14240.0,240.0,-240.0,4010.0,-4220.0,1.4%,-1.4%
0.935,0.93,0.94,11750.0,240.0,-240.0,3810.0,-4010.0,1.4%,-1.4%
0.945,0.94,0.95,8810.0,220.0,-220.0,3560.0,-3750.0,1.4%,-1.4%
0.955,0.95,0.96,6370.0,210.0,-210.0,3400.0,-3590.0,1.4%,-1.4%
0.965,0.96,0.97,4670.0,220.0,-220.0,3500.0,-3690.0,1.4%,-1.4%
0.975,0.97,0.98,5920.0,440.0,-440.0,7340.0,-7720.0,1.4%,-1.4%

