#: table_doi: 10.17182/hepdata.77892.v1/t2,,,,,,,,,,,,,,
#: name: Table 2,,,,,,,,,,,,,,
#: description: Multiplicities of negatively charged kaons from semi-inclusive deep-inelastic scattering of muons off an isoscalar target, $M^{K^{-}}$, in bins of $x$, $y$, and $z$. Also given are the diffractive vector meson correction to the kaon count, $DVM^{K^{-}}$, and DIS count, $DVM^{DIS}$, as well as the radiative correction factors to the kaon count, $\eta^{K^{-}}$, and DIS count, $\eta^{DIS}$. The correction factors were applied to the raw multiplicity to arrive at the final multiplicity given in the table, $M^{K^{-}}$, as follows:,
,,,,,,,,,,,,,,
$M^{K^{-}}$ =  $M_{raw}^{K^{-}}$ * $\frac{\eta^{K^{-}}} {\eta^{DIS}}$ * $\frac{ DVM^{K^{-}} }   {DVM^{DIS} }$.,,,,,,,,,,,,,,
#: data_file: data2.yaml,,,,,,,,,,,,,,
#: data_license:   ,,,,,,,,,,,,,,
#: keyword reactions: $\mu^{+}$d-->\mu^{+}$K^{-}$X,,,,,,,,,,,,,,
#: keyword observables: MULT,,,,,,,,,,,,,,
#: keyword phrases: ,,,,,,,,,,,,,,
#: keyword cmenergies: ,,,,,,,,,,,,,,
#: PLAB [GEV],,,,,,,160,,,,,,,
#: RE,,,,,,,$\mu^{+}$d-->$\mu^{+}K^{-}$X,,,,,,,
$x$,$x$ LOW,$x$ HIGH,$y$,$y$ LOW,$y$ HIGH,$<Q^2> (GeV/c)^2$,$z^{K^{-}}$,$z^{K^{-}}$ LOW,$z^{K^{-}}$ HIGH,$M^{K^{-}}$,stat +,stat -,sys +,sys -
0.014,0.01,0.02,0.38,0.3,0.5,1.6,0.324,0.3,0.35,0.1924,0.0028,-0.0028,0.0138,-0.0138
0.014,0.01,0.02,0.38,0.3,0.5,1.6,0.374,0.35,0.4,0.1409,0.0024,-0.0024,0.0101,-0.0101
0.014,0.01,0.02,0.38,0.3,0.5,1.6,0.424,0.4,0.45,0.1008,0.002,-0.002,0.0074,-0.0074
0.014,0.01,0.02,0.38,0.3,0.5,1.59,0.474,0.45,0.5,0.0822,0.0019,-0.0019,0.0061,-0.0061
0.014,0.01,0.02,0.37,0.3,0.5,1.538,0.524,0.5,0.55,0.0585,0.0017,-0.0017,0.0049,-0.0049
0.0141,0.01,0.02,0.35,0.3,0.5,1.481,0.574,0.55,0.6,0.0452,0.0017,-0.0017,0.0042,-0.0042
0.0141,0.01,0.02,0.34,0.3,0.5,1.431,0.624,0.6,0.65,0.0338,0.0018,-0.0018,0.0034,-0.0034
0.0142,0.01,0.02,0.33,0.3,0.5,1.387,0.674,0.65,0.7,0.0252,0.002,-0.002,0.0031,-0.0031
0.0144,0.01,0.02,0.32,0.3,0.5,1.353,0.724,0.7,0.75,0.0228,0.0024,-0.0024,0.003,-0.003
0.0151,0.01,0.02,0.31,0.3,0.5,1.301,0.796,0.75,0.85,0.0213,0.007,-0.007,0.0045,-0.0045
0.0139,0.01,0.02,0.59,0.5,0.7,2.432,0.224,0.2,0.25,0.3615,0.0048,-0.0048,0.0295,-0.0295
0.0139,0.01,0.02,0.59,0.5,0.7,2.432,0.274,0.25,0.3,0.2694,0.0043,-0.0043,0.022,-0.022
0.0139,0.01,0.02,0.58,0.5,0.7,2.426,0.324,0.3,0.35,0.1957,0.0039,-0.0039,0.0159,-0.0159
0.0139,0.01,0.02,0.56,0.5,0.7,2.312,0.374,0.35,0.4,0.1446,0.004,-0.004,0.0117,-0.0117
0.0139,0.01,0.02,0.53,0.5,0.7,2.179,0.424,0.4,0.45,0.1066,0.0049,-0.0049,0.009,-0.009
0.0262,0.02,0.03,0.14,0.1,0.15,1.138,0.574,0.55,0.6,0.0303,0.0034,-0.0034,0.0025,-0.0025
0.0268,0.02,0.03,0.14,0.1,0.15,1.117,0.624,0.6,0.65,0.0346,0.0032,-0.0032,0.0023,-0.0023
0.0271,0.02,0.03,0.14,0.1,0.15,1.106,0.674,0.65,0.7,0.0198,0.0021,-0.0021,0.0012,-0.0012
0.0271,0.02,0.03,0.14,0.1,0.15,1.104,0.724,0.7,0.75,0.0148,0.0018,-0.0018,0.0009,-0.0009
0.0271,0.02,0.03,0.14,0.1,0.15,1.104,0.794,0.75,0.85,0.0077,0.0009,-0.0009,0.0005,-0.0005
0.0244,0.02,0.03,0.19,0.15,0.2,1.428,0.424,0.4,0.45,0.0943,0.0071,-0.0071,0.0062,-0.0062
0.0244,0.02,0.03,0.18,0.15,0.2,1.335,0.474,0.45,0.5,0.0656,0.0032,-0.0032,0.0045,-0.0045
0.0246,0.02,0.03,0.18,0.15,0.2,1.286,0.524,0.5,0.55,0.051,0.0022,-0.0022,0.0037,-0.0037
0.0246,0.02,0.03,0.17,0.15,0.2,1.278,0.574,0.55,0.6,0.038,0.0019,-0.0019,0.003,-0.003
0.0246,0.02,0.03,0.17,0.15,0.2,1.278,0.624,0.6,0.65,0.0278,0.0016,-0.0016,0.0019,-0.0019
0.0246,0.02,0.03,0.17,0.15,0.2,1.278,0.674,0.65,0.7,0.0189,0.0014,-0.0014,0.0012,-0.0012
0.0246,0.02,0.03,0.17,0.15,0.2,1.278,0.724,0.7,0.75,0.0142,0.0012,-0.0012,0.0009,-0.0009
0.0246,0.02,0.03,0.17,0.15,0.2,1.278,0.794,0.75,0.85,0.0095,0.0007,-0.0007,0.0006,-0.0006
0.0244,0.02,0.03,0.27,0.2,0.3,2.001,0.324,0.3,0.35,0.1767,0.0063,-0.0063,0.0115,-0.0115
0.0244,0.02,0.03,0.25,0.2,0.3,1.842,0.374,0.35,0.4,0.1315,0.0038,-0.0038,0.0085,-0.0085
