#: table_doi: 10.17182/hepdata.77892.v1/t2,,,,,,,,,,,,,,
#: name: Table 2,,,,,,,,,,,,,,
#: description: Multiplicities of negatively charged kaons from semi-inclusive deep-inelastic scattering of muons off an isoscalar target, $M^{K^{-}}$, in bins of $x$, $y$, and $z$. Also given are the diffractive vector meson correction to the kaon count, $DVM^{K^{-}}$, and DIS count, $DVM^{DIS}$, as well as the radiative correction factors to the kaon count, $\eta^{K^{-}}$, and DIS count, $\eta^{DIS}$. The correction factors were applied to the raw multiplicity to arrive at the final multiplicity given in the table, $M^{K^{-}}$, as follows:,
,,,,,,,,,,,,,,
$M^{K^{-}}$ =  $M_{raw}^{K^{-}}$ * $\frac{\eta^{K^{-}}} {\eta^{DIS}}$ * $\frac{ DVM^{K^{-}} }   {DVM^{DIS} }$.,,,,,,,,,,,,,,
#: data_file: data2.yaml,,,,,,,,,,,,,,
#: data_license:   ,,,,,,,,,,,,,,
#: keyword reactions: $\mu^{+}$d-->\mu^{+}$K^{-}$X,,,,,,,,,,,,,,
#: keyword observables: MULT,,,,,,,,,,,,,,
#: keyword phrases: ,,,,,,,,,,,,,,
#: keyword cmenergies: ,,,,,,,,,,,,,,
#: PLAB [GEV],,,,,,,160,,,,,,,
#: RE,,,,,,,$\mu^{+}$d-->$\mu^{+}K^{-}$X,,,,,,,
$x$,$x$ LOW,$x$ HIGH,$y$,$y$ LOW,$y$ HIGH,$<Q^2> (GeV/c)^2$,$z^{K^{-}}$,$z^{K^{-}}$ LOW,$z^{K^{-}}$ HIGH,$M^{K^{-}}$,stat +,stat -,sys +,sys -
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.574,0.55,0.6,0.0424,0.002,-0.002,0.0027,-0.0027
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.624,0.6,0.65,0.0307,0.0017,-0.0017,0.0019,-0.0019
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.674,0.65,0.7,0.0188,0.0014,-0.0014,0.0012,-0.0012
0.0487,0.04,0.06,0.24,0.2,0.3,3.522,0.724,0.7,0.75,0.017,0.0013,-0.0013,0.0011,-0.0011
0.0487,0.04,0.06,0.24,0.2,0.3,3.481,0.794,0.75,0.85,0.01,0.0007,-0.0007,0.0007,-0.0007
0.0486,0.04,0.06,0.43,0.3,0.5,6.284,0.224,0.2,0.25,0.3415,0.0085,-0.0085,0.0231,-0.0231
0.0486,0.04,0.06,0.38,0.3,0.5,5.586,0.274,0.25,0.3,0.2583,0.0054,-0.0054,0.017,-0.017
0.0486,0.04,0.06,0.38,0.3,0.5,5.517,0.324,0.3,0.35,0.188,0.0044,-0.0044,0.0124,-0.0124
0.0486,0.04,0.06,0.38,0.3,0.5,5.517,0.374,0.35,0.4,0.1351,0.0037,-0.0037,0.0089,-0.0089
0.0486,0.04,0.06,0.38,0.3,0.5,5.517,0.424,0.4,0.45,0.1012,0.0032,-0.0032,0.0067,-0.0067
0.0486,0.04,0.06,0.38,0.3,0.5,5.485,0.474,0.45,0.5,0.0728,0.0028,-0.0028,0.0048,-0.0048
0.0486,0.04,0.06,0.37,0.3,0.5,5.301,0.524,0.5,0.55,0.0547,0.0026,-0.0026,0.0038,-0.0038
0.0486,0.04,0.06,0.35,0.3,0.5,5.097,0.574,0.55,0.6,0.041,0.0025,-0.0025,0.0032,-0.0032
0.0486,0.04,0.06,0.34,0.3,0.5,4.909,0.624,0.6,0.65,0.0375,0.0029,-0.0029,0.0028,-0.0028
0.0486,0.04,0.06,0.33,0.3,0.5,4.734,0.674,0.65,0.7,0.0263,0.0029,-0.0029,0.0033,-0.0033
0.0487,0.04,0.06,0.32,0.3,0.5,4.569,0.723,0.7,0.75,0.0201,0.0034,-0.0034,0.0024,-0.0024
0.0487,0.04,0.06,0.31,0.3,0.5,4.203,0.791,0.75,0.85,0.0088,0.0061,-0.0061,0.0016,-0.0016
0.0486,0.04,0.06,0.59,0.5,0.7,8.496,0.224,0.2,0.25,0.3688,0.0124,-0.0124,0.0276,-0.0276
0.0486,0.04,0.06,0.59,0.5,0.7,8.496,0.274,0.25,0.3,0.2573,0.0105,-0.0105,0.0193,-0.0193
0.0486,0.04,0.06,0.59,0.5,0.7,8.471,0.324,0.3,0.35,0.1945,0.0093,-0.0093,0.0147,-0.0147
0.0486,0.04,0.06,0.56,0.5,0.7,8.072,0.374,0.35,0.4,0.1239,0.0083,-0.0083,0.0094,-0.0094
0.0486,0.04,0.06,0.53,0.5,0.7,7.608,0.424,0.4,0.45,0.1132,0.0103,-0.0103,0.0083,-0.0083
0.0765,0.06,0.1,0.14,0.1,0.15,3.302,0.574,0.55,0.6,0.0343,0.0037,-0.0037,0.002,-0.002
0.0766,0.06,0.1,0.14,0.1,0.15,3.147,0.624,0.6,0.65,0.0236,0.0021,-0.0021,0.0014,-0.0014
0.0766,0.06,0.1,0.13,0.1,0.15,3.017,0.674,0.65,0.7,0.0172,0.0016,-0.0016,0.0009,-0.0009
0.0766,0.06,0.1,0.13,0.1,0.15,2.902,0.724,0.7,0.75,0.0129,0.0012,-0.0012,0.0007,-0.0007
0.0766,0.06,0.1,0.12,0.1,0.15,2.814,0.794,0.75,0.85,0.006,0.0005,-0.0005,0.0003,-0.0003
0.0765,0.06,0.1,0.19,0.15,0.2,4.485,0.424,0.4,0.45,0.0862,0.0073,-0.0073,0.0049,-0.0049
0.0765,0.06,0.1,0.18,0.15,0.2,4.192,0.474,0.45,0.5,0.0551,0.0032,-0.0032,0.0031,-0.0031
0.0765,0.06,0.1,0.17,0.15,0.2,3.985,0.524,0.5,0.55,0.0454,0.0023,-0.0023,0.0026,-0.0026
0.0765,0.06,0.1,0.17,0.15,0.2,3.936,0.574,0.55,0.6,0.0324,0.0019,-0.0019,0.0019,-0.0019
0.0765,0.06,0.1,0.17,0.15,0.2,3.935,0.624,0.6,0.65,0.023,0.0016,-0.0016,0.0013,-0.0013
0.0765,0.06,0.1,0.17,0.15,0.2,3.935,0.674,0.65,0.7,0.0134,0.0012,-0.0012,0.0008,-0.0008
0.0765,0.06,0.1,0.17,0.15,0.2,3.935,0.724,0.7,0.75,0.0109,0.0011,-0.0011,0.0006,-0.0006
0.0765,0.06,0.1,0.17,0.15,0.2,3.935,0.794,0.75,0.85,0.0053,0.0005,-0.0005,0.0003,-0.0003
0.0765,0.06,0.1,0.27,0.2,0.3,6.284,0.324,0.3,0.35,0.1639,0.0061,-0.0061,0.0097,-0.0097
0.0765,0.06,0.1,0.25,0.2,0.3,5.782,0.374,0.35,0.4,0.1155,0.0036,-0.0036,0.0068,-0.0068
0.0765,0.06,0.1,0.24,0.2,0.3,5.539,0.424,0.4,0.45,0.0905,0.0028,-0.0028,0.0053,-0.0053
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.474,0.45,0.5,0.0631,0.0023,-0.0023,0.0037,-0.0037
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.524,0.5,0.55,0.0446,0.0019,-0.0019,0.0026,-0.0026
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.574,0.55,0.6,0.0322,0.0016,-0.0016,0.0019,-0.0019
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.624,0.6,0.65,0.0258,0.0015,-0.0015,0.0015,-0.0015
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.674,0.65,0.7,0.0174,0.0012,-0.0012,0.001,-0.001
0.0765,0.06,0.1,0.24,0.2,0.3,5.533,0.724,0.7,0.75,0.0134,0.0011,-0.0011,0.0008,-0.0008
0.0765,0.06,0.1,0.24,0.2,0.3,5.47,0.794,0.75,0.85,0.0086,0.0006,-0.0006,0.0005,-0.0005
0.0764,0.06,0.1,0.43,0.3,0.5,9.875,0.224,0.2,0.25,0.3379,0.0102,-0.0102,0.0219,-0.0219
0.0765,0.06,0.1,0.38,0.3,0.5,8.774,0.274,0.25,0.3,0.2437,0.0058,-0.0058,0.0153,-0.0153
0.0765,0.06,0.1,0.38,0.3,0.5,8.666,0.324,0.3,0.35,0.1686,0.0046,-0.0046,0.0106,-0.0106
0.0765,0.06,0.1,0.38,0.3,0.5,8.666,0.374,0.35,0.4,0.1162,0.0038,-0.0038,0.0073,-0.0073
0.0765,0.06,0.1,0.38,0.3,0.5,8.666,0.424,0.4,0.45,0.0913,0.0034,-0.0034,0.0058,-0.0058
0.0765,0.06,0.1,0.38,0.3,0.5,8.617,0.474,0.45,0.5,0.064,0.0029,-0.0029,0.0041,-0.0041
0.0765,0.06,0.1,0.37,0.3,0.5,8.329,0.524,0.5,0.55,0.0441,0.0026,-0.0026,0.0029,-0.0029
0.0765,0.06,0.1,0.35,0.3,0.5,8.008,0.574,0.55,0.6,0.0342,0.0024,-0.0024,0.0024,-0.0024
0.0765,0.06,0.1,0.34,0.3,0.5,7.715,0.624,0.6,0.65,0.0235,0.0023,-0.0023,0.0016,-0.0016
0.0765,0.06,0.1,0.33,0.3,0.5,7.442,0.674,0.65,0.7,0.0233,0.0029,-0.0029,0.0018,-0.0018
0.0765,0.06,0.1,0.32,0.3,0.5,7.18,0.723,0.7,0.75,0.017,0.003,-0.003,0.0014,-0.0014
0.0764,0.06,0.1,0.31,0.3,0.5,6.597,0.795,0.75,0.85,0.0061,0.0046,-0.0046,0.0006,-0.0006
0.0765,0.06,0.1,0.59,0.5,0.7,13.359,0.224,0.2,0.25,0.3409,0.0164,-0.0164,0.0244,-0.0244
0.0765,0.06,0.1,0.59,0.5,0.7,13.359,0.273,0.25,0.3,0.2466,0.0142,-0.0142,0.0175,-0.0175
0.0765,0.06,0.1,0.59,0.5,0.7,13.322,0.324,0.3,0.35,0.1607,0.0115,-0.0115,0.0116,-0.0116
0.0765,0.06,0.1,0.56,0.5,0.7,12.691,0.374,0.35,0.4,0.1481,0.0128,-0.0128,0.0105,-0.0105
0.0765,0.06,0.1,0.53,0.5,0.7,11.965,0.424,0.4,0.45,0.0697,0.0109,-0.0109,0.0056,-0.0056
0.1176,0.1,0.14,0.14,0.1,0.15,5.073,0.574,0.55,0.6,0.0268,0.0047,-0.0047,0.0015,-0.0015
0.1176,0.1,0.14,0.14,0.1,0.15,4.834,0.624,0.6,0.65,0.0196,0.0027,-0.0027,0.0011,-0.0011
0.1176,0.1,0.14,0.13,0.1,0.15,4.633,0.675,0.65,0.7,0.0126,0.0018,-0.0018,0.0007,-0.0007
0.1176,0.1,0.14,0.13,0.1,0.15,4.456,0.725,0.7,0.75,0.0096,0.0014,-0.0014,0.0005,-0.0005
0.1176,0.1,0.14,0.12,0.1,0.15,4.321,0.795,0.75,0.85,0.0039,0.0006,-0.0006,0.0002,-0.0002
0.1176,0.1,0.14,0.19,0.15,0.2,6.893,0.424,0.4,0.45,0.0741,0.0091,-0.0091,0.004,-0.004
0.1176,0.1,0.14,0.18,0.15,0.2,6.443,0.474,0.45,0.5,0.0484,0.0041,-0.0041,0.0026,-0.0026
0.1176,0.1,0.14,0.17,0.15,0.2,6.124,0.524,0.5,0.55,0.0316,0.0026,-0.0026,0.0017,-0.0017
0.1176,0.1,0.14,0.17,0.15,0.2,6.049,0.574,0.55,0.6,0.0258,0.0022,-0.0022,0.0014,-0.0014
0.1176,0.1,0.14,0.17,0.15,0.2,6.047,0.624,0.6,0.65,0.0195,0.002,-0.002,0.0011,-0.0011
0.1176,0.1,0.14,0.17,0.15,0.2,6.047,0.675,0.65,0.7,0.0103,0.0014,-0.0014,0.0006,-0.0006
0.1176,0.1,0.14,0.17,0.15,0.2,6.047,0.724,0.7,0.75,0.009,0.0013,-0.0013,0.0005,-0.0005
0.1176,0.1,0.14,0.17,0.15,0.2,6.047,0.794,0.75,0.85,0.0046,0.0006,-0.0006,0.0003,-0.0003
0.1176,0.1,0.14,0.27,0.2,0.3,9.656,0.324,0.3,0.35,0.1618,0.0094,-0.0094,0.0092,-0.0092
0.1176,0.1,0.14,0.25,0.2,0.3,8.884,0.374,0.35,0.4,0.1089,0.0052,-0.0052,0.0061,-0.0061
0.1176,0.1,0.14,0.24,0.2,0.3,8.51,0.424,0.4,0.45,0.0684,0.0036,-0.0036,0.0038,-0.0038
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.474,0.45,0.5,0.057,0.0032,-0.0032,0.0032,-0.0032
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.524,0.5,0.55,0.0412,0.0028,-0.0028,0.0023,-0.0023
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.574,0.55,0.6,0.0298,0.0023,-0.0023,0.0017,-0.0017
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.624,0.6,0.65,0.0232,0.002,-0.002,0.0013,-0.0013
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.674,0.65,0.7,0.0158,0.0017,-0.0017,0.0009,-0.0009
0.1176,0.1,0.14,0.24,0.2,0.3,8.501,0.724,0.7,0.75,0.0086,0.0012,-0.0012,0.0006,-0.0006
0.1176,0.1,0.14,0.24,0.2,0.3,8.404,0.794,0.75,0.85,0.0046,0.0007,-0.0007,0.0003,-0.0003
0.1175,0.1,0.14,0.43,0.3,0.5,15.184,0.224,0.2,0.25,0.3456,0.0204,-0.0204,0.0212,-0.0212
0.1175,0.1,0.14,0.38,0.3,0.5,13.489,0.274,0.25,0.3,0.2117,0.0095,-0.0095,0.0126,-0.0126
0.1175,0.1,0.14,0.38,0.3,0.5,13.321,0.324,0.3,0.35,0.1621,0.0081,-0.0081,0.0096,-0.0096
0.1175,0.1,0.14,0.38,0.3,0.5,13.321,0.374,0.35,0.4,0.1046,0.0065,-0.0065,0.0062,-0.0062
0.1175,0.1,0.14,0.38,0.3,0.5,13.321,0.424,0.4,0.45,0.0803,0.0056,-0.0056,0.0049,-0.0049
0.1175,0.1,0.14,0.38,0.3,0.5,13.245,0.474,0.45,0.5,0.0494,0.0045,-0.0045,0.0031,-0.0031
0.1175,0.1,0.14,0.37,0.3,0.5,12.798,0.524,0.5,0.55,0.0344,0.0042,-0.0042,0.0024,-0.0024
0.1175,0.1,0.14,0.35,0.3,0.5,12.305,0.573,0.55,0.6,0.0292,0.004,-0.004,0.0019,-0.0019
0.1175,0.1,0.14,0.34,0.3,0.5,11.855,0.625,0.6,0.65,0.0155,0.0032,-0.0032,0.0011,-0.0011
0.1175,0.1,0.14,0.33,0.3,0.5,11.435,0.674,0.65,0.7,0.0166,0.0043,-0.0043,0.0014,-0.0014
0.1175,0.1,0.14,0.32,0.3,0.5,11.036,0.724,0.7,0.75,0.0104,0.0037,-0.0037,0.0011,-0.0011
0.1176,0.1,0.14,0.59,0.5,0.7,20.541,0.223,0.2,0.25,0.3199,0.0316,-0.0316,0.0213,-0.0213
0.1176,0.1,0.14,0.59,0.5,0.7,20.541,0.274,0.25,0.3,0.2731,0.0297,-0.0297,0.0182,-0.0182
0.1176,0.1,0.14,0.59,0.5,0.7,20.484,0.324,0.3,0.35,0.1579,0.0233,-0.0233,0.0109,-0.0109
0.1176,0.1,0.14,0.56,0.5,0.7,19.513,0.374,0.35,0.4,0.1332,0.0221,-0.0221,0.0094,-0.0094
0.1175,0.1,0.14,0.53,0.5,0.7,18.389,0.424,0.4,0.45,0.0894,0.0275,-0.0275,0.0075,-0.0075
0.1581,0.14,0.18,0.14,0.1,0.15,6.822,0.573,0.55,0.6,0.026,0.0056,-0.0056,0.0014,-0.0014
0.1581,0.14,0.18,0.14,0.1,0.15,6.499,0.625,0.6,0.65,0.0187,0.0039,-0.0039,0.001,-0.001
0.1581,0.14,0.18,0.13,0.1,0.15,6.227,0.674,0.65,0.7,0.0084,0.002,-0.002,0.0004,-0.0004
0.1581,0.14,0.18,0.13,0.1,0.15,5.989,0.724,0.7,0.75,0.0086,0.0018,-0.0018,0.0004,-0.0004
0.1581,0.14,0.18,0.12,0.1,0.15,5.811,0.794,0.75,0.85,0.0029,0.0006,-0.0006,0.0002,-0.0002
0.1581,0.14,0.18,0.19,0.15,0.2,9.266,0.425,0.4,0.45,0.0458,0.0102,-0.0102,0.0024,-0.0024
0.1581,0.14,0.18,0.18,0.15,0.2,8.662,0.474,0.45,0.5,0.0531,0.0062,-0.0062,0.0028,-0.0028
0.1581,0.14,0.18,0.17,0.15,0.2,8.231,0.524,0.5,0.55,0.0343,0.0039,-0.0039,0.0018,-0.0018
0.1581,0.14,0.18,0.17,0.15,0.2,8.13,0.574,0.55,0.6,0.0227,0.003,-0.003,0.0012,-0.0012
0.1581,0.14,0.18,0.17,0.15,0.2,8.129,0.624,0.6,0.65,0.0151,0.0025,-0.0025,0.0008,-0.0008
0.1581,0.14,0.18,0.17,0.15,0.2,8.129,0.674,0.65,0.7,0.0085,0.0018,-0.0018,0.0005,-0.0005
0.1581,0.14,0.18,0.17,0.15,0.2,8.129,0.723,0.7,0.75,0.008,0.0017,-0.0017,0.0004,-0.0004
0.1581,0.14,0.18,0.17,0.15,0.2,8.129,0.793,0.75,0.85,0.005,0.001,-0.001,0.0003,-0.0003
0.1581,0.14,0.18,0.27,0.2,0.3,12.983,0.323,0.3,0.35,0.1298,0.0131,-0.0131,0.0071,-0.0071
0.1581,0.14,0.18,0.25,0.2,0.3,11.943,0.374,0.35,0.4,0.089,0.0071,-0.0071,0.0048,-0.0048
0.1581,0.14,0.18,0.24,0.2,0.3,11.438,0.424,0.4,0.45,0.0661,0.0055,-0.0055,0.0036,-0.0036
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.473,0.45,0.5,0.0444,0.0041,-0.0041,0.0024,-0.0024
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.524,0.5,0.55,0.0307,0.0035,-0.0035,0.0017,-0.0017
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.574,0.55,0.6,0.0266,0.0032,-0.0032,0.0015,-0.0015
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.623,0.6,0.65,0.0117,0.002,-0.002,0.0007,-0.0007
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.675,0.65,0.7,0.0106,0.002,-0.002,0.0007,-0.0007
0.1581,0.14,0.18,0.24,0.2,0.3,11.426,0.723,0.7,0.75,0.0108,0.002,-0.002,0.0007,-0.0007
0.1581,0.14,0.18,0.24,0.2,0.3,11.296,0.794,0.75,0.85,0.0048,0.001,-0.001,0.0006,-0.0006
0.1581,0.14,0.18,0.43,0.3,0.5,20.413,0.223,0.2,0.25,0.3183,0.0303,-0.0303,0.0195,-0.0195
0.1581,0.14,0.18,0.38,0.3,0.5,18.133,0.274,0.25,0.3,0.1989,0.015,-0.015,0.0114,-0.0114
0.1581,0.14,0.18,0.38,0.3,0.5,17.908,0.323,0.3,0.35,0.1295,0.0114,-0.0114,0.0074,-0.0074
0.1581,0.14,0.18,0.38,0.3,0.5,17.908,0.373,0.35,0.4,0.107,0.0105,-0.0105,0.0062,-0.0062
0.1581,0.14,0.18,0.38,0.3,0.5,17.908,0.424,0.4,0.45,0.0519,0.007,-0.007,0.0032,-0.0032
0.1581,0.14,0.18,0.38,0.3,0.5,17.806,0.473,0.45,0.5,0.0502,0.0075,-0.0075,0.0031,-0.0031
0.1581,0.14,0.18,0.37,0.3,0.5,17.215,0.525,0.5,0.55,0.0234,0.0053,-0.0053,0.0026,-0.0026
0.1581,0.14,0.18,0.35,0.3,0.5,16.553,0.574,0.55,0.6,0.0224,0.0058,-0.0058,0.0024,-0.0024
0.1581,0.14,0.18,0.34,0.3,0.5,15.948,0.625,0.6,0.65,0.0154,0.0054,-0.0054,0.0025,-0.0025
0.1581,0.14,0.18,0.33,0.3,0.5,15.383,0.673,0.65,0.7,0.011,0.0052,-0.0052,0.0012,-0.0012
0.1581,0.14,0.18,0.32,0.3,0.5,14.846,0.723,0.7,0.75,0.0243,0.0106,-0.0106,0.0037,-0.0037
0.2505,0.18,0.4,0.19,0.15,0.2,14.681,0.424,0.4,0.45,0.0537,0.0118,-0.0118,0.0027,-0.0027
0.2505,0.18,0.4,0.18,0.15,0.2,13.721,0.474,0.45,0.5,0.0391,0.0055,-0.0055,0.002,-0.002
0.2504,0.18,0.4,0.17,0.15,0.2,13.034,0.524,0.5,0.55,0.0222,0.0033,-0.0033,0.0011,-0.0011
0.2504,0.18,0.4,0.17,0.15,0.2,12.873,0.574,0.55,0.6,0.0168,0.0028,-0.0028,0.0009,-0.0009
0.2504,0.18,0.4,0.17,0.15,0.2,12.87,0.624,0.6,0.65,0.0125,0.0023,-0.0023,0.0006,-0.0006
0.2504,0.18,0.4,0.17,0.15,0.2,12.87,0.674,0.65,0.7,0.0087,0.0018,-0.0018,0.0004,-0.0004
0.2504,0.18,0.4,0.17,0.15,0.2,12.87,0.724,0.7,0.75,0.0075,0.0018,-0.0018,0.0004,-0.0004
0.2504,0.18,0.4,0.17,0.15,0.2,12.87,0.793,0.75,0.85,0.0024,0.0007,-0.0007,0.0001,-0.0001
0.2501,0.18,0.4,0.27,0.2,0.3,20.544,0.324,0.3,0.35,0.138,0.0149,-0.0149,0.0072,-0.0072
0.2502,0.18,0.4,0.25,0.2,0.3,18.9,0.374,0.35,0.4,0.0832,0.0074,-0.0074,0.0043,-0.0043
0.2503,0.18,0.4,0.24,0.2,0.3,18.106,0.424,0.4,0.45,0.0582,0.0055,-0.0055,0.003,-0.003
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.474,0.45,0.5,0.0332,0.0038,-0.0038,0.0017,-0.0017
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.524,0.5,0.55,0.024,0.0032,-0.0032,0.0012,-0.0012
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.574,0.55,0.6,0.0175,0.0027,-0.0027,0.0009,-0.0009
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.624,0.6,0.65,0.0118,0.0022,-0.0022,0.0007,-0.0007
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.673,0.65,0.7,0.0076,0.0017,-0.0017,0.0005,-0.0005
0.2503,0.18,0.4,0.24,0.2,0.3,18.086,0.724,0.7,0.75,0.0047,0.0014,-0.0014,0.0003,-0.0003
0.2503,0.18,0.4,0.24,0.2,0.3,17.882,0.793,0.75,0.85,0.0018,0.0007,-0.0007,0.0002,-0.0002
0.2497,0.18,0.4,0.43,0.3,0.5,32.252,0.223,0.2,0.25,0.2852,0.0298,-0.0298,0.0165,-0.0165
0.25,0.18,0.4,0.38,0.3,0.5,28.657,0.274,0.25,0.3,0.2052,0.0156,-0.0156,0.0111,-0.0111
0.25,0.18,0.4,0.38,0.3,0.5,28.303,0.323,0.3,0.35,0.141,0.012,-0.012,0.0076,-0.0076
0.25,0.18,0.4,0.38,0.3,0.5,28.303,0.374,0.35,0.4,0.0782,0.0085,-0.0085,0.0043,-0.0043
0.25,0.18,0.4,0.38,0.3,0.5,28.303,0.424,0.4,0.45,0.0545,0.0073,-0.0073,0.0032,-0.0032
0.25,0.18,0.4,0.38,0.3,0.5,28.147,0.474,0.45,0.5,0.063,0.0087,-0.0087,0.0037,-0.0037
0.25,0.18,0.4,0.37,0.3,0.5,27.21,0.523,0.5,0.55,0.0132,0.004,-0.004,0.0014,-0.0014
0.2501,0.18,0.4,0.35,0.3,0.5,26.174,0.574,0.55,0.6,0.009,0.0036,-0.0036,0.0009,-0.0009
0.2501,0.18,0.4,0.34,0.3,0.5,25.229,0.624,0.6,0.65,0.0052,0.0038,-0.0038,0.0008,-0.0008
